lemma,definition,lila_id,synset_id,sem_type,lexemes_pt,own_pt_gloss,argumentSet
quaero,"try to locate or discover, or try to establish the existence of",lilaLemma:121047,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01315613-v"" target=""_blank"">01315613-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>lexemas:</small></small>&ensp;buscar, procurar<br>","<small><small>conceito:</small>&ensp;tentar localizar ou descobrir, ou tentar estabelecer a existência de algo</small><br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
imperium,a person who is in charge,lilaLemma:106532,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=10162991-n"" target=""_blank"">10162991-n</a></small></small><br>",<small><small>categoria:&ensp;pessoa</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cabeça, chefe, liderança, líder, responsável<br>",,
animus,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05611302-n"" target=""_blank"">05611302-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cabeça, mente, psique<br>",,
capio,put clothing on one's body,lilaLemma:92686,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00050652-v"" target=""_blank"">00050652-v</a></small></small><br>",<small><small>categoria:&ensp;corpo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caber, colocar, pôr, usar, vestir<br>",<small><small>conceito:</small>&ensp;colocar roupas no corpo</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,ADDR]</small></small><br>"
gero,put clothing on one's body,lilaLemma:104536,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00050652-v"" target=""_blank"">00050652-v</a></small></small><br>",<small><small>categoria:&ensp;corpo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caber, colocar, pôr, usar, vestir<br>",<small><small>conceito:</small>&ensp;colocar roupas no corpo</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,ADDR]</small></small><br>"
sequor,go after with the intent to catch,lilaLemma:124461,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02001858-v"" target=""_blank"">02001858-v</a></small></small><br>",<small><small>categoria:&ensp;movimento</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caçar, ir à caça, perseguir, seguir<br>",<small><small>conceito:</small>&ensp;ir atrás com a intenção de pegar</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
corpus,a natural object consisting of a dead animal or person,lilaLemma:96667,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05217859-n"" target=""_blank"">05217859-n</a></small></small><br>",<small><small>categoria:&ensp;corpo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cadáver, corpo, defunto, morto, restos mortais<br>",,
corpus,the dead body of a human being,lilaLemma:96667,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05218119-n"" target=""_blank"">05218119-n</a></small></small><br>",<small><small>categoria:&ensp;corpo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cadáver, corpo, defunto, restos mortais<br>",,
mors,the dead body of a human being,lilaLemma:112807,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05218119-n"" target=""_blank"">05218119-n</a></small></small><br>",<small><small>categoria:&ensp;corpo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cadáver, corpo, defunto, restos mortais<br>",,
locus,the legal right to sit as a member in a legislative or similar body,lilaLemma:110019,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05189946-n"" target=""_blank"">05189946-n</a></small></small><br>",<small><small>categoria:&ensp;atributo</small></small><br>,<small><small>lexemas:</small></small>&ensp;cadeira<br>,<small><small>conceito:</small>&ensp;o direito de sentar-se como um membro em um corpo legislativo ou similar</small><br>,
manus,something written by hand,lilaLemma:111585,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=06403393-n"" target=""_blank"">06403393-n</a></small></small><br>",<small><small>categoria:&ensp;comunicação</small></small><br>,<small><small>lexemas:</small></small>&ensp;caligrafia<br>,,
animus,steadiness of mind under stress,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=04903813-n"" target=""_blank"">04903813-n</a></small></small><br>",<small><small>categoria:&ensp;atributo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;calma, equanimidade<br>",,<small><small>valências:&ensp;[ACT]</small></small><br>
natura,a mode of action,lilaLemma:113421,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00038262-n"" target=""_blank"">00038262-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caminho, conduta, corrente, curso, curso de ação, trâmite<br>",<small><small>conceito:</small>&ensp;curso de ação</small><br>,"<small><small>valências:&ensp;[ACT] ou [ACT,DIR3]</small></small><br>"
natura,a line or route along which something travels or moves,lilaLemma:113421,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=09387222-n"" target=""_blank"">09387222-n</a></small></small><br>",<small><small>categoria:&ensp;objeto</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caminho, curso<br>",,
genus,how a result is obtained or an end is achieved,lilaLemma:104504,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00172710-n"" target=""_blank"">00172710-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caminho, ferramenta, jeito, maneira, meio, modo<br>",<small><small>conceito:</small>&ensp;como um resultado é obtido ou um fim é alcançado</small><br>,
modus,how a result is obtained or an end is achieved,lilaLemma:112553,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00172710-n"" target=""_blank"">00172710-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caminho, ferramenta, jeito, maneira, meio, modo<br>",<small><small>conceito:</small>&ensp;como um resultado é obtido ou um fim é alcançado</small><br>,
uirtus,possession of the qualities (especially mental qualities) required to do something or get something done,lilaLemma:130356,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05616246-n"" target=""_blank"">05616246-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;capacidade, habilidade, poder, talento<br>",<small><small>conceito:</small>&ensp;posse das qualidades (qualidades mentais especialmente) necessárias para fazer algo ou fazer alguma coisa</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT] ou [ACT,ADDR]</small></small><br>"
urbs,the capital city of a nation,lilaLemma:130822,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=08691669-n"" target=""_blank"">08691669-n</a></small></small><br>",<small><small>categoria:&ensp;lugar</small></small><br>,<small><small>lexemas:</small></small>&ensp;capital nacional<br>,<small><small>conceito:</small>&ensp;a capital de uma nação</small><br>,
mos,a sudden desire,lilaLemma:112831,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=07490579-n"" target=""_blank"">07490579-n</a></small></small><br>",<small><small>categoria:&ensp;sentimento</small></small><br>,"<small><small>lexemas:</small></small>&ensp;capricho, caprichoso, desejo, fantasia, impertinência<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
accipio,register (perceptual input),lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02107248-v"" target=""_blank"">02107248-v</a></small></small><br>",<small><small>categoria:&ensp;percepção</small></small><br>,"<small><small>lexemas:</small></small>&ensp;captar, pegar<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
fero,register (perceptual input),lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02107248-v"" target=""_blank"">02107248-v</a></small></small><br>",<small><small>categoria:&ensp;percepção</small></small><br>,"<small><small>lexemas:</small></small>&ensp;captar, pegar<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
capio,"succeed in catching or seizing, especially after a chase",lilaLemma:92686,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01215421-v"" target=""_blank"">01215421-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>lexemas:</small></small>&ensp;capturar, pegar<br>","<small><small>conceito:</small>&ensp;sucesso na captura ou apreensão, especialmente depois de uma perseguição</small><br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
capio,capture the attention or imagination of,lilaLemma:92686,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00737476-v"" target=""_blank"">00737476-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;capturar, prender<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
animus,the inherent complex of attributes that determines a persons moral and ethical actions and reactions,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=04620216-n"" target=""_blank"">04620216-n</a></small></small><br>",<small><small>categoria:&ensp;atributo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caráter, personalidade<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
mos,the inherent complex of attributes that determines a persons moral and ethical actions and reactions,lilaLemma:112831,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=04620216-n"" target=""_blank"">04620216-n</a></small></small><br>",<small><small>categoria:&ensp;atributo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caráter, personalidade<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
natura,the inherent complex of attributes that determines a persons moral and ethical actions and reactions,lilaLemma:113421,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=04620216-n"" target=""_blank"">04620216-n</a></small></small><br>",<small><small>categoria:&ensp;atributo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;caráter, personalidade<br>",,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
imperium,(of a government or government official) holding an office means being in power,lilaLemma:106532,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=13945102-n"" target=""_blank"">13945102-n</a></small></small><br>",<small><small>categoria:&ensp;estado</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cargo, ofício, poder<br>",<small><small>conceito:</small>&ensp;ter um cargo significa estar no poder</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
locus,a job in an organization,lilaLemma:110019,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00586262-n"" target=""_blank"">00586262-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cargo, posição, posto<br>",<small><small>conceito:</small>&ensp;um trabalho em uma organização</small><br>,<small><small>valências:&ensp;[MAT]</small></small><br>
pars,a job in an organization,lilaLemma:116084,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00586262-n"" target=""_blank"">00586262-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cargo, posição, posto<br>",<small><small>conceito:</small>&ensp;um trabalho em uma organização</small><br>,<small><small>valências:&ensp;[MAT]</small></small><br>
corpus,the soft tissue of the body of a vertebrate: mainly muscle tissue and fat,lilaLemma:96667,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05268112-n"" target=""_blank"">05268112-n</a></small></small><br>",<small><small>categoria:&ensp;corpo</small></small><br>,<small><small>lexemas:</small></small>&ensp;carne<br>,,
gero,move while holding up or supporting,lilaLemma:104536,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01432601-v"" target=""_blank"">01432601-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>lexemas:</small></small>&ensp;carregar<br>,<small><small>conceito:</small>&ensp;mover-se enquanto segura ou apoia algo</small><br>,"<small><small>valências:&ensp;[ACT,DIR3,PAT] ou [ACT,PAT] ou [ACT,DIR1,DIR3,PAT]</small></small><br>"
ago,take somebody somewhere,lilaLemma:88140,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01999798-v"" target=""_blank"">01999798-v</a></small></small><br>",<small><small>categoria:&ensp;movimento</small></small><br>,"<small><small>lexemas:</small></small>&ensp;carregar, conduzir, dirigir, guiar, levar<br>",<small><small>conceito:</small>&ensp;levar alguém a algum lugar</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR3,PAT] ou [ACT,PAT,DIR3] ou [ACT,PAT,DIR1,DIR3] ou [ACT,DIR2,PAT]</small></small><br>"
fero,take somebody somewhere,lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01999798-v"" target=""_blank"">01999798-v</a></small></small><br>",<small><small>categoria:&ensp;movimento</small></small><br>,"<small><small>lexemas:</small></small>&ensp;carregar, conduzir, dirigir, guiar, levar<br>",<small><small>conceito:</small>&ensp;levar alguém a algum lugar</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,DIR3,PAT] ou [ACT,PAT,DIR3] ou [ACT,PAT,DIR1,DIR3] ou [ACT,DIR2,PAT]</small></small><br>"
fero,be pregnant with,lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00059019-v"" target=""_blank"">00059019-v</a></small></small><br>",<small><small>categoria:&ensp;corpo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;carregar, esperar<br>",,<small><small>valências:&ensp;[ACT]</small></small><br>
fero,"move while supporting, either in a vehicle or in one's hands or on one's body",lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01449974-v"" target=""_blank"">01449974-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>lexemas:</small></small>&ensp;carregar, levar, transportar<br>","<small><small>conceito:</small>&ensp;movimentar-se segurando algo, tanto em um veículo quanto com as mãos ou em um corpo</small><br>","<small><small>valências:&ensp;[ACT,DIR3,PAT] ou [ACT,LOC,PAT] ou [ACT,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,DIR1,DIR3] ou [ACT,DIR1,DIR3,PAT]</small></small><br>"
gero,"move while supporting, either in a vehicle or in one's hands or on one's body",lilaLemma:104536,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01449974-v"" target=""_blank"">01449974-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>lexemas:</small></small>&ensp;carregar, levar, transportar<br>","<small><small>conceito:</small>&ensp;movimentar-se segurando algo, tanto em um veículo quanto com as mãos ou em um corpo</small><br>","<small><small>valências:&ensp;[ACT,DIR3,PAT] ou [ACT,LOC,PAT] ou [ACT,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,DIR1,DIR3] ou [ACT,DIR1,DIR3,PAT]</small></small><br>"
uita,the general progression of your working or professional life,lilaLemma:130393,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00282613-n"" target=""_blank"">00282613-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>lexemas:</small></small>&ensp;carriera<br>,,<small><small>valências:&ensp;[ACT]</small></small><br>
corpus,the external structure of a vehicle,lilaLemma:96667,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02861886-n"" target=""_blank"">02861886-n</a></small></small><br>",<small><small>categoria:&ensp;artefato</small></small><br>,"<small><small>lexemas:</small></small>&ensp;carroçaria, carroceria<br>",,
locus,any address at which you dwell more than temporarily,lilaLemma:110019,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=08558963-n"" target=""_blank"">08558963-n</a></small></small><br>",<small><small>categoria:&ensp;lugar</small></small><br>,"<small><small>lexemas:</small></small>&ensp;casa, domicílio, residência<br>",,
domus,a dwelling that serves as living quarters for one or more families,lilaLemma:100071,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=03544360-n"" target=""_blank"">03544360-n</a></small></small><br>",<small><small>categoria:&ensp;artefato</small></small><br>,"<small><small>lexemas:</small></small>&ensp;casa, edifício residencial, habitação, vivenda<br>",,
domus,a social unit living together,lilaLemma:100071,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=08078020-n"" target=""_blank"">08078020-n</a></small></small><br>",<small><small>categoria:&ensp;grupo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;casa, família, lar<br>",,
nomen,a social unit living together,lilaLemma:113797,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=08078020-n"" target=""_blank"">08078020-n</a></small></small><br>",<small><small>categoria:&ensp;grupo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;casa, família, lar<br>",,
domus,the country or state or city where you live,lilaLemma:100071,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=08490199-n"" target=""_blank"">08490199-n</a></small></small><br>",<small><small>categoria:&ensp;lugar</small></small><br>,"<small><small>lexemas:</small></small>&ensp;casa, lar<br>",,
dominus,a person who has general authority over others,lilaLemma:98084,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=10388440-n"" target=""_blank"">10388440-n</a></small></small><br>",<small><small>categoria:&ensp;pessoa</small></small><br>,"<small><small>lexemas:</small></small>&ensp;castelão, senhor<br>",,<small><small>valências:&ensp;[PAT]</small></small><br>
castra,a large building formerly occupied by a ruler and fortified against attack,lilaLemma:138599,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02980441-n"" target=""_blank"">02980441-n</a></small></small><br>",<small><small>categoria:&ensp;artefato</small></small><br>,<small><small>lexemas:</small></small>&ensp;castelo<br>,,
uirtus,morality with respect to sexual relations,lilaLemma:130356,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=04849759-n"" target=""_blank"">04849759-n</a></small></small><br>",<small><small>categoria:&ensp;atributo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;castidade, pureza, virtude<br>",,<small><small>valências:&ensp;[ACT]</small></small><br>
genus,a category of things distinguished by some common characteristic or quality,lilaLemma:104504,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05839024-n"" target=""_blank"">05839024-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;categoria, classe, espécies, género, raça, tipo<br>",,
modus,a category of things distinguished by some common characteristic or quality,lilaLemma:112553,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05839024-n"" target=""_blank"">05839024-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;categoria, classe, espécies, género, raça, tipo<br>",,
nomen,a general concept that marks divisions or coordinations in a conceptual scheme,lilaLemma:113797,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=05838765-n"" target=""_blank"">05838765-n</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;categoria, classe, família<br>",,
genus,a collection of things sharing a common attribute,lilaLemma:104504,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=07997703-n"" target=""_blank"">07997703-n</a></small></small><br>",<small><small>categoria:&ensp;grupo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;categoria, classe, família, grupo<br>",,<small><small>valências:&ensp;[MAT]</small></small><br>
natura,a collection of things sharing a common attribute,lilaLemma:113421,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=07997703-n"" target=""_blank"">07997703-n</a></small></small><br>",<small><small>categoria:&ensp;grupo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;categoria, classe, família, grupo<br>",,<small><small>valências:&ensp;[MAT]</small></small><br>
nomen,a collection of things sharing a common attribute,lilaLemma:113797,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=07997703-n"" target=""_blank"">07997703-n</a></small></small><br>",<small><small>categoria:&ensp;grupo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;categoria, classe, família, grupo<br>",,<small><small>valências:&ensp;[MAT]</small></small><br>
pars,something determined in relation to something that includes it,lilaLemma:116084,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=13809207-n"" target=""_blank"">13809207-n</a></small></small><br>",<small><small>categoria:&ensp;relação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;categoria, componente, parte, porção<br>",,<small><small>valências:&ensp;[MAT]</small></small><br>
capio,attract; cause to be enamored,lilaLemma:92686,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01806505-v"" target=""_blank"">01806505-v</a></small></small><br>",<small><small>categoria:&ensp;emoção</small></small><br>,"<small><small>lexemas:</small></small>&ensp;cativar, deleitar, deliciar, encantar, fascinar<br>",<small><small>conceito:</small>&ensp;atrair; impressionar para enamorar-se</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
causa,events that provide the generative force that is the origin of something,lilaLemma:93253,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=07326557-n"" target=""_blank"">07326557-n</a></small></small><br>",<small><small>categoria:&ensp;evento</small></small><br>,<small><small>lexemas:</small></small>&ensp;causa<br>,,<small><small>valências:&ensp;[PAT]</small></small><br>
causa,any entity that produces an effect or is responsible for events or results,lilaLemma:93253,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00007347-n"" target=""_blank"">00007347-n</a></small></small><br>",,"<small><small>lexemas:</small></small>&ensp;causa, causador<br>",<small><small>conceito:</small>&ensp;qualquer entidade que produz um efeito ou é responsável por eventos ou resultados</small><br>,<small><small>valências:&ensp;[PAT]</small></small><br>
causa,a rational motive for a belief or action,lilaLemma:93253,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=09178999-n"" target=""_blank"">09178999-n</a></small></small><br>",<small><small>categoria:&ensp;motivo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causa, motivo, razão<br>",,<small><small>valências:&ensp;[PAT]</small></small><br>
facio,make or cause to be or to become,lilaLemma:102758,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01617192-v"" target=""_blank"">01617192-v</a></small></small><br>",<small><small>categoria:&ensp;criação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, criar, fazer, provocar<br>",,"<small><small>valências:&ensp;[ACT,EFF,PAT] ou [ACT,PAT]</small></small><br>"
do,"cause to have, in the abstract sense or physical sense",lilaLemma:99970,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02316868-v"" target=""_blank"">02316868-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, dar, provocar<br>",,"<small><small>valências:&ensp;[ACT,PAT,ADDR] ou [ACT,PAT] ou [ACT,ADDR,PAT]</small></small><br>"
fero,cause to come into a particular state or condition,lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01438902-v"" target=""_blank"">01438902-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, fazer, levar, produzir, provocar<br>",<small><small>conceito:</small>&ensp;causar a entrar em um estado ou condição especial</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT] ou [ACT,LOC,PAT] ou [ACT,PAT,DIR1,DIR3]</small></small><br>"
do,"cause to happen, occur or exist",lilaLemma:99970,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01752884-v"" target=""_blank"">01752884-v</a></small></small><br>",<small><small>categoria:&ensp;criação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, fazer, produzir, provocar<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT]</small></small><br>"
facio,"cause to happen, occur or exist",lilaLemma:102758,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01752884-v"" target=""_blank"">01752884-v</a></small></small><br>",<small><small>categoria:&ensp;criação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, fazer, produzir, provocar<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT]</small></small><br>"
fero,"cause to happen, occur or exist",lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01752884-v"" target=""_blank"">01752884-v</a></small></small><br>",<small><small>categoria:&ensp;criação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, fazer, produzir, provocar<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT]</small></small><br>"
ago,"give rise to; cause to happen or occur, not always intentionally",lilaLemma:88140,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01645601-v"" target=""_blank"">01645601-v</a></small></small><br>",<small><small>categoria:&ensp;criação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, fazer, provocar<br>",<small><small>conceito:</small>&ensp;dar origem a</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,ADDR] ou [ACT,ADDR,PAT] ou [ACT,EFF,PAT]</small></small><br>"
do,"give rise to; cause to happen or occur, not always intentionally",lilaLemma:99970,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01645601-v"" target=""_blank"">01645601-v</a></small></small><br>",<small><small>categoria:&ensp;criação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, fazer, provocar<br>",<small><small>conceito:</small>&ensp;dar origem a</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,ADDR] ou [ACT,ADDR,PAT] ou [ACT,EFF,PAT]</small></small><br>"
facio,"give rise to; cause to happen or occur, not always intentionally",lilaLemma:102758,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01645601-v"" target=""_blank"">01645601-v</a></small></small><br>",<small><small>categoria:&ensp;criação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;causar, fazer, provocar<br>",<small><small>conceito:</small>&ensp;dar origem a</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,ADDR] ou [ACT,ADDR,PAT] ou [ACT,EFF,PAT]</small></small><br>"
do,give over; surrender or relinquish to the physical control of another,lilaLemma:99970,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02316649-v"" target=""_blank"">02316649-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;ceder, conceder, entregar, submeter-se, sucumbir<br>",<small><small>conceito:</small>&ensp;Entregar-se; render-se ou renunciar seu controle físico a outro</small><br>,"<small><small>valências:&ensp;[ACT,ADDR] ou [ACT,PAT,ADDR] ou [ACT,ADDR,PAT]</small></small><br>"
