lemma,definition,lila_id,synset_id,sem_type,lexemes_pt,own_pt_gloss,argumentSet
capio,cause great unhappiness for; distress,lilaLemma:92686,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01797730-v"" target=""_blank"">01797730-v</a></small></small><br>",<small><small>categoria:&ensp;emoção</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acabrunhar, angustiar, afligir<br>",<small><small>conceito:</small>&ensp;causar grande infelicidade em alguem</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
castra,temporary living quarters specially built by the army for soldiers,lilaLemma:138599,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02944826-n"" target=""_blank"">02944826-n</a></small></small><br>",<small><small>categoria:&ensp;artefato</small></small><br>,<small><small>lexemas:</small></small>&ensp;acampamento<br>,,
audio,"act in accordance with someone's rules, commands, or wishes",lilaLemma:90641,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02542280-v"" target=""_blank"">02542280-v</a></small></small><br>",<small><small>categoria:&ensp;relação social</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acatar, conformar, seguir<br>","<small><small>conceito:</small>&ensp;agir de acordo com as regras, comandos ou desejos de alguém</small><br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
sequor,"act in accordance with someone's rules, commands, or wishes",lilaLemma:124461,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02542280-v"" target=""_blank"">02542280-v</a></small></small><br>",<small><small>categoria:&ensp;relação social</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acatar, conformar, seguir<br>","<small><small>conceito:</small>&ensp;agir de acordo com as regras, comandos ou desejos de alguém</small><br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
teneo,"keep in safety and protect from harm, decay, loss, or destruction",lilaLemma:127822,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02280132-v"" target=""_blank"">02280132-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;acautelar, conservar, manter, preservar<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT]</small></small><br>"
audio,yield to another's wish or opinion,lilaLemma:90641,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00878348-v"" target=""_blank"">00878348-v</a></small></small><br>",<small><small>categoria:&ensp;comunicação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;aceder, submeter<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,ADDR] ou [ACT,PAT,BEN] ou [ACT,PAT,ADDR] ou [ACT,ADDR,PAT]</small></small><br>"
accipio,accept,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01540844-v"" target=""_blank"">01540844-v</a></small></small><br>",<small><small>categoria:&ensp;contato</small></small><br>,<small><small>lexemas:</small></small>&ensp;aceitar<br>,,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
accipio,consider or hold as true,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00686447-v"" target=""_blank"">00686447-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,<small><small>lexemas:</small></small>&ensp;aceitar<br>,<small><small>conceito:</small>&ensp;considerar ou manter como verdadeiro</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
uolo,give an affirmative reply to; respond favorably to,lilaLemma:130745,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00797697-v"" target=""_blank"">00797697-v</a></small></small><br>",<small><small>categoria:&ensp;comunicação</small></small><br>,"<small><small>lexemas:</small></small>&ensp;aceitar, aprovar, concordar, consentir<br>",<small><small>conceito:</small>&ensp;dar uma resposta afirmativa à; responder favoravelmente a</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
gero,take on as one's own the expenses or debts of another person,lilaLemma:104536,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02301825-v"" target=""_blank"">02301825-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;aceitar, assumir<br>",<small><small>conceito:</small>&ensp;assumir como próprias as despesas ou dívidas de outra pessoa</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
accipio,accept as true or valid,lilaLemma:87119,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00686879-v"" target=""_blank"">00686879-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;aceitar, receber<br>",<small><small>conceito:</small>&ensp;aceitar como verdadeiro ou válido</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
