lemma,lila_id,label,upostag,lila_uri,upostag_pt,fl_cat_pt,gen_pt,number_pt,grade_pt,wrList,var_key,ipo_desc,ipo_lemmaKey,dcc_semGrp,dcc_freqRank,LogeionURL
celeriter,lilaIpoLemma:6099,celeriter,ADV,http://lila-erc.eu/data/id/hypolemma/6099,advérbio,indeclinável,,,,,,advérbio,"celeris, celer",Tempo,967,https://logeion.uchicago.edu/celeriter
certe,lilaIpoLemma:6308,certe,ADV,http://lila-erc.eu/data/id/hypolemma/6308,advérbio,indeclinável,,,,certo,,advérbio,certus,Medidas,601,https://logeion.uchicago.edu/certe
citus,lilaIpoLemma:6520,citus,ADJ,http://lila-erc.eu/data/id/hypolemma/6520,adjetivo,1ª classe (tema em -a/o-),,,,,,particípio passado,cieo,Tempo,590,https://logeion.uchicago.edu/citus
diuersus,lilaIpoLemma:13031,diuersus,ADJ,http://lila-erc.eu/data/id/hypolemma/13031,adjetivo,1ª classe (tema em -a/o-),,,,"dibersus, diuorsus",,particípio passado,diuerto,,641,https://logeion.uchicago.edu/diuersus
falsus,lilaIpoLemma:16178,falsus,ADJ,http://lila-erc.eu/data/id/hypolemma/16178,adjetivo,1ª classe (tema em -a/o-),,,,fefellitus,,particípio passado,fallo,Engano,633,https://logeion.uchicago.edu/falsus
feliciter,lilaIpoLemma:16419,feliciter,ADV,http://lila-erc.eu/data/id/hypolemma/16419,advérbio,indeclinável,,,,foeliciter,,advérbio,felix,Características pessoais,994,https://logeion.uchicago.edu/feliciter
hic2,lilaIpoLemma:18676,hic,ADV,http://lila-erc.eu/data/id/hypolemma/18676,advérbio,indeclinável,,,,"eic, hac, hec, hei, heic, heice, heicei, hi, hicce, hici, hicin, hoc, ic",,advérbio,hic,Lugar,80,https://logeion.uchicago.edu/hic
illa,lilaIpoLemma:19401,illa,ADV,http://lila-erc.eu/data/id/hypolemma/19401,advérbio,indeclinável,,,,"illac, illace, illic, illo, illoc, illoce, illuc",,advérbio,ille,Lugar,396,https://logeion.uchicago.edu/illa
longe,lilaIpoLemma:25967,longe,ADV,http://lila-erc.eu/data/id/hypolemma/25967,advérbio,indeclinável,,,,,,advérbio,longus,Medidas,400,https://logeion.uchicago.edu/longe
male,lilaIpoLemma:26555,male,ADV,http://lila-erc.eu/data/id/hypolemma/26555,advérbio,indeclinável,,,,,,advérbio,malus,Características pessoais,603,https://logeion.uchicago.edu/male
notus,lilaIpoLemma:28931,notus,ADJ,http://lila-erc.eu/data/id/hypolemma/28931,adjetivo,1ª classe (tema em -a/o-),,,,,,particípio passado,nosco,Características pessoais,477,https://logeion.uchicago.edu/notus
primum,lilaIpoLemma:35374,primum,ADV,http://lila-erc.eu/data/id/hypolemma/35374,advérbio,indeclinável,,,superlativo,"preime, prime, primo",,advérbio superlativo,primus,Tempo,252,https://logeion.uchicago.edu/primum
priuatus,lilaIpoLemma:35410,priuatus,ADJ,http://lila-erc.eu/data/id/hypolemma/35410,adjetivo,1ª classe (tema em -a/o-),,,,preiuatus,,particípio passado,priuo,Sociedade,882,https://logeion.uchicago.edu/priuatus
rectus,lilaIpoLemma:38296,rectus,ADJ,http://lila-erc.eu/data/id/hypolemma/38296,adjetivo,1ª classe (tema em -a/o-),,,,,,particípio passado,rego,Medidas,823,https://logeion.uchicago.edu/rectus
sancitus,lilaIpoLemma:39324,sancitus,ADJ,http://lila-erc.eu/data/id/hypolemma/39324,adjetivo,1ª classe (tema em -a/o-),,,,"sanctus, santus, xantus",,particípio passado,sancio,Religião,659,https://logeion.uchicago.edu/sancitus
sapiens2,lilaIpoLemma:39393,sapiens,ADJ,http://lila-erc.eu/data/id/hypolemma/39393,adjetivo,2ª classe (sem vogal temática),,,,,,particípio presente,sapio,"Educação, Conhecimento",453,https://logeion.uchicago.edu/sapiens
