lemma,lila_id,label,upostag,lila_uri,upostag_pt,fl_cat_pt,gen_pt,number_pt,grade_pt,wrList,var_key,ipo_desc,ipo_lemmaKey,dcc_semGrp,dcc_freqRank,LogeionURL
aliter,lilaLemma:28966,aliter,ADV,http://lila-erc.eu/data/id/lemma/28966,advérbio,indeclinável,,,,,,,,,782,https://logeion.uchicago.edu/aliter
fore,lilaLemma:52877,fore,VERB,http://lila-erc.eu/data/id/lemma/52877,verbo,irregular,,,,,,,,Vida e Existência,985,https://logeion.uchicago.edu/fore
maiores,lilaLemma:63256,maiores,NOUN,http://lila-erc.eu/data/id/lemma/63256,substantivo,3ª declinação (sem vogal temática),masculino,plural,,,,,,Família,764,https://logeion.uchicago.edu/maiores
princeps,lilaLemma:73416,princeps,NOUN,http://lila-erc.eu/data/id/lemma/73416,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Cidade,317,https://logeion.uchicago.edu/princeps
senex,lilaLemma:80013,senex,NOUN,http://lila-erc.eu/data/id/lemma/80013,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Pessoas,558,https://logeion.uchicago.edu/senex
seu,lilaLemma:80438,seu,CCONJ,http://lila-erc.eu/data/id/lemma/80438,conjunção coordenativa,indeclinável,,,,,,,,,343,https://logeion.uchicago.edu/seu
siue2,lilaLemma:80949,siue,CCONJ,http://lila-erc.eu/data/id/lemma/80949,conjunção coordenativa,indeclinável,,,,,,,,,362,https://logeion.uchicago.edu/siue
superi,lilaLemma:83429,superi,NOUN,http://lila-erc.eu/data/id/lemma/83429,substantivo,2ª declinação (tema em -o-),masculino,plural,,,,,,Religião,714,https://logeion.uchicago.edu/superi
unus,lilaLemma:85636,unus,DET,http://lila-erc.eu/data/id/lemma/85636,determinante,"1ª classe, pronominal (tema em -a/o-)",,,,,,,,Medidas,53,https://logeion.uchicago.edu/unus
ab,lilaLemma:86824,ab,ADP,http://lila-erc.eu/data/id/lemma/86824,preposição,indeclinável,,,,"a, abs, af, aps",,,,Lugar,21,https://logeion.uchicago.edu/ab
abeo,lilaLemma:86873,abeo,VERB,http://lila-erc.eu/data/id/lemma/86873,verbo,irregular,,,,,,,,Movimento,553,https://logeion.uchicago.edu/abeo
absum,lilaLemma:87040,absum,VERB,http://lila-erc.eu/data/id/lemma/87040,verbo,irregular,,,,apsum,,,,Viagem,445,https://logeion.uchicago.edu/absum
accedo,lilaLemma:87084,accedo,VERB,http://lila-erc.eu/data/id/lemma/87084,verbo,3ª conjugação (sem vogal temática),,,,adcedo,,,,Movimento,614,https://logeion.uchicago.edu/accedo
accido,lilaLemma:87112,accido,VERB,http://lila-erc.eu/data/id/lemma/87112,verbo,3ª conjugação (sem vogal temática),,,,"accado, accedo",,,,Movimento,799,https://logeion.uchicago.edu/accido
accipio,lilaLemma:87119,accipio,VERB,http://lila-erc.eu/data/id/lemma/87119,verbo,5ª conjugação (tema em -ĭ- breve),,,,,,,,Sociedade,110,https://logeion.uchicago.edu/accipio
acer,lilaLemma:87184,acer,ADJ,http://lila-erc.eu/data/id/lemma/87184,adjetivo,2ª classe (tema em -i-),,,,,,,,,587,https://logeion.uchicago.edu/acer
acies,lilaLemma:87231,acies,NOUN,http://lila-erc.eu/data/id/lemma/87231,substantivo,5ª declinação (tema em -e-),feminino,,,,,,,Guerra e Paz,439,https://logeion.uchicago.edu/acies
ad,lilaLemma:87344,ad,ADP,http://lila-erc.eu/data/id/lemma/87344,preposição,indeclinável,,,,"ar, at",,,,Lugar,14,https://logeion.uchicago.edu/ad
addo,lilaLemma:87401,addo,VERB,http://lila-erc.eu/data/id/lemma/87401,verbo,3ª conjugação (sem vogal temática),,,,,,,,Sociedade,433,https://logeion.uchicago.edu/addo
adduco,lilaLemma:87410,adduco,VERB,http://lila-erc.eu/data/id/lemma/87410,verbo,3ª conjugação (sem vogal temática),,,,,,,,Verbo diretivo ou promissivo,886,https://logeion.uchicago.edu/adduco
at,lilaLemma:87415,at,CCONJ,http://lila-erc.eu/data/id/lemma/87415,conjunção coordenativa,indeclinável,,,,ad,,,,,74,https://logeion.uchicago.edu/at
adeo,lilaLemma:87420,adeo,ADV,http://lila-erc.eu/data/id/lemma/87420,advérbio,indeclinável,,,,ateo,,,,,555,https://logeion.uchicago.edu/adeo
adeo2,lilaLemma:87421,adeo,VERB,http://lila-erc.eu/data/id/lemma/87421,verbo,irregular,,,,,,,,Movimento,595,https://logeion.uchicago.edu/adeo
adhibeo,lilaLemma:87433,adhibeo,VERB,http://lila-erc.eu/data/id/lemma/87433,verbo,2ª conjugação (tema em -e-),,,,,,,,"Fazer, Criar",959,https://logeion.uchicago.edu/adhibeo
adhuc,lilaLemma:87443,adhuc,ADV,http://lila-erc.eu/data/id/lemma/87443,advérbio,indeclinável,,,,"adhoc, adhucine",,,,Lugar,379,https://logeion.uchicago.edu/adhuc
adsum,lilaLemma:87642,adsum,VERB,http://lila-erc.eu/data/id/lemma/87642,verbo,irregular,,,,assum,,,,Lugar,279,https://logeion.uchicago.edu/adsum
aduenio,lilaLemma:87654,aduenio,VERB,http://lila-erc.eu/data/id/lemma/87654,verbo,4ª conjugação (tema em -ī- longo),,,,aruenio,,,,Viagem,987,https://logeion.uchicago.edu/aduenio
amicus2,lilaLemma:87667,amicus,ADJ,http://lila-erc.eu/data/id/lemma/87667,adjetivo,1ª classe (tema em -a/o-),,,,"amecus, ameicus",,,,Características pessoais,198,https://logeion.uchicago.edu/amicus
aduersus,lilaLemma:87680,aduersus,ADP,http://lila-erc.eu/data/id/lemma/87680,preposição,indeclinável,,,,"aduersum, aduorsum, aduorsus, aruorsum, atuersus",,,,Guerra e Paz,460,https://logeion.uchicago.edu/aduersus
aduersus3,lilaLemma:87681,aduersus,ADV,http://lila-erc.eu/data/id/lemma/87681,advérbio,indeclinável,,,,"aduersum, aduorsum, aduorsus, aruorsum, atuersus",,,,Guerra e Paz,460,https://logeion.uchicago.edu/aduersus
aduerto,lilaLemma:87682,aduerto,VERB,http://lila-erc.eu/data/id/lemma/87682,verbo,3ª conjugação (sem vogal temática),,,,aduorto,,,,Movimento,986,https://logeion.uchicago.edu/aduerto
aedes,lilaLemma:87733,aedes,NOUN,http://lila-erc.eu/data/id/lemma/87733,substantivo,3ª declinação (sem vogal temática),feminino,,,"aedis, aidis",,,,Casa,965,https://logeion.uchicago.edu/aedes
aeger,lilaLemma:87761,aeger,ADJ,http://lila-erc.eu/data/id/lemma/87761,adjetivo,1ª classe (tema em -a/o-),,,,eger,,,,Vida e Existência,810,https://logeion.uchicago.edu/aeger
aequus,lilaLemma:87765,aequus,ADJ,http://lila-erc.eu/data/id/lemma/87765,adjetivo,1ª classe (tema em -a/o-),,,,"aecus, aequos, aiquos, aiquus",,,,Justiça,610,https://logeion.uchicago.edu/aequus
aequor,lilaLemma:87870,aequor,NOUN,http://lila-erc.eu/data/id/lemma/87870,substantivo,3ª declinação (sem vogal temática),neutro,,,aecor,,,,Terra e Água,424,https://logeion.uchicago.edu/aequor
aer,lilaLemma:87873,aer,NOUN,http://lila-erc.eu/data/id/lemma/87873,substantivo,3ª declinação (sem vogal temática),comum de dois gêneros,,,,,,,Ar e Fogo,845,https://logeion.uchicago.edu/aer
aes,lilaLemma:87918,aes,NOUN,http://lila-erc.eu/data/id/lemma/87918,substantivo,3ª declinação (sem vogal temática),neutro,,,,,,,"Negócios, Dinheiro",744,https://logeion.uchicago.edu/aes
aetas,lilaLemma:87955,aetas,NOUN,http://lila-erc.eu/data/id/lemma/87955,substantivo,3ª declinação (sem vogal temática),feminino,,,"aeuitas, etas",,,,Durações de tempo,308,https://logeion.uchicago.edu/aetas
aeternus,lilaLemma:87961,aeternus,ADJ,http://lila-erc.eu/data/id/lemma/87961,adjetivo,1ª classe (tema em -a/o-),,,,aeuiternus,,,,Durações de tempo,734,https://logeion.uchicago.edu/aeternus
aether,lilaLemma:87965,aether,NOUN,http://lila-erc.eu/data/id/lemma/87965,substantivo,3ª declinação (sem vogal temática),masculino,,,aeter,,,,Ar e Fogo,851,https://logeion.uchicago.edu/aether
antiquus,lilaLemma:87976,antiquus,ADJ,http://lila-erc.eu/data/id/lemma/87976,adjetivo,1ª classe (tema em -a/o-),,,,"anticus, anticuus, antiqus",,,,Durações de tempo,617,https://logeion.uchicago.edu/antiquus
aeuum,lilaLemma:87978,aeuum,NOUN,http://lila-erc.eu/data/id/lemma/87978,substantivo,2ª declinação (tema em -o-),neutro,,,aeuom,,,,Durações de tempo,875,https://logeion.uchicago.edu/aeuum
affero,lilaLemma:88001,affero,VERB,http://lila-erc.eu/data/id/lemma/88001,verbo,irregular,,,,"adfero, adtolo, adtulo, attolo, attulo",,,,Verbo de transporte,514,https://logeion.uchicago.edu/affero
afficio,lilaLemma:88003,afficio,VERB,http://lila-erc.eu/data/id/lemma/88003,verbo,5ª conjugação (tema em -ĭ- breve),,,,adficio,,,,Sociedade,958,https://logeion.uchicago.edu/afficio
ager,lilaLemma:88060,ager,NOUN,http://lila-erc.eu/data/id/lemma/88060,substantivo,2ª declinação (tema em -o-),masculino,,,,,,,Plantas e Animais,324,https://logeion.uchicago.edu/ager
agito,lilaLemma:88103,agito,VERB,http://lila-erc.eu/data/id/lemma/88103,verbo,1ª conjugação (tema em -a-),,,,,,,,Verbo diretivo ou promissivo,578,https://logeion.uchicago.edu/agito
agmen,lilaLemma:88106,agmen,NOUN,http://lila-erc.eu/data/id/lemma/88106,substantivo,3ª declinação (sem vogal temática),neutro,,,,,,,Guerra e Paz,358,https://logeion.uchicago.edu/agmen
ago,lilaLemma:88140,ago,VERB,http://lila-erc.eu/data/id/lemma/88140,verbo,3ª conjugação (sem vogal temática),,,,,,,,Verbo diretivo ou promissivo,69,https://logeion.uchicago.edu/ago
aio,lilaLemma:88191,aio,VERB,http://lila-erc.eu/data/id/lemma/88191,verbo,irregular,,,,,,,,"Discurso, Oratória",406,https://logeion.uchicago.edu/aio
albus,lilaLemma:88265,albus,ADJ,http://lila-erc.eu/data/id/lemma/88265,adjetivo,1ª classe (tema em -a/o-),,,,aluus,,,,Visão,925,https://logeion.uchicago.edu/albus
alienus,lilaLemma:88330,alienus,ADJ,http://lila-erc.eu/data/id/lemma/88330,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Geografia,367,https://logeion.uchicago.edu/alienus
alo,lilaLemma:88429,alo,VERB,http://lila-erc.eu/data/id/lemma/88429,verbo,3ª conjugação (sem vogal temática),,,,,,,,Vida e Existência,817,https://logeion.uchicago.edu/alo
alter,lilaLemma:88457,alter,DET,http://lila-erc.eu/data/id/lemma/88457,determinante,"1ª classe, pronominal (tema em -a/o-)",,,,,,,,Medidas,148,https://logeion.uchicago.edu/alter
alius,lilaLemma:88481,alius,DET,http://lila-erc.eu/data/id/lemma/88481,determinante,1ª classe (tema em -a/o-),,,,,,,,,37,https://logeion.uchicago.edu/alius
amicus,lilaLemma:88684,amicus,NOUN,http://lila-erc.eu/data/id/lemma/88684,substantivo,2ª declinação (tema em -o-),masculino,,,ameicus,,,,Características pessoais,198,https://logeion.uchicago.edu/amicus
amnis,lilaLemma:88704,amnis,NOUN,http://lila-erc.eu/data/id/lemma/88704,substantivo,3ª declinação (tema em -i-),masculino,,,,,,,Terra e Água,467,https://logeion.uchicago.edu/amnis
amo,lilaLemma:88705,amo,VERB,http://lila-erc.eu/data/id/lemma/88705,verbo,1ª conjugação (tema em -a-),,,,,,,,Amor,219,https://logeion.uchicago.edu/amo
amor,lilaLemma:88717,amor,NOUN,http://lila-erc.eu/data/id/lemma/88717,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Amor,116,https://logeion.uchicago.edu/amor
amitto,lilaLemma:88724,amitto,VERB,http://lila-erc.eu/data/id/lemma/88724,verbo,3ª conjugação (sem vogal temática),,,,abmitto,,,,Verbo diretivo ou promissivo,486,https://logeion.uchicago.edu/amitto
amplus,lilaLemma:88785,amplus,ADJ,http://lila-erc.eu/data/id/lemma/88785,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Medidas,915,https://logeion.uchicago.edu/amplus
an,lilaLemma:88828,an,CCONJ,http://lila-erc.eu/data/id/lemma/88828,conjunção coordenativa,indeclinável,,,,"anne, annon",,,,,94,https://logeion.uchicago.edu/an
anima,lilaLemma:89075,anima,NOUN,http://lila-erc.eu/data/id/lemma/89075,substantivo,1ª declinação (tema em -a/e-),feminino,,,,,,,Vida e Existência,493,https://logeion.uchicago.edu/anima
animal,lilaLemma:89082,animal,NOUN,http://lila-erc.eu/data/id/lemma/89082,substantivo,3ª declinação (sem vogal temática),neutro,,,,,,,Plantas e Animais,547,https://logeion.uchicago.edu/animal
animus,lilaLemma:89094,animus,NOUN,http://lila-erc.eu/data/id/lemma/89094,substantivo,2ª declinação (tema em -o-),masculino,,,,,,,Vida e Existência,40,https://logeion.uchicago.edu/animus
annus,lilaLemma:89129,annus,NOUN,http://lila-erc.eu/data/id/lemma/89129,substantivo,2ª declinação (tema em -o-),masculino,,,anus,,,,Durações de tempo,167,https://logeion.uchicago.edu/annus
ante,lilaLemma:89164,ante,ADP,http://lila-erc.eu/data/id/lemma/89164,preposição,indeclinável,,,,anti,,,,Tempo,112,https://logeion.uchicago.edu/ante
aperio,lilaLemma:89397,aperio,VERB,http://lila-erc.eu/data/id/lemma/89397,verbo,4ª conjugação (tema em -ī- longo),,,,,,,,Casa,837,https://logeion.uchicago.edu/aperio
apio,lilaLemma:89451,apio,VERB,http://lila-erc.eu/data/id/lemma/89451,verbo,5ª conjugação (tema em -ĭ- breve),,,,,,,,,,https://logeion.uchicago.edu/apio
amicitia,lilaLemma:89461,amicitia,NOUN,http://lila-erc.eu/data/id/lemma/89461,substantivo,1ª declinação (tema em -a-),feminino,,,ameicitia,,,,Sociedade,690,https://logeion.uchicago.edu/amicitia
appareo,lilaLemma:89567,appareo,VERB,http://lila-erc.eu/data/id/lemma/89567,verbo,2ª conjugação (tema em -e-),,,,adpareo,,,,Visão,830,https://logeion.uchicago.edu/appareo
appello,lilaLemma:89580,appello,VERB,http://lila-erc.eu/data/id/lemma/89580,verbo,1ª conjugação (tema em -a-),,,,adpello,,,,Sociedade,700,https://logeion.uchicago.edu/appello
apud,lilaLemma:89686,apud,ADP,http://lila-erc.eu/data/id/lemma/89686,preposição,indeclinável,,,,"apor, apur, aput",,,,Lugar,205,https://logeion.uchicago.edu/apud
aqua,lilaLemma:89692,aqua,NOUN,http://lila-erc.eu/data/id/lemma/89692,substantivo,1ª declinação (tema em -a-),feminino,,,"acua, aqiia",,,,Terra e Água,272,https://logeion.uchicago.edu/aqua
ara,lilaLemma:89737,ara,NOUN,http://lila-erc.eu/data/id/lemma/89737,substantivo,1ª declinação (tema em -a-),feminino,,,"asa, hasa",,,,Religião,374,https://logeion.uchicago.edu/ara
arbitror,lilaLemma:89778,arbitror,VERB,http://lila-erc.eu/data/id/lemma/89778,verbo,1ª conjugação depoente (tema em -a-),,,,,,,,"Educação, Conhecimento",963,https://logeion.uchicago.edu/arbitror
arbor,lilaLemma:89780,arbor,NOUN,http://lila-erc.eu/data/id/lemma/89780,substantivo,3ª declinação (sem vogal temática),feminino,,,arbos,,,,Plantas e Animais,468,https://logeion.uchicago.edu/arbor
ardeo,lilaLemma:89900,ardeo,VERB,http://lila-erc.eu/data/id/lemma/89900,verbo,2ª conjugação (tema em -e-),,,,,,,,Ar e Fogo,618,https://logeion.uchicago.edu/ardeo
argentum,lilaLemma:89933,argentum,NOUN,http://lila-erc.eu/data/id/lemma/89933,substantivo,2ª declinação (tema em -o-),neutro,,,"arcentom, arcentum, argentom",,,,"Negócios, Dinheiro",849,https://logeion.uchicago.edu/argentum
arma,lilaLemma:89998,arma,NOUN,http://lila-erc.eu/data/id/lemma/89998,substantivo,2ª declinação (tema em -o-),neutro,plural,,,,,,Guerra e Paz,98,https://logeion.uchicago.edu/arma
ars,lilaLemma:90089,ars,NOUN,http://lila-erc.eu/data/id/lemma/90089,substantivo,3ª declinação (sem vogal temática),feminino,,,,,,,"Educação, Conhecimento",258,https://logeion.uchicago.edu/ars
aruum,lilaLemma:90169,aruum,NOUN,http://lila-erc.eu/data/id/lemma/90169,substantivo,2ª declinação (tema em -o-),neutro,,,aruom,,,,Plantas e Animais,637,https://logeion.uchicago.edu/aruum
arx,lilaLemma:90170,arx,NOUN,http://lila-erc.eu/data/id/lemma/90170,substantivo,3ª declinação (sem vogal temática),feminino,,,arcs,,,,Cidade,638,https://logeion.uchicago.edu/arx
ascendo,lilaLemma:90185,ascendo,VERB,http://lila-erc.eu/data/id/lemma/90185,verbo,3ª conjugação (sem vogal temática),,,,adscendo,,,,Viagem,990,https://logeion.uchicago.edu/ascendo
aspicio,lilaLemma:90262,aspicio,VERB,http://lila-erc.eu/data/id/lemma/90262,verbo,5ª conjugação (tema em -ĭ- breve),,,,adspicio,,,,Visão,483,https://logeion.uchicago.edu/aspicio
astrum,lilaLemma:90464,astrum,NOUN,http://lila-erc.eu/data/id/lemma/90464,substantivo,2ª declinação (tema em -o-),neutro,,,astrom,,,,Ar e Fogo,685,https://logeion.uchicago.edu/astrum
atque,lilaLemma:90490,atque,CCONJ,http://lila-erc.eu/data/id/lemma/90490,conjunção coordenativa,indeclinável,,,,"ac, acsi, adque",,,,,35,https://logeion.uchicago.edu/atque
auctor,lilaLemma:90615,auctor,NOUN,http://lila-erc.eu/data/id/lemma/90615,substantivo,3ª declinação (sem vogal temática),comum de dois gêneros,,,"author, autor",,,,Cultura literária,546,https://logeion.uchicago.edu/auctor
auctoritas,lilaLemma:90620,auctoritas,NOUN,http://lila-erc.eu/data/id/lemma/90620,substantivo,3ª declinação (sem vogal temática),feminino,,,"authoritas, autoritas",,,,Sociedade,898,https://logeion.uchicago.edu/auctoritas
audax,lilaLemma:90634,audax,ADJ,http://lila-erc.eu/data/id/lemma/90634,adjetivo,2ª classe (sem vogal temática),,,,,,,,Características pessoais,876,https://logeion.uchicago.edu/audax
audeo,lilaLemma:90638,audeo,VERB,http://lila-erc.eu/data/id/lemma/90638,verbo,2ª conjugação (tema em -e-),,,,,,,,Características pessoais,270,https://logeion.uchicago.edu/audeo
audio,lilaLemma:90641,audio,VERB,http://lila-erc.eu/data/id/lemma/90641,verbo,4ª conjugação (tema em -ī- longo),,,,,,,,,165,https://logeion.uchicago.edu/audio
aufero,lilaLemma:90671,aufero,VERB,http://lila-erc.eu/data/id/lemma/90671,verbo,irregular,,,,"abfero, afero",,,,Verbo de transporte,556,https://logeion.uchicago.edu/aufero
augeo,lilaLemma:90673,augeo,VERB,http://lila-erc.eu/data/id/lemma/90673,verbo,2ª conjugação (tema em -e-),,,,,,,,"Fazer, Criar",709,https://logeion.uchicago.edu/augeo
auis,lilaLemma:90710,auis,NOUN,http://lila-erc.eu/data/id/lemma/90710,substantivo,3ª declinação (tema em -i-),feminino,,,,,,,Plantas e Animais,855,https://logeion.uchicago.edu/auis
aura,lilaLemma:90740,aura,NOUN,http://lila-erc.eu/data/id/lemma/90740,substantivo,1ª declinação (tema em -a-),feminino,,,,,,,Ar e Fogo,420,https://logeion.uchicago.edu/aura
aureus,lilaLemma:90754,aureus,ADJ,http://lila-erc.eu/data/id/lemma/90754,adjetivo,1ª classe (tema em -a/o-),,,,,,,,"Negócios, Dinheiro",691,https://logeion.uchicago.edu/aureus
auris,lilaLemma:90784,auris,NOUN,http://lila-erc.eu/data/id/lemma/90784,substantivo,3ª declinação (tema em -i-),feminino,,,,,,,Corpo,366,https://logeion.uchicago.edu/auris
aurum,lilaLemma:90802,aurum,NOUN,http://lila-erc.eu/data/id/lemma/90802,substantivo,2ª declinação (tema em -o-),neutro,,,"aurom, orom, orum",,,,"Negócios, Dinheiro",303,https://logeion.uchicago.edu/aurum
aut,lilaLemma:90827,aut,CCONJ,http://lila-erc.eu/data/id/lemma/90827,conjunção coordenativa,indeclinável,,,,,,,,,24,https://logeion.uchicago.edu/aut
autem,lilaLemma:90828,autem,CCONJ,http://lila-erc.eu/data/id/lemma/90828,conjunção coordenativa,indeclinável,,,,audem,,,,,123,https://logeion.uchicago.edu/autem
auxilium,lilaLemma:90873,auxilium,NOUN,http://lila-erc.eu/data/id/lemma/90873,substantivo,2ª declinação (tema em -o-),neutro,,,auxiliom,,,,Guerra e Paz,543,https://logeion.uchicago.edu/auxilium
antequam,lilaLemma:90912,antequam,SCONJ,http://lila-erc.eu/data/id/lemma/90912,conjunção subordinativa,indeclinável,,,,,,,,Tempo,787,https://logeion.uchicago.edu/antequam
aliquando,lilaLemma:91094,aliquando,ADV,http://lila-erc.eu/data/id/lemma/91094,advérbio,indeclinável,,,,,,,,Tempo,763,https://logeion.uchicago.edu/aliquando
aliquis,lilaLemma:91108,aliquis,PRON,http://lila-erc.eu/data/id/lemma/91108,pronome,pronominal,,,,,,,,,77,https://logeion.uchicago.edu/aliquis
barbarus,lilaLemma:91327,barbarus,NOUN,http://lila-erc.eu/data/id/lemma/91327,substantivo,2ª declinação (tema em -o-),masculino,,,,,,,Guerra e Paz,768,https://logeion.uchicago.edu/barbarus
bellum,lilaLemma:91461,bellum,NOUN,http://lila-erc.eu/data/id/lemma/91461,substantivo,2ª declinação (tema em -o-),neutro,,,"bellom, duellom, duellum",,,,Guerra e Paz,86,https://logeion.uchicago.edu/bellum
bene,lilaLemma:91473,bene,ADV,http://lila-erc.eu/data/id/lemma/91473,advérbio,indeclinável,,,,,,,,Características pessoais,235,https://logeion.uchicago.edu/bene
beneficium,lilaLemma:91483,beneficium,NOUN,http://lila-erc.eu/data/id/lemma/91483,substantivo,2ª declinação (tema em -o-),neutro,,,"beneficiom, benficiom, benficium, benificiom, benificium",,,,Sociedade,182,https://logeion.uchicago.edu/beneficium
beo,lilaLemma:91497,beo,VERB,http://lila-erc.eu/data/id/lemma/91497,verbo,1ª conjugação (tema em -a-),,,,,,,,,,https://logeion.uchicago.edu/beo
bonus,lilaLemma:91782,bonus,ADJ,http://lila-erc.eu/data/id/lemma/91782,adjetivo,1ª classe (tema em -a/o-),,,,"duenos, dunus, duonus",,,,Características pessoais,68,https://logeion.uchicago.edu/bonus
bos,lilaLemma:91797,bos,NOUN,http://lila-erc.eu/data/id/lemma/91797,substantivo,3ª declinação (sem vogal temática),comum de dois gêneros,,,"bouis, bus",,,,Plantas e Animais,808,https://logeion.uchicago.edu/bos
breuis,lilaLemma:91883,breuis,ADJ,http://lila-erc.eu/data/id/lemma/91883,adjetivo,2ª classe (tema em -i-),,,,,,,,Medidas,589,https://logeion.uchicago.edu/breuis
cado,lilaLemma:92179,cado,VERB,http://lila-erc.eu/data/id/lemma/92179,verbo,3ª conjugação (sem vogal temática),,,,,,,,Violência,210,https://logeion.uchicago.edu/cado
caecus,lilaLemma:92203,caecus,ADJ,http://lila-erc.eu/data/id/lemma/92203,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Visão,728,https://logeion.uchicago.edu/caecus
caedes,lilaLemma:92206,caedes,NOUN,http://lila-erc.eu/data/id/lemma/92206,substantivo,3ª declinação (sem vogal temática),feminino,,,caedis,,,,Violência,415,https://logeion.uchicago.edu/caedes
caedo,lilaLemma:92207,caedo,VERB,http://lila-erc.eu/data/id/lemma/92207,verbo,3ª conjugação (sem vogal temática),,,,,,,,Violência,612,https://logeion.uchicago.edu/caedo
caelestis,lilaLemma:92214,caelestis,ADJ,http://lila-erc.eu/data/id/lemma/92214,adjetivo,2ª classe (tema em -i-),,,,"celestis, coelestis",,,,Ar e Fogo,960,https://logeion.uchicago.edu/caelestis
caelum,lilaLemma:92231,caelum,NOUN,http://lila-erc.eu/data/id/lemma/92231,substantivo,2ª declinação (tema em -o-),neutro,,,"coelom, coelum",,,,Ar e Fogo,117,https://logeion.uchicago.edu/caelum
candidus,lilaLemma:92556,candidus,ADJ,http://lila-erc.eu/data/id/lemma/92556,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Visão,692,https://logeion.uchicago.edu/candidus
canis,lilaLemma:92575,canis,NOUN,http://lila-erc.eu/data/id/lemma/92575,substantivo,3ª declinação (tema em -i-),comum de dois gêneros,,,canes,,,,Plantas e Animais,687,https://logeion.uchicago.edu/canis
cano,lilaLemma:92600,cano,VERB,http://lila-erc.eu/data/id/lemma/92600,verbo,3ª conjugação (sem vogal temática),,,,,,,,Cultura literária,389,https://logeion.uchicago.edu/cano
capio,lilaLemma:92686,capio,VERB,http://lila-erc.eu/data/id/lemma/92686,verbo,5ª conjugação (tema em -ĭ- breve),,,,kapio,,,,Guerra e Paz,131,https://logeion.uchicago.edu/capio
caput,lilaLemma:92796,caput,NOUN,http://lila-erc.eu/data/id/lemma/92796,substantivo,3ª declinação (sem vogal temática),neutro,,,"capud, capus, kaput",,,,Corpo,124,https://logeion.uchicago.edu/caput
careo,lilaLemma:92848,careo,VERB,http://lila-erc.eu/data/id/lemma/92848,verbo,2ª conjugação (tema em -e-),,,,,,,,"Negócios, Dinheiro",572,https://logeion.uchicago.edu/careo
carus,lilaLemma:92942,carus,ADJ,http://lila-erc.eu/data/id/lemma/92942,adjetivo,1ª classe (tema em -a/o-),,,,karus,,,,Características pessoais,462,https://logeion.uchicago.edu/carus
castrum,lilaLemma:93023,castrum,NOUN,http://lila-erc.eu/data/id/lemma/93023,substantivo,2ª declinação (tema em -o-),neutro,,,castrom,,,,Guerra e Paz,224,https://logeion.uchicago.edu/castrum
castus,lilaLemma:93035,castus,ADJ,http://lila-erc.eu/data/id/lemma/93035,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Características pessoais,838,https://logeion.uchicago.edu/castus
caueo,lilaLemma:93200,caueo,VERB,http://lila-erc.eu/data/id/lemma/93200,verbo,2ª conjugação (tema em -e-),,,,,,,,Violência,941,https://logeion.uchicago.edu/caueo
causa,lilaLemma:93253,causa,NOUN,http://lila-erc.eu/data/id/lemma/93253,substantivo,1ª declinação (tema em -a-),feminino,,,"caussa, kausa, kaussa",,,,"Discurso, Oratória",107,https://logeion.uchicago.edu/causa
cedo,lilaLemma:93298,cedo,VERB,http://lila-erc.eu/data/id/lemma/93298,verbo,3ª conjugação (sem vogal temática),,,,,,,,Guerra e Paz,304,https://logeion.uchicago.edu/cedo
celebro,lilaLemma:93319,celebro,VERB,http://lila-erc.eu/data/id/lemma/93319,verbo,1ª conjugação (tema em -a-),,,,,,,,Cidade,893,https://logeion.uchicago.edu/celebro
celeris,lilaLemma:93321,celeris,ADJ,http://lila-erc.eu/data/id/lemma/93321,adjetivo,2ª classe (tema em -i-),,,,,celer,,,,,https://logeion.uchicago.edu/celeris
celer,lilaLemma:93322,celer,ADJ,http://lila-erc.eu/data/id/lemma/93322,adjetivo,2ª classe (tema em -i-),,,,,celeris,,,Tempo,745,https://logeion.uchicago.edu/celer
censeo,lilaLemma:93395,censeo,VERB,http://lila-erc.eu/data/id/lemma/93395,verbo,2ª conjugação (tema em -e-),,,,,,,,"Educação, Conhecimento",928,https://logeion.uchicago.edu/censeo
centum,lilaLemma:93446,centum,NUM,http://lila-erc.eu/data/id/lemma/93446,numeral,indeclinável,,,,,,,,Medidas,730,https://logeion.uchicago.edu/centum
cerno,lilaLemma:93546,cerno,VERB,http://lila-erc.eu/data/id/lemma/93546,verbo,3ª conjugação (sem vogal temática),,,,,,,,"Educação, Conhecimento",655,https://logeion.uchicago.edu/cerno
certo,lilaLemma:93580,certo,VERB,http://lila-erc.eu/data/id/lemma/93580,verbo,1ª conjugação (tema em -a-),,,,,,,,Atletismo,864,https://logeion.uchicago.edu/certo
certus,lilaLemma:93581,certus,ADJ,http://lila-erc.eu/data/id/lemma/93581,adjetivo,1ª classe (tema em -a/o-),,,,,,,,Medidas,285,https://logeion.uchicago.edu/certus
