lemma,lila_id,source,entry_id,senseGroup,sense_id,sense_prefix,example_text,example_prenote,example_trad,example_posnote
do,lilaLemma:99970,Fonseca,Fonseca1798.n09326.e01,Fonseca1798.n09326.sg01,Fonseca1798.n09326.sg01.s99,X,dare aliquem manibus,Liv,Sacrificar alguem ás almas dos mortos,
do,lilaLemma:99970,Fonseca,Fonseca1798.n09326.e01,Fonseca1798.n09326.sg01,Fonseca1798.n09326.sg01.s99,X,dare aliquid auribus,Cic,Dizer alguma cousa por lisonja,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare aliquid in terram,Suet,Lançar alguma coisa por terra,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s09,9,dare bella ducis,V. Fl,Celebrar os combates d’um capitão,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare causas suspicionum,Cic,Causar suspeitas,
do,lilaLemma:99970,Velez,Velez1744.n1100.e01,Velez1744.n1100.sg01,Velez1744.n1100.sg01.s99,X,dare ciuitatem,,fazer cidadaõ,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s09,9,dare dicta,Liv. Virg,Fallar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare dolorem,Cic,Causar dôr,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare dona,Plaut,Dar presentes,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare exitium,Tac,Causar a ruina,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s09,9,dare fabricam,Plaut,"Enganar alguem, lograr",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s11,11,dare fabulam,Cic,Apresentar uma composição de theatro,
do,lilaLemma:99970,Fonseca,Fonseca1798.n09326.e01,Fonseca1798.n09326.sg01,Fonseca1798.n09326.sg01.s99,X,dare fenestram,Virg,Abrir hum buraco na parede,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare filiam in matrimonium,Cæs,Dar sua filha em casamento,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare finem,Virg,Acabar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s08,8,dare gemitum,Virg,A trombeta dá o signal,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare hostes in fugam,Cæs,Pôr os inimigos em fugida,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare imperia,Cic,Dar ordens,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s05,5,dare impetum,Virg,"Atirar-se, precipitar-se",
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s02,2,dare iter,Liv,Conceder passagem,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare lacrimas,Virg,Chorar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s04,4,dare latus undis,Virg,Apresentar o costado ás ondas,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s10,10,dare litem secundum aliquem,Cic. Plin. J,Vencer a causa em favor de alguem,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s03,3,dare litteras,Cic,Mandar entregar uma carta,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s01,1,dare locum,Cic,Dar logar,
do,lilaLemma:99970,Saraiva,Saraiva1910.xDo,Saraiva1910.xDo.sg01,Saraiva1910.xDo.sg01.s14,14,dare lora,Virg,Afrouxar as redeas,
