lemma,lila_id,entry_id,bibref,pdfurl,clpurl,pubyear,prefix,form_lemma,subClass,senseGroup,ontolex.canonicalForm,rdfs.label,PRE.note,lexinfo.note,skos.note,POS.note,form_pre,form_note
duo,lilaLemma:100246,Cardoso1570.n06369.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Duo</b> -<b>ae</b> <b>o</b>,ontolex:Word,Cardoso1570.n06369.sg01,lilaLemma:100246,duo,,,,,,
duo,lilaLemma:100246,Faria1994.n10488.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,"<b>duo</b> <b>duae, duo</b>",,Faria1994.n10488.sg01,lilaLemma:100246,,,num. card.,"obs.: Gen. arc. duum = duorum Sal. B. Jug. 106, 5.",,,"num. card. <br> obs.: Gen. arc. duum = duorum Sal. B. Jug. 106, 5."
duplicarius2,lilaLemma:100360,Fonseca1798.n09548.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Duplicarius</b> -<b>ii</b>,ontolex:Word,Fonseca1798.n09548.sg01,lilaLemma:100360,duplicarius,,m.,,,,m.
duro,lilaLemma:100318,Cardoso1570.n06462.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Duro</b> -<b>as</b>,ontolex:Word,Cardoso1570.n06462.sg01,lilaLemma:100318,duro,,,,,,
duo,lilaLemma:100246,Faria1994.n10536.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>duum</b>,,Faria1994.n10536.sg01,lilaLemma:100246,,,"= duorum, v. duo.",,,,"= duorum, v. duo."
ex,lilaLemma:101716,Cardoso1570.n06473.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>E</b>,ontolex:Word,Cardoso1570.n06473.sg01,lilaLemma:101716,e,,praepositio.,,,,praepositio.
ex,lilaLemma:101716,Velez1744.n1130.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>E</b>,ontolex:Word,Velez1744.n1130.sg01,lilaLemma:101716,e,,Praep.,,111. 17. 303. 7.,,Praep.
ex,lilaLemma:101716,Fonseca1798.n09591.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>E</b>,ontolex:Word,Fonseca1798.n09591.sg01,lilaLemma:101716,e,,prepos. de ablat.,,,,prepos. de ablat.
ipse,lilaLemma:108945,Fonseca1798.n09593.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Eampse</b>,ontolex:Word,Fonseca1798.n09593.sg01,lilaLemma:108945,eapse,,Plaut. por Eam ipsam.,,,,Plaut. por Eam ipsam.
ipse,lilaLemma:108945,Fonseca1798.n09594.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Eapse</b>,ontolex:Word,Fonseca1798.n09594.sg01,lilaLemma:108945,eapse,,Plaut. por Ea ipsa.,,,,Plaut. por Ea ipsa.
ipse,lilaLemma:108945,Faria1994.n10563.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>eapse</b> <b>eampse</b>,,Faria1994.n10563.sg01,lilaLemma:108945,,,formas antigas de abla. e de acus. de pron. ipse Plaut. Aul. 815.,,,,formas antigas de abla. e de acus. de pron. ipse Plaut. Aul. 815.
ex,lilaLemma:101716,Faria1994.n10592.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>ec</b>,,Faria1994.n10592.sg01,lilaLemma:101716,,,"arc. por ex. XII T. apud Cíc. Leg. 3, 9.",,,,"arc. por ex. XII T. apud Cíc. Leg. 3, 9."
echinus,lilaLemma:100529,Cardoso1570.n06505.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Echinus</b> <b>i</b>,ontolex:Word,Cardoso1570.n06505.sg01,lilaLemma:100529,echinus,,,,,,
editus,lilaIpoLemma:13596,Velez1744.n1143.e20,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Editus</b> -<b>a</b> -<b>um</b>,ontolex:Word,Velez1744.n1143.sg20,lilaIpoLemma:13596,editus,at,Nomen,1. l.,,at,Nomen 1. l.
ago,lilaLemma:88140,Faria1994.n10788.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>ēgī</b>,,Faria1994.n10788.sg01,lilaLemma:88140,,,perf. de ago.,,,,perf. de ago.
ego,lilaLemma:100712,Fonseca1798.n09822.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ego</b> -<b>mei</b> -<b>mihi</b>,ontolex:Word,Fonseca1798.n09822.sg01,lilaLemma:100712,ego,,m. f.,,,,m. f.
ego,lilaLemma:100712,Faria1994.n10794.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,"<b>ego</b> <b>mĕi, mihi, mē</b>",,Faria1994.n10794.sg01,lilaLemma:100712,,,pron. pess. m. e f.,"Obs.: Na língua literária tem valor expressivo, sendo empregado para pôr em relevo uma pessoa em oposição a outra.",,,"pron. pess. m. e f. <br> Obs.: Na língua literária tem valor expressivo, sendo empregado para pôr em relevo uma pessoa em oposição a outra."
