lemma,lila_id,entry_id,bibref,pdfurl,clpurl,pubyear,prefix,form_lemma,subClass,senseGroup,ontolex.canonicalForm,rdfs.label,PRE.note,lexinfo.note,skos.note,POS.note,form_pre,form_note
enim,lilaLemma:101119,Fonseca1798.n10168.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Enim</b>,ontolex:Word,Fonseca1798.n10168.sg01,lilaLemma:101119,enim,,conjunc.,,,,conjunc.
eo,lilaLemma:101183,Velez1744.n1182.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Eo</b> -<b>is</b>,ontolex:Word,Velez1744.n1182.sg01,lilaLemma:101183,eo,,,Vide Itum.,86. 17.,,Vide Itum.
eo,lilaLemma:101183,Fonseca1798.n10227.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Eo</b> -<b>is</b> -<b>ivi</b> -<b>itum</b> -<b>ire</b>,ontolex:Word,Fonseca1798.n10227.sg01,lilaLemma:101183,eo,,,,,,
eo,lilaLemma:101183,Cardoso1570.n06808.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Eo</b> <b>is</b> <b>iui</b> <b>itum</b>,ontolex:Word,Cardoso1570.n06808.sg01,lilaLemma:101183,eo,,,,,,
ipse,lilaLemma:108945,Faria1994.n11135.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>eōpse</b>,,Faria1994.n11135.sg01,lilaLemma:108945,,,= ipso Plaut. Curc. 538.,,,,= ipso Plaut. Curc. 538.
ephebeum,lilaLemma:101208,Fonseca1798.n10238.e02,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ephebium</b> <small>l</small> -<b>ii</b> <small>l</small>,ontolex:Word,Fonseca1798.n10238.sg01,lilaLemma:101208,ephebium,l.,n.,,,l.,n.
ephemeris,lilaLemma:101217,Cardoso1570.n06826.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Ephemeris</b> <b>idis</b>,ontolex:Word,Cardoso1570.n06826.sg01,lilaLemma:101217,ephemeris,,,,,,
epiglossis,lilaLemma:156935,Fonseca1798.n10261.e02,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Epiglottis</b> <small>l</small> -<b>idis</b> <small>l</small>,ontolex:Word,Fonseca1798.n10261.sg01,lilaLemma:156935,epiglottis,l.,f.,,,l.,f.
sum,lilaLemma:126689,Faria1994.n11253.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>eram</b>,,Faria1994.n11253.sg01,lilaLemma:126689,,,imperf. de sum.,,,,imperf. de sum.
ergo,lilaLemma:101415,Cardoso1570.n06896.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Ergo</b>,ontolex:Word,Cardoso1570.n06896.sg01,lilaLemma:101415,ergo,,coniũctio.,,,,coniũctio.
ergo,lilaLemma:101415,Velez1744.n1198.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>Ergo</b>,ontolex:Word,Velez1744.n1198.sg01,lilaLemma:101415,ergo,,,,114. 16. 24. 320. 11.,,
ergo,lilaLemma:101415,Fonseca1798.n10374.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ergo</b>,ontolex:Word,Fonseca1798.n10374.sg01,lilaLemma:101415,ergo,,conjunç.,,,,conjunç.
sum,lilaLemma:126689,Faria1994.n11314.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>erō</b> <b>-ĭs</b> <b>-ĭt</b>,,Faria1994.n11314.sg01,lilaLemma:126689,,,fut. imperf. de sum.,,,,fut. imperf. de sum.
