lemma,lila_id,wr,phon
semper,lilaLemma:124294,semper,sempĕr
senatus,lilaLemma:124309,senatus,sĕnātŭs
senatus,lilaLemma:124309,senatus,sĕnātūs
sequor,lilaLemma:124461,sequor,sĕquor
sequor,lilaLemma:124461,sequeris,sĕquĕris
sequor,lilaLemma:124461,sequi,sĕquī
sequor,lilaLemma:124461,secutus sum,sĕcūtus sum
si,lilaLemma:124676,si,sī
si,lilaLemma:124676,sin,sīn
sic,lilaLemma:124690,sic,sīc
sine,lilaLemma:124883,sine,sĭnĕ
sui,lilaLemma:131255,sui,sŭī
sum,lilaLemma:126689,fui,fŭī
sum,lilaLemma:126689,es,ĕs
sum,lilaLemma:126689,esto,estō
super,lilaLemma:126999,superus,sŭpĕrus
super,lilaLemma:126999,supera,sŭpĕra
super,lilaLemma:126999,superum,sŭpĕrum
suus,lilaLemma:127165,suus,sŭus
suus,lilaLemma:127165,sua,sŭa
suus,lilaLemma:127165,suum,sŭum
tamen,lilaLemma:127607,tamen,tămen
tempus,lilaLemma:127522,tempus,tempŭs
tempus,lilaLemma:127522,temporis,tempŏris
teneo,lilaLemma:127822,teneo,tĕnĕō
teneo,lilaLemma:127822,tenes,tenēs
teneo,lilaLemma:127822,tenere,tenēre
teneo,lilaLemma:127822,tenui,tĕnuī
teneo,lilaLemma:127822,tenui,tenŭī
totus,lilaLemma:128484,totus,tōtus
tu,lilaLemma:129131,te,tē
tu,lilaLemma:129131,tecum,tēcum
tu,lilaLemma:129131,tete,tētĕ
tu,lilaLemma:129131,tu,tū
tu,lilaLemma:129131,te,tē
tu,lilaLemma:129131,tui,tŭī
tu,lilaLemma:129131,tibi,tĭbi
tu,lilaLemma:129131,te,tē
tu,lilaLemma:129131,tui,tŭī
tu,lilaLemma:129131,tute,tūtĕ
tu,lilaLemma:129131,tibi,tĭbi
tuus,lilaLemma:129328,tuus,tŭus
ubi,lilaLemma:129639,ubi,ŭbĭ
ubi,lilaLemma:129639,ubi,ŭbī
ubi,lilaLemma:129639,ubi,ŭbī
uel,lilaLemma:129695,vel,vĕl
uenio,lilaLemma:129790,venio,vĕnĭō
uenio,lilaLemma:129790,venis,venīs
uenio,lilaLemma:129790,venire,venīre
uenio,lilaLemma:129790,veni,vēnī
uerbum,lilaLemma:131057,verbi,verbī
uero,lilaIpoLemma:111474,vero,vērō
uero,lilaIpoLemma:111474,vero,vērō
uideo,lilaLemma:130163,video,vĭdĕō
uideo,lilaLemma:130163,vides,vidēs
uideo,lilaLemma:130163,videre,vidēre
uideo,lilaLemma:130163,vidi,vīdi
uideo,lilaLemma:130163,visum,vīsum
uideo,lilaLemma:130163,vidi,vīdi
uinco,lilaLemma:130232,vici,vīcī
uinco,lilaLemma:130232,vinco,vincō
uinco,lilaLemma:130232,vincere,vincĕre
uinco,lilaLemma:130232,vici,vīcī
uir,lilaLemma:130300,vir,vĭr
uir,lilaLemma:130300,viri,virī
uirtus,lilaLemma:130356,virtus,virtūs
uirtus,lilaLemma:130356,virtutis,virtūtis
uis,lilaLemma:130360,vis,vīs
uita,lilaLemma:130393,vita,vīta
uiuo,lilaLemma:130476,vivo,vīvō
uiuo,lilaLemma:130476,vivere,vivĕre
uiuo,lilaLemma:130476,vixi,vīxī
uiuo,lilaLemma:130476,victum,vīctum
uiuo,lilaLemma:130476,vixi,vīxī
ullus,lilaLemma:130494,ullius,ullīus
unus,lilaLemma:85636,unius,ūnīus
unus,lilaLemma:85636,unus,ūnus
unus,lilaLemma:85636,uni,unī
uoco,lilaLemma:130729,voco,vŏcō
uoco,lilaLemma:130729,vocas,vocās
uoco,lilaLemma:130729,vocare,vocāre
uoco,lilaLemma:130729,vocavi,vocāvī
uoco,lilaLemma:130729,vocatum,vocātum
uolo,lilaLemma:130745,sis,sīs
uolo,lilaLemma:130745,velim,vĕlim
uolo,lilaLemma:130745,volo,vŏlō
uolo,lilaLemma:130745,vis,vīs
uolo,lilaLemma:130745,volui,vŏlŭī
uolo,lilaLemma:130745,volui,vŏluī
uos,lilaIpoLemma:110488,vos,vōs
uos,lilaIpoLemma:110488,vestri vestrum,vestrī vestrum
uos,lilaIpoLemma:110488,vobis,vōbīs
uos,lilaIpoLemma:110488,vosmet,vosmĕt
uox,lilaLemma:130806,vox,vōx
uox,lilaLemma:130806,vocis,vōcis
ut,lilaLemma:130906,ut,ŭt
ut,lilaLemma:130906,ut,ŭt
ut,lilaLemma:130906,uti,ŭtī
ut2,lilaLemma:130905,ut,ŭt
