lemma,prefix,fullEntry
ago,Velez,"<b>Ago</b> -<b>is</b>   <p> <b>1</b> &ensp; fazer, obrar, tratar, etc &ensp; <small>Pertinet enim ad omnes humanos actus.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>actum agere &ensp; <small><small>i, nihil agere</small></small> <br> actum est, uel res acta est &ensp; <small>acabou-se, naõ tem ja remedio</small> <br> agere animam &ensp; <small>agonizar</small> &ensp; <small><small>i, morti proximum esse</small></small> <br> agere consulem, senatorem, bonum ciuem &ensp; <small><small>i, fungi officio consulis, senatoris, & boni civis</small></small> <br> agere diem festum &ensp; <small><small>i, celebrare;</small></small> <br> agere gratias alicui &ensp; <small>dar graças</small> <br> agere principatum &ensp; <small><small>i, tenere</small></small> <br> agere reum &ensp; <small><small>i, accusare</small></small> <br> agere uitam &ensp; <small><small>i, vivere</small></small> <br> agite spectatores &ensp; <small>estai attentos, ouvi</small> <br> ago tecum iniuriarum, furti, dementiae &ensp; <small>accuso-te, etc</small> <br> aliud, uel alias res agere &ensp; <small><small>i, non esse intentum iis, quae aguntur</small></small> <br> bene praeclare nobiscum agi &ensp; <small><small>dicimus cùm res nobis succedunt feliciter</small></small> <br> cum aliquo agere &ensp; <small><small>etiam dicimus, cùm quidpiam ab eo impetrare, vel persuadere conamur</small></small> <br> cuniculos agere &ensp; <small>minar</small> <br> cupiditas homines in omnia facinora praecipites agit &ensp; <small><small>inducit, seu impellit</small></small> <br> decimum agere annum &ensp; <small>ir nos dez annos</small> <br> hic annus agitur tertius &ensp; <small>vaó correndo os tres annos</small> &ensp; <small><small>i, in cursu est</small></small> <br> nihil ago tecum &ensp; <small>nada tenho comvosco</small> <br> nugas agere &ensp; <small>zombar, ou facetear</small> <br> pacifice egit mecum &ensp; <small><small>i, tractavit</small></small> <br> radices agere &ensp; <small>arreigar-se</small> <br> rem suam agere &ensp; <small><small>i, commodo suo consulere</small></small> <br> res nostra, uel de re nostra agitur; Salus nostra, uel bona aguntur &ensp; <small><small>i, in discrimen adducuntur</small></small> <br> stultum agere &ensp; <small><small>i, fingere, vel repraesentare se stultum</small></small> </p>"
alacer,Velez,<b>Alacris</b> -<b>cre</b> <small>et</small>
aliquis,Velez,"<b>Aliquis</b> <small>et c.</small> <b>aliqua</b>   <p> <b>1</b> &ensp; alguem, ou alguma cousa </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>fac ut me uelis esse aliquem &ensp; <small>deixai-me tambem lustrar</small> &ensp; <small><small>i, non prorsús obscurum, & abjectum</small></small> </p>"
alius,Velez,"<b>Alius</b> -<b>a</b> -<b>ud</b>   <p> <b>1</b> &ensp; cousa diversa, ou contraria </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>alius Lysippo &ensp; <small><small>i, à Lysippo, uel nisi Lysippus</small></small> <br> non sum alius ab eo, qui fueram </p>"
alter,Velez,"<b>Alter</b> -<b>a</b> -<b>um</b> <br> <small>Partit.</small>   <p> <b>1</b> &ensp; outro, hum de dous, ou segundo </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>tu nunc eris alter ab illo <br> <br><b>X</b><br>alter ego &ensp; <small><small>eleganter pro homine mihi charissimo</small></small> <br> alterum tantum &ensp; <small>outro tanto</small> &ensp; <small><small>apud Cic. & Plaut</small></small> </p>"
alueare,Velez,<b>Alveare</b> -<b>is</b>
an,Velez,<b>An</b>   <p> <b>1</b> &ensp; por ventura </p>
animans,Velez,"<b>Animans</b> -<b>tis</b> <br> <small>Particip. ab Animo, as</small>"
adnitor,Velez,<b>Annitor</b> <b>anniteris</b> <b>adnixus sum</b> <b>adnisus sum</b> <small>vel</small>
annus,Velez,<b>annus</b>
apis,Velez,<b>apis</b> -<b>is</b>
apud,Velez,"<b>Apud</b>   <p> <b>1</b> &ensp; perto, junto, ante, em, entre, etc </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>coenare apud aliquem &ensp; <small>cear com alguem, ou em casa de alguem</small> <br> de Petro apud forum audiui &ensp; <small>ouvi na praça</small> <br> est apud illum acceptissimus &ensp; <small>he para com elle muito aceito</small> <br> gratia ualere apud Regem &ensp; <small>ter valia com o rey</small> <br> hoc apud Ciceronem legi &ensp; <small>li isto em Cicero</small> <br> hoc apud me &ensp; <small>isto està em meu poder</small> <br> mos fuit apud Romanos &ensp; <small>entre os Romanos</small> <br> non sum apud me &ensp; <small>naõ estou em mim</small> <br> res agitur apud Judicem &ensp; <small>ante o juiz</small> <br> sede apud me &ensp; <small>junto de mim</small> </p>"
arbor,Velez,<b>Arbos</b> <b>arboris</b>
arcus,Velez,<b>arcus</b> -<b>i</b>
arma,Velez,"<b>Arma</b> -<b>orum</b>   <p> <b>1</b> &ensp; armas, ou instrumentos de quasi todas as artes, e officios <br> <b>2</b> &ensp; <small>Fraudes quoque, & consilia arma dicuntur</small> &ensp; <small>à Virg.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>2</b><br>quaerere conscius arma <br> <br><b>X</b><br>bis interimitur, qui suis armis perit &ensp; <small><small>i, magis dolent incommoda, quibus ipsi dedimus occasionem</small></small> </p>"
arteria,Velez,<b>Arteria</b> -<b>orum</b>
astringo,Velez,<b>Astringo</b>
at,Velez,"<b>At</b> <br> <small>Componitur cum enim, ut: At enim, & idem valet, quod Atqui.</small>   <p> <b>1</b> &ensp; mas &ensp; <small>Conjuctio principiis apta, praesertim, ut irae aestum, dolorem, minas, vel querelas significatiùs ostendamus</small> <br> <b>2</b> &ensp; <small>ponitur & pro Saltem</small> &ensp; ao menos <br> <b>3</b> &ensp; <small>pro Tamen</small> &ensp; com tudo <br> <b>4</b> &ensp; <small>pro Atqui</small> &ensp; mas, com tudo, certamente </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>at tibi &ensp; <small><small>pro scelere Dii persolvant grates dignas</small></small> <br> at ut scelesta sola secum murmurat </p>"
atque,Velez,"<b>Atque</b> <br> <small>Conjunct.</small>   <p> <b>1</b> &ensp; <small>Pro Et</small> <br> <b>2</b> &ensp; <small>quandoque pro Atqui</small> <br> <b>3</b> &ensp; <small>Pro quam</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>2</b><br>atque hoc haud uerisimile uidetur uobis &ensp; <small>mas isto na verdade naõ vos parece verosimil</small> <br> <br><b>3</b><br>coepi secus agere, atque initio institueram &ensp; <small>do que, etc</small> <br> hic est alio ingenio, atque tu &ensp; <small>este tem differente condiçaõ, do que vos</small> <br> mihi nemo amicior est &ensp; <small>atque Caesar do que Cesar</small> </p>"
auctor,Velez,<b>Auctor</b> -<b>oris</b>
audio,Velez,"<b>Audio</b> -<b>is</b>   <p> <b>1</b> &ensp; ouvir, entender, conhecer <br> <b>2</b> &ensp; <small>por</small> &ensp; obedecer &ensp; <small>cum accus.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>hoc audiui a, uel e, uel de, uel ex patre meo <br> <br><b>X</b><br>audire male &ensp; <small><small>pro Vituperari</small></small> <br> audire Platonem &ensp; <small><small>i, discipulum esse Platonis</small></small> <br> bene audire &ensp; <small><small>ponitur pro Laudari</small></small> </p>"
aut,Velez,<b>Aut</b> <br> <small>Conjunct.</small>   <p> <b>1</b> &ensp; ou </p>
autem,Velez,"<b>Autem</b> <br> <small>Conjunct. substantiva</small>   <p> <b>1</b> &ensp; mas, ou porem </p>"
auctor,Velez,<b>Autor</b> -<b>oris</b>
balneum,Velez,<b>Balinea</b> -<b>orum</b>
barbitos,Velez,<b>Barbiton</b> -<b>i</b>
bene,Velez,"<b>Bene</b>   <p> <b>1</b> &ensp; bem, ou muito </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>bene nummatus &ensp; <small>muito rico</small> </p>"
bidens,Velez,<b>Bidens</b> -<b>tis</b> <br> <small>mascul.</small>
bombyx,Velez,<b>Bombyx</b> -<b>cis</b> <br> <small>foem.</small>
bonus,Velez,"<b>Bonus</b> -<b>a</b> -<b>um</b>   <p> <b>1</b> &ensp; cousa boa <br> <b>2</b> &ensp; <small>Pro non vili</small> <br> <b>3</b> &ensp; <small>pro Miti, & Favente</small> <br> <b>4</b> &ensp; <small>Pro Docto</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>2</b><br>bonis prognatus &ensp; <small>nascido de pays honrados</small> <br> <br><b>3</b><br>bonus accipe uoces <br> <br><b>4</b><br>quandoque bonus dormitat Homerus <br> <br><b>X</b><br>bona Cilicum &ensp; <small><small>i, facit; convenit, ubi quis malefactis, ac foedis artibus opes paravit</small></small> </p>"
calceo,Velez,<b>Calcio</b> -<b>as</b>
campestris,Velez,<b>Campestris</b> -<b>tre</b> <small>et</small>
canistrum,Velez,<b>Canistrum</b> -<b>i</b>
capio,Velez,"<b>Capio</b> -<b>is</b>   <p> <b>1</b> &ensp; tomar, receber, comprehender, captivar, deleitar &ensp; <small>Tot habet significata, quod rebus diversis jungitur</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>capere auribus &ensp; <small><small>audire</small></small> <br> capere dolis &ensp; <small><small>decipere, & c</small></small> <br> capere mente &ensp; <small><small>intelligere</small></small> <br> capere oculis &ensp; <small><small>videre</small></small> <br> <br><b>X</b><br>capere rationem &ensp; <small><small>est modum invenire</small></small> <br> cepi dolorem, uel cepit me dolor, & c <br> superbum totus orbis non capit &ensp; <small>o soberbo naõ cabe em todo o mundo</small> </p>"
castra,Velez,<b>Castra</b> -<b>orum</b>   <p> <b>1</b> &ensp; os arrayaes </p>
cataracta,Velez,<b>Cataracta</b>
cataracta,Velez,<b>Cataractes</b> -<b>ae</b>
celeber,Velez,<b>celebris</b> -<b>bre</b> <small>et</small>
ciuis,Velez,"<b>Civis</b> -<b>is</b>   <p> <b>1</b> &ensp; o cidadaõ, ou cidadôa </p>"
ciuitas,Velez,"<b>Civitas</b> -<b>tis</b>   <p> <b>1</b> &ensp; a Cidade &ensp; <small>Urbs, & Civitas in hoc differunt, quód incolae dicuntur propriè Civitas; Urbs verò complectitur aedificia.</small> <br> <b>2</b> &ensp; <small>interdum Civitas dicitur jus civium</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>2</b><br>ciuitate aliquem donare &ensp; <small>fazer a alguem cidadaõ</small> </p>"
cochlear,Velez,<b>Cochleare</b> -<b>aris</b>
Cocles,Velez,<b>Cocles</b> <b>coclitis</b>
cognosco,Velez,"<b>Cognosco</b> -<b>is</b>   <p> <b>1</b> &ensp; conhecer de novo, o que nunca temos visto; <br> <b>2</b> &ensp; entender, certificar-se, ou inquirir </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>quas res gesserit, cognoscite &ensp; <small><small>i, attentè audire</small></small> </p>"
comedo,Velez,"<b>Comes</b> <small>et c.</small> <b>comest</b> <br> <small>composto de Sum, es, fui</small>"
cometes,Velez,<b>Cometes</b> -<b>ae</b>
consul,Velez,"<b>Consul</b> -<b>is</b>   <p> <b>1</b> &ensp; o Consul, ou vereador &ensp; <small>Singulis annis consules creabantur: unde pro anno ponunt Poetae.</small> </p>"
corpus,Velez,"<b>Corpus</b> -<b>oris</b>   <p> <b>1</b> &ensp; o corpo, ou volume de livro </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>corpus bene constitutum &ensp; <small>de boa compleiçaõ</small> <br> corpus sine pectore &ensp; <small><small>i, sine mente apud Horat</small></small> <br> toto corpore, atque omnibus ungulis &ensp; <small><small>i, summâ pertinaciâ</small></small> </p>"
credo,Velez,"<b>Credo</b> -<b>is</b>   <p> <b>1</b> &ensp; crer <br> <b>2</b> &ensp; <small>por</small> &ensp; entregar, ou confiar alguma cousa de alguem &ensp; <small>accus. & dat</small> <br> <b>3</b> &ensp; <small>ponitur & absolutè pro Puto, vel Certè</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>hoc mihi, ut testi, uelim, credas, uel de me, ut teste <br> <br><b>2</b><br>tibi me credo, meaque consilia <br> <br><b>3</b><br>omnia, credo, uidisti <br> <br><b>X</b><br>credere Deo &ensp; <small><small>est fidem habere ei, vel ejus verbis;</small></small> <br> credere Deum &ensp; <small><small>est credere Deum esse;</small></small> <br> credere in Deum &ensp; <small><small>est spem omnem in eo repositam habere</small></small> </p>"
cucumis,Velez,<b>Cucumer</b> -<b>eris</b>
cucumis,Velez,<b>Cucumis</b> -<b>is</b>
cuias,Velez,<b>Cujatis</b> -<b>te</b> <small>et</small>
cum2,Velez,"<b>Cum</b> <br> <small>Praepos.</small> <br> <small>In his: Mecum, Tecum, Secum, Vobiscum, Nobiscum, Quibuscum, suo casui postponitur. Vide tum.</small>   <p> <b>1</b> &ensp; com </p>"
curulis,Velez,"<b>Curulis</b> <br> <small>Substant. foemininum, quia subauditur sella</small>"
cycnus,Velez,<b>Cycnus</b> -<b>i</b>
de,Velez,"<b>De</b> <br> <small>Praepos.</small>   <p> <b>1</b> &ensp; ácerca, ou sobre </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>de integro &ensp; <small>de novo</small> <br> de nocte &ensp; <small><small>i, in nocte, vel per noctem: sic de die</small></small> <br> non bonus est somnus de prandio &ensp; <small><small>i, post prandium</small></small> <br> qua de re, qua de causa &ensp; <small>de compacto, de proposito, de cuidado</small> &ensp; <small><small>id est, propter</small></small> </p>"
deinde,Velez,"<b>Deinde</b> <br> <small>Dein, apud Poet.</small>   <p> <b>1</b> &ensp; depois disto </p>"
deus,Velez,<b>DEUS</b> -<b>ei</b> <br> <small>Voc ô Deus.</small>   <p> <b>1</b> &ensp; deos &ensp; <small>à dando paecipué dictus</small> </p>
dextera,Velez,<b>Dextra</b>
dextrorsum,Velez,<b>Dextroversùm</b>
dico,Velez,"<b>Dico</b> -<b>is</b> <br> <small>Vide Dos.</small>   <p> <b>1</b> &ensp; dizer, orar, fallar <br> <b>2</b> &ensp; <small>Pro promittere</small> &ensp; <small>aliquid alicui.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>dicere alicui diem &ensp; <small>citar</small> <br> dicere diem &ensp; <small>determinar, e assignar dia certo</small> <br> nomen dicere &ensp; <small>pôr nome</small> <br> sacramentum, uel sacramento dicere &ensp; <small>jurarem os soldados de defenderem a Republica</small> <br> sententiam, uel pro sententia dicere &ensp; <small>dizer seu parecer</small> <br> testimonium uel pro testimonio dicere &ensp; <small>testificar, depor com testemunho</small> </p>"
dies,Velez,"<b>Dies</b> -<b>ei</b> <br> <small>Vide Crastinus.</small>   <p> <b>1</b> &ensp; o dia &ensp; <small>dubij generis, sed in plurali masc. tantùm:</small> <br> <b>2</b> &ensp; <small>pro tempore indeterminato</small> &ensp; <small>foem.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>dies critici uel crisimi &ensp; <small>dias, em que os Medicos julgaõ das doenças</small> &ensp; <small><small>à Crisis, id est, judicium</small></small> <br> dies Lunae &ensp; <small>2. feira</small> <br> dies Solis &ensp; <small>Domingo</small> <br> iouis &ensp; <small>5. feira</small> <br> martis &ensp; <small>3. feira</small> <br> mercurii &ensp; <small>4. feira</small> <br> saturni &ensp; <small>Sabbado</small> <br> ueneris &ensp; <small>6. feira</small> </p>"
