lemma,lila_id,source,entry_id,senseGroup,sense_prefix,sense_predef,sense_def,sense_posdef
iste,lilaLemma:109122,Faria,Faria1994.n17057.e01,Faria1994.n17057.sg01,1,"pl. n.: istaec Cíc. AI. 12, 18a, 2",“as coisas que dizes”.,
ordo,lilaLemma:115236,Faria,Faria1994.n21786.e01,Faria1994.n21786.sg01,10,"IV-Em expressões:-ordine T. Liv. 3, 50,4","“bem, segundo o rito, prudentemente”.",
uos,lilaIpoLemma:110488,Faria,Faria1994.n34208.e01,Faria1994.n34208.sg01,2,"Vobiscum Cíc. Rep., 1, 70",“convosco”.,
uoluntas,lilaLemma:130763,Faria,Faria1994.n34162.e01,Faria1994.n34162.sg01,8,III-Em expressões:-Voluntate,"“livremente, espontaneamente”","T. Lív. 29, 38, 1."
nihil,lilaLemma:114071,Faria,Faria1994.n20517.e01,Faria1994.n20517.sg01,4,I-Expressões particulares:-Nihilo mais comp.,“nada mais”:,
abeo,lilaLemma:86873,Faria,Faria1994.n00060.e01,Faria1994.n00060.sg01,1,"Ter. Heaut, 249","“vai-te, pois.”",
uenio,lilaLemma:129790,Faria,Faria1994.n33504.e01,Faria1994.n33504.sg01,1,,«chegou-se».,
ars,lilaLemma:90089,Faria,Faria1994.n02928.e01,Faria1994.n02928.sg01,7,No pl.:,«obras de arte»,"Cíc. Leg. 2,4."
aqua,lilaLemma:89692,Cardoso,Cardoso1570.n01796.e01,Cardoso1570.n01796.sg01,1,,a agoa,
anima,lilaLemma:89075,Velez,Velez1744.n0297.e01,Velez1744.n0297.sg01,1,,"a alma, ou folego, vida, ou vento",
corpus,lilaLemma:96667,Faria,Faria1994.n07899.e01,Faria1994.n07899.sg01,10,II-Sent. poético:,"A alma, sombra","dos mortos Verg. En. 6, 303."
anima,lilaLemma:89075,Cardoso,Cardoso1570.n01444.e01,Cardoso1570.n01444.sg01,1,,a alma. ou bafo,
ars,lilaLemma:90089,Cardoso,Cardoso1570.n02093.e01,Cardoso1570.n02093.sg01,1,,a arte. ou officio. ou engano,
arbor,lilaLemma:89780,Velez,Velez1744.n0356.e01,Velez1744.n0356.sg01,1,,a arvore,
auctoritas,lilaLemma:90620,Cardoso,Cardoso1570.n02476.e01,Cardoso1570.n02476.sg01,1,,a authoridade,
fides,lilaLemma:103260,Faria,Faria1994.n12728.e01,Faria1994.n12728.sg01,1,,A boa-fé,Cíc. Of. 3. 104.
os,lilaLemma:115327,Cardoso,Cardoso1570.n16396.e01,Cardoso1570.n16396.sg01,1,,a boca. ou rosto,
silua,lilaLemma:124801,Velez,Velez1744.n3140.e01,Velez1744.n3140.sg01,1,,"a brenha, bosque, mato",
caput,lilaLemma:92796,Cardoso,Cardoso1570.n03289.e01,Cardoso1570.n03289.sg01,1,,a cabeça. ou capitolo do liuro,
uulgo2,lilaLemma:130955,Cardoso,Cardoso1570.n26852.e01,Cardoso1570.n26852.sg01,1,,a cada passo,
uulgo2,lilaLemma:130955,Velez,Velez1744.n3616.e01,Velez1744.n3616.sg01,1,,"a cada passo, vulgarmente",
uinculum,lilaLemma:130236,Cardoso,Cardoso1570.n26186.e01,Cardoso1570.n26186.sg01,1,,a cadea. ou atadura,
casus,lilaLemma:97835,Cardoso,Cardoso1570.n03414.e01,Cardoso1570.n03414.sg01,1,,a caida. ou desastre. casulaae,
onus,lilaLemma:115001,Cardoso,Cardoso1570.n16164.e01,Cardoso1570.n16164.sg01,1,,a carga,
epistula,lilaLemma:101298,Cardoso,Cardoso1570.n06845.e01,Cardoso1570.n06845.sg01,1,,a carta,
aedes,lilaLemma:87733,Cardoso,Cardoso1570.n00650.e01,Cardoso1570.n00650.sg01,1,,a casa,
aedes,lilaLemma:87733,Velez,Velez1744.n0147.e01,Velez1744.n0147.sg01,1,,"a casa, ou templo",
domus,lilaLemma:100071,Cardoso,Cardoso1570.n06331.e01,Cardoso1570.n06331.sg01,1,,a casa. ou familia,
circa,lilaLemma:94032,Cardoso,Cardoso1570.n03811.e01,Cardoso1570.n03811.sg01,1,,a cerca. ou junto,
ciuitas,lilaLemma:94400,Cardoso,Cardoso1570.n03890.e01,Cardoso1570.n03890.sg01,1,,a cidade,
urbs,lilaLemma:130822,Cardoso,Cardoso1570.n26720.e01,Cardoso1570.n26720.sg01,1,,a cidade,
ciuitas,lilaLemma:94400,Velez,Velez1744.n0683.e01,Velez1744.n0683.sg01,1,,a Cidade,"Urbs, & Civitas in hoc differunt, quód incolae dicuntur propriè Civitas; Urbs verò complectitur aedificia."
numerus,lilaLemma:113981,Faria,Faria1994.n20797.e01,Faria1994.n20797.sg01,8,III-No plural:,"A ciência dos números, a Matemática","Cíc. Fin. 5, 87."
cinis,lilaLemma:94017,Cardoso,Cardoso1570.n03794.e01,Cardoso1570.n03794.sg01,1,,a cinza,
cinis,lilaLemma:94017,Velez,Velez1744.n0665.e01,Velez1744.n0665.sg01,1,,"a cinza, ou memorial dos mortos",
cupido,lilaLemma:97286,Cardoso,Cardoso1570.n05250.e01,Cardoso1570.n05250.sg01,1,,a cobiça,
res,lilaLemma:121868,Faria,Faria1994.n27428.e01,Faria1994.n27428.sg01,8,III-Sents. diversos:,"A coisa pública, os negócios públicos, o Estado, poder, autoridade","Cíc. Rep. 1, 12."
agmen,lilaLemma:88106,Cardoso,Cardoso1570.n00881.e01,Cardoso1570.n00881.sg01,1,,a companha de gente,
turba,lilaLemma:129235,Cardoso,Cardoso1570.n25403.e01,Cardoso1570.n25403.sg01,1,,a companha. ou turuação,
fides,lilaLemma:103260,Faria,Faria1994.n12728.e01,Faria1994.n12728.sg01,2,,A constelação da Lira,"Varr. R. Rust. 2. 5, 12."
color,lilaLemma:94940,Cardoso,Cardoso1570.n04135.e01,Cardoso1570.n04135.sg01,1,,a coor,
cursus,lilaLemma:97671,Cardoso,Cardoso1570.n05290.e01,Cardoso1570.n05290.sg01,1,,a corrida,
res,lilaLemma:121868,Velez,Velez1744.n2971.e01,Velez1744.n2971.sg01,1,,"a cousa, contenda, demanda, negocio, poder, utilidade, riqueza, etc",
causa,lilaLemma:93253,Cardoso,Cardoso1570.n03477.e01,Cardoso1570.n03477.sg01,1,,a cousa. ou achaque,
res,lilaLemma:121868,Cardoso,Cardoso1570.n20660.e01,Cardoso1570.n20660.sg01,1,,a cousa. ou fazenda,
culpa,lilaLemma:97183,Cardoso,Cardoso1570.n05189.e01,Cardoso1570.n05189.sg01,1,,a culpa,
res,lilaLemma:121868,Cardoso,Cardoso1570.n20666.e01,Cardoso1570.n20666.sg01,1,,a demanda,
ualeo,lilaLemma:129509,Velez,Velez1744.n3500.e01,Velez1744.n3500.sg01,4,vale in sing. vel Valete in pl.,"a Deos, ficaivos embora, Deos vos dé saude","his imperativis utimur in discessu, vel fine epistolarum: unde etiam Valeas, Valeat, dicimus, cùm ab aliquo cum indignatione recedimus, vel cum stomacho relinquimus, | similiter in. pl. Valeant."
dignitas,lilaLemma:99402,Velez,Velez1744.n1049.e10,Velez1744.n1049.sg10,1,,"a dignidade, honra, honestidade, gravidade, madureza no fallar",
dignitas,lilaLemma:99402,Cardoso,Cardoso1570.n05945.e01,Cardoso1570.n05945.sg01,1,,a dignidade. ou honra,
opera,lilaLemma:115016,Cardoso,Cardoso1570.n16172.e01,Cardoso1570.n16172.sg01,1,,a diligencia. ou jornal,
procul,lilaLemma:119631,Faria,Faria1994.n25538.e01,Faria1994.n25538.sg01,1,,"A distância, ao longe, de longe","Cés. B. Gal. 5, 34, 3."
numen,lilaLemma:113968,Cardoso,Cardoso1570.n15404.e01,Cardoso1570.n15404.sg01,1,,a diuindade,
morbus,lilaLemma:112776,Cardoso,Cardoso1570.n14182.e01,Cardoso1570.n14182.sg01,1,,a doença ou enfermidade,
uirgo,lilaLemma:130328,Cardoso,Cardoso1570.n26266.e01,Cardoso1570.n26266.sg01,1,,a donzela,
dolor,lilaLemma:100034,Cardoso,Cardoso1570.n06295.e01,Cardoso1570.n06295.sg01,1,,a dôr,
disciplina,lilaLemma:99609,Cardoso,Cardoso1570.n06059.e01,Cardoso1570.n06059.sg01,1,,a doutrina,
praeceptum,lilaLemma:118675,Cardoso,Cardoso1570.n18446.e01,Cardoso1570.n18446.sg01,1,,a doutrina,
gladius,lilaLemma:104632,Cardoso,Cardoso1570.n08808.e01,Cardoso1570.n08808.sg01,1,,a espada. ou cutelo,
spes,lilaLemma:125336,Velez,Velez1744.n3198.e01,Velez1744.n3198.sg01,1,,a esperança,
hinc,lilaLemma:105454,Faria,Faria1994.n14649.e01,Faria1994.n14649.sg01,2,I-No sent. próprio:,"A este lugar, a este ponto, a tal ponto","Cíc. Cal. 2, 4."
ea,lilaIpoLemma:110466,Faria,Faria1994.n11130.e01,Faria1994.n11130.sg01,2,Donde:,"A este ponto, a este estado, a tal ponto, a tal estado","Cíc. Verr. 2, 42; Cíc. Amer. 96."
is,lilaLemma:109083,Faria,Faria1994.n17022.e01,Faria1994.n17022.sg01,8,Empregos especiais: in eo =,a este ponto:,
sidus,lilaLemma:124736,Cardoso,Cardoso1570.n22438.e01,Cardoso1570.n22438.sg01,1,,a estrela,
stella,lilaLemma:125625,Cardoso,Cardoso1570.n23176.e01,Cardoso1570.n23176.sg01,1,,a estrela. ou praneta,
astrum,lilaLemma:90464,Cardoso,Cardoso1570.n02253.e01,Cardoso1570.n02253.sg01,1,,a estrella,
inuidia,lilaLemma:108842,Cardoso,Cardoso1570.n11306.e01,Cardoso1570.n11306.sg01,1,,a ẽueja. ou odio,
facinus,lilaLemma:102757,Cardoso,Cardoso1570.n07594.e01,Cardoso1570.n07594.sg01,1,,a façanha. assi boa como mâ,
facies,lilaLemma:102752,Cardoso,Cardoso1570.n07586.e01,Cardoso1570.n07586.sg01,1,,a face. ou cara,
fama,lilaLemma:102868,Cardoso,Cardoso1570.n07671.e01,Cardoso1570.n07671.sg01,1,,a fama,
fama,lilaLemma:102868,Faria,Faria1994.n12425.e01,Faria1994.n12425.sg01,4,III-Subs. Pr.,"A Fama, divindade, filha da Terra; possuía numerosos olhos e ouvidos que tudo viam e ouviam, e outras tantas bocas para o propalar","V erg. En. 4, 173-188."
fames,lilaLemma:102875,Cardoso,Cardoso1570.n07677.e01,Cardoso1570.n07677.sg01,1,,a fame,
rex,lilaLemma:122013,Faria,Faria1994.n27678.e01,Faria1994.n27678.sg01,5,II-Sent. particular,A família real,"T. Lív. 1, 59, 5."
fides,lilaLemma:103260,Cardoso,Cardoso1570.n07975.e01,Cardoso1570.n07975.sg01,1,,a fee. ou credito,
uulnus,lilaLemma:130964,Cardoso,Cardoso1570.n26856.e01,Cardoso1570.n26856.sg01,1,,a ferida,
species,lilaLemma:125279,Cardoso,Cardoso1570.n22927.e01,Cardoso1570.n22927.sg01,1,,a fermosura. ou forma,
forma,lilaLemma:103630,Cardoso,Cardoso1570.n08267.e01,Cardoso1570.n08267.sg01,1,,a figura. ou forma de çapateyros,
filia,lilaLemma:103296,Cardoso,Cardoso1570.n08021.e01,Cardoso1570.n08021.sg01,1,,a filha,
qui,lilaLemma:121354,Faria,Faria1994.n26549.e01,Faria1994.n26549.sg01,5,I-Relativo:-Sent. particular.,"A fim de que, para que",matiz final:
flos,lilaLemma:103489,Velez,Velez1744.n1366.e01,Velez1744.n1366.sg01,1,,a flor,
princeps,lilaLemma:73416,Faria,Faria1994.n25429.e01,Faria1994.n25429.sg01,6,III-Sent. particular:,A flor da nobreza,"na época republicana T. Lív. 2, 12, 15."
fames,lilaLemma:102875,Faria,Faria1994.n12428.e01,Faria1994.n12428.sg01,5,III-Subs. próprio:,A Fome,"deusa Verg. En. 6, 276."
fons,lilaLemma:103593,Cardoso,Cardoso1570.n08243.e01,Cardoso1570.n08243.sg01,1,,a fonte,
fons,lilaLemma:103593,Velez,Velez1744.n1380.e01,Velez1744.n1380.sg01,1,,"a fonte, origem, ou causa de alguma cousa",
arx,lilaLemma:90170,Cardoso,Cardoso1570.n02125.e01,Cardoso1570.n02125.sg01,1,,a fortaleza,
fors2,lilaLemma:103682,Cardoso,Cardoso1570.n08303.e01,Cardoso1570.n08303.sg01,1,,a fortuna,
fortuna,lilaLemma:103696,Cardoso,Cardoso1570.n08316.e01,Cardoso1570.n08316.sg01,1,,a fortuna,
fortuna,lilaLemma:103696,Faria,Faria1994.n13047.e01,Faria1994.n13047.sg01,1,I-Sent. próprio,A Fortuna,"divindade Cíc. Verr. 4, 119."
flos,lilaLemma:103489,Cardoso,Cardoso1570.n08136.e01,Cardoso1570.n08136.sg01,1,,a frol,
classis,lilaLemma:94447,Cardoso,Cardoso1570.n03908.e01,Cardoso1570.n03908.sg01,1,,a frota ou ordem,
fuga,lilaLemma:103915,Cardoso,Cardoso1570.n08481.e01,Cardoso1570.n08481.sg01,1,,a fugida,
furor,lilaLemma:104076,Cardoso,Cardoso1570.n08586.e01,Cardoso1570.n08586.sg01,1,,a furia. ou sanha,
gens,lilaLemma:104490,Cardoso,Cardoso1570.n08729.e01,Cardoso1570.n08729.sg01,1,,a gente,
familia,lilaLemma:102885,Cardoso,Cardoso1570.n07689.e01,Cardoso1570.n07689.sg01,1,,a gente de casa,
turba,lilaLemma:129235,Cardoso,Cardoso1570.n25432.e01,Cardoso1570.n25432.sg01,1,,a gente de caualo,
exercitus,lilaLemma:101960,Cardoso,Cardoso1570.n07201.e01,Cardoso1570.n07201.sg01,1,,a gente de guerra,
gloria,lilaLemma:104703,Cardoso,Cardoso1570.n08870.e01,Cardoso1570.n08870.sg01,1,,a gloria,
gratia,lilaLemma:104869,Cardoso,Cardoso1570.n08962.e01,Cardoso1570.n08962.sg01,1,,a graça. ou agradecimento,
magnitudo,lilaLemma:111317,Cardoso,Cardoso1570.n12981.e01,Cardoso1570.n12981.sg01,1,,a grandeza,
pondus,lilaLemma:118410,Cardoso,Cardoso1570.n18239.e01,Cardoso1570.n18239.sg01,1,,a grauidade. ou autoridade,
praesidium,lilaLemma:119215,Cardoso,Cardoso1570.n18673.e01,Cardoso1570.n18673.sg01,1,,a guarnição de gente,
bellum,lilaLemma:91461,Cardoso,Cardoso1570.n02614.e01,Cardoso1570.n02614.sg01,1,,a guerra,
bellum,lilaLemma:91461,Cardoso,Cardoso1570.n06399.e01,Cardoso1570.n06399.sg01,1,,a guerra de dous. ou desafio,
honor,lilaLemma:105647,Cardoso,Cardoso1570.n09309.e01,Cardoso1570.n09309.sg01,1,,a honra,
hora,lilaLemma:105663,Cardoso,Cardoso1570.n09317.e01,Cardoso1570.n09317.sg01,1,,a hora,
aetas,lilaLemma:87955,Cardoso,Cardoso1570.n00772.e01,Cardoso1570.n00772.sg01,1,,a idade,
aeuum,lilaLemma:87978,Cardoso,Cardoso1570.n00787.e01,Cardoso1570.n00787.sg01,1,,a idade,
insula,lilaLemma:108308,Cardoso,Cardoso1570.n10931.e01,Cardoso1570.n10931.sg01,1,,a ilha. ou casa apartada d´outra,
latus,lilaLemma:110056,Cardoso,Cardoso1570.n11996.e01,Cardoso1570.n11996.sg01,1,,a ilharga,
imago,lilaLemma:106319,Cardoso,Cardoso1570.n09584.e01,Cardoso1570.n09584.sg01,1,,a imagem,
inimicus,lilaLemma:107882,Faria,Faria1994.n16095.e01,Faria1994.n16095.sg01,5,III-Como subs. f.:,A inimiga,CíC. Cael. 32.
ira,lilaLemma:108949,Cardoso,Cardoso1570.n11406.e01,Cardoso1570.n11406.sg01,1,,a ira. ou sanha,
soror,lilaLemma:125195,Cardoso,Cardoso1570.n22864.e01,Cardoso1570.n22864.sg01,1,,a irmaã inteyra,
flamma,lilaLemma:103402,Cardoso,Cardoso1570.n08092.e01,Cardoso1570.n08092.sg01,1,,a labareda,
lacrima,lilaLemma:109669,Cardoso,Cardoso1570.n11737.e01,Cardoso1570.n11737.sg01,1,,a lagrima,
legio,lilaLemma:110166,Cardoso,Cardoso1570.n12068.e01,Cardoso1570.n12068.sg01,1,,a legião de gente de pee,
littera,lilaLemma:110668,Cardoso,Cardoso1570.n12474.e01,Cardoso1570.n12474.sg01,1,,a letra,
littera,lilaLemma:110668,Velez,Velez1744.n1991.e01,Velez1744.n1991.sg01,1,,a letra,
lex,lilaLemma:110351,Cardoso,Cardoso1570.n12205.e01,Cardoso1570.n12205.sg01,1,,a ley,
libertas,lilaLemma:110394,Cardoso,Cardoso1570.n12241.e01,Cardoso1570.n12241.sg01,1,,a liberdade,
copia,lilaLemma:96517,Cardoso,Cardoso1570.n04905.e01,Cardoso1570.n04905.sg01,1,,a licença. ou abastança,
lingua,lilaLemma:110562,Cardoso,Cardoso1570.n12391.e01,Cardoso1570.n12391.sg01,1,,a lingoa. ou lingoajem,
lingua,lilaLemma:110562,Faria,Faria1994.n18142.e01,Faria1994.n18142.sg01,2,I-Daí:,"A língua como órgão da fala, fala, palavra, linguagem, idioma, dialeto:",
luna,lilaLemma:110964,Cardoso,Cardoso1570.n12727.e01,Cardoso1570.n12727.sg01,1,,a lũa,
luna,lilaLemma:110964,Cardoso,Cardoso1570.n12735.e01,Cardoso1570.n12735.sg01,1,,a lũa. ou lingoa do çapato,
libido,lilaLemma:110407,Cardoso,Cardoso1570.n12246.e01,Cardoso1570.n12246.sg01,1,,a luxuria. ou apetite,
lux,lilaLemma:111048,Cardoso,Cardoso1570.n12830.e01,Cardoso1570.n12830.sg01,1,,a luz. ou a vida,
alter,lilaLemma:88457,Cardoso,Cardoso1570.n01116.e01,Cardoso1570.n01116.sg01,1,,a maça de chumbo,
materia,lilaLemma:111691,Cardoso,Cardoso1570.n13376.e01,Cardoso1570.n13376.sg01,1,,a madeyra,
plerusque,lilaLemma:118148,Faria,Faria1994.n24301.e01,Faria1994.n24301.sg01,1,,A maior parte,"raro, no sing. Sal. C. Cal. 17, 6."
plerumque,lilaIpoLemma:111734,Faria,Faria1994.n24299.e01,Faria1994.n24299.sg01,1,,"A maior parte do tempo, ordinariamente, geralmente","Cíc. Div. 2, 14."
plerusque,lilaLemma:118148,Faria,Faria1994.n24301.e01,Faria1994.n24301.sg01,2,"No pl.: pleríque, -aeque, -àque:","a maior parte, o maior número, muitos",Cés. B. Gal. 2. 4. 1.
plerusque,lilaLemma:118148,Fonseca,Fonseca1798.n22775.e01,Fonseca1798.n22775.sg01,1,Sall.,a maior parte.,
super3,lilaLemma:126719,Faria,Faria1994.n30772.e01,Faria1994.n30772.sg01,3,II-Sent. figurado:,"A mais, além de, demais","Verg. En. 7, 462."
supra2,lilaLemma:127065,Faria,Faria1994.n30962.e01,Faria1994.n30962.sg01,3,,"A mais, além de, mais:",
super3,lilaLemma:126719,Faria,Faria1994.n30772.e01,Faria1994.n30772.sg01,5,II-Sent. figurado:,"A mais, de resto","Verg. Buc. 6, 6."
nefas,lilaLemma:113531,Cardoso,Cardoso1570.n14800.e01,Cardoso1570.n14800.sg01,1,,a maldade contra Deos,
scelus,lilaLemma:123667,Cardoso,Cardoso1570.n21631.e01,Cardoso1570.n21631.sg01,1,,a maldade. ou graue pecado,
modus,lilaLemma:112553,Cardoso,Cardoso1570.n14050.e01,Cardoso1570.n14050.sg01,1,,a maneyra. ou fim. ou medida,
manus,lilaLemma:111585,Cardoso,Cardoso1570.n13242.e01,Cardoso1570.n13242.sg01,1,,a mão. ou companha,
caedes,lilaLemma:92206,Cardoso,Cardoso1570.n02963.e01,Cardoso1570.n02963.sg01,1,,a matança,
materia,lilaLemma:111691,Cardoso,Cardoso1570.n13378.e01,Cardoso1570.n13378.sg01,1,,a materia de qualquer cousa,
mater,lilaLemma:111688,Cardoso,Cardoso1570.n13372.e01,Cardoso1570.n13372.sg01,1,,a mãy,
memoria,lilaLemma:112000,Cardoso,Cardoso1570.n13570.e01,Cardoso1570.n13570.sg01,1,,a memoria,
siue,lilaLemma:124968,Faria,Faria1994.n29194.e01,Faria1994.n29194.sg01,2,,A menos que,"Cíc. Rep. 1, 29."
mens,lilaLemma:112038,Faria,Faria1994.n19306.e01,Faria1994.n19306.sg01,1,I-Sent. próprio,"A mente, o espírito em oposição a corpus, a inteligência:",
beneficium,lilaLemma:91483,Cardoso,Cardoso1570.n02631.e01,Cardoso1570.n02631.sg01,1,,a merce. ou boa obra,
mensa,lilaLemma:112039,Cardoso,Cardoso1570.n13617.e01,Cardoso1570.n13617.sg01,1,,a mesa. ou bãco de cãbeador,
nuntius,lilaLemma:113734,Cardoso,Cardoso1570.n15450.e01,Cardoso1570.n15450.sg01,1,,a messajem. ou messajeyro,
lapis,lilaLemma:109911,Velez,Velez1744.n1923.e01,Velez1744.n1923.sg01,2,"quia veteres lapidibus milliaria desinabant, ponitur lapis pro milliario","a milha, quarto de legoa",
meus,lilaLemma:112262,Faria,Faria1994.n19333.e01,Faria1994.n19333.sg01,1,,A mim mesmo.,
puella,lilaLemma:118823,Cardoso,Cardoso1570.n19460.e01,Cardoso1570.n19460.sg01,1,,a moça,
femina,lilaLemma:103084,Cardoso,Cardoso1570.n08199.e01,Cardoso1570.n08199.sg01,1,,a molher,
mulier,lilaLemma:112890,Cardoso,Cardoso1570.n14307.e01,Cardoso1570.n14307.sg01,1,,a molher,
uxor,lilaLemma:130980,Cardoso,Cardoso1570.n26894.e01,Cardoso1570.n26894.sg01,1,,a molher que tem marido,
aedes,lilaLemma:87733,Faria,Faria1994.n00877.e01,Faria1994.n00877.sg01,2,"O singular indica, especialmente","a morada do deus, o templo:",
mors,lilaLemma:112807,Cardoso,Cardoso1570.n14219.e01,Cardoso1570.n14219.sg01,1,,a morte,
caedes,lilaLemma:92206,Velez,Velez1744.n0541.e01,Velez1744.n0541.sg01,1,,"a morte, a matança",
multitudo,lilaLemma:112987,Cardoso,Cardoso1570.n14390.e01,Cardoso1570.n14390.sg01,1,,a multidão,
uulgus,lilaLemma:130957,Faria,Faria1994.n34232.e01,Faria1994.n34232.sg01,1,I-Sent. próprio,"A multidão, o povo, o vulgo",Cíc. Planc. 9.
multitudo,lilaLemma:112987,Faria,Faria1994.n19950.e01,Faria1994.n19950.sg01,2,II-Daí,"A multidão, o povo, o vulgo","Cíc. Of. I, 65."
nauis,lilaLemma:113460,Cardoso,Cardoso1570.n14693.e01,Cardoso1570.n14693.sg01,1,,a nao,
flos,lilaLemma:103489,Faria,Faria1994.n12905.e01,Faria1994.n12905.sg01,5,II-Sent. figurado:,"A nata. o escol, a flor","Cíc. Phil. 2, 27."
natura,lilaLemma:113421,Cardoso,Cardoso1570.n14661.e01,Cardoso1570.n14661.sg01,1,,a naturaleza,
necessitas,lilaLemma:113509,Cardoso,Cardoso1570.n14757.e01,Cardoso1570.n14757.sg01,1,,a necessidade,
somnus,lilaLemma:125130,Faria,Faria1994.n29632.e01,Faria1994.n29632.sg01,4,III-Sent. figurado:,A noite,"o tempo do sono Verg. G. 1, 208."
nox,lilaLemma:113901,Faria,Faria1994.n20736.e01,Faria1994.n20736.sg01,2,I-Personificado,A Noite,"deusa da noite Verg. En. 5, 721."
nox,lilaLemma:113901,Faria,Faria1994.n20736.e01,Faria1994.n20736.sg01,3,II-Sent. figurado:,"A noite eterna, a morte","Hor. O. 1, 28, 15."
nox,lilaLemma:113901,Cardoso,Cardoso1570.n15317.e01,Cardoso1570.n15317.sg01,1,,a noyte,
affero,lilaLemma:88001,Faria,Faria1994.n01171.e01,Faria1994.n01171.sg01,3,"II-Donde, em sentido figurado:","A nunciar, comunicar, contar:",
affero,lilaLemma:88001,Faria,Faria1994.n01171.e01,Faria1994.n01171.sg01,4,II-Donde:,A nunciar. comunicar uma ordem,"T. Lív. 23, 27, 9."
opus,lilaLemma:115170,Cardoso,Cardoso1570.n16285.e01,Cardoso1570.n16285.sg01,1,,a obra,
officium,lilaLemma:114811,Cardoso,Cardoso1570.n15988.e01,Cardoso1570.n15988.sg01,1,,a obra virtuosa,
opera,lilaLemma:115016,Velez,Velez1744.n2381.e10,Velez1744.n2381.sg10,1,,"a obra, trabalho, industra",
unda,lilaLemma:130599,Cardoso,Cardoso1570.n26499.e01,Cardoso1570.n26499.sg01,1,,a onda,
fluctus,lilaLemma:104173,Cardoso,Cardoso1570.n08142.e01,Cardoso1570.n08142.sg01,1,,a onda do mar,
oratio,lilaLemma:115179,Cardoso,Cardoso1570.n16297.e01,Cardoso1570.n16297.sg01,1,,a oração,
eques,lilaLemma:101354,Faria,Faria1994.n11233.e01,Faria1994.n11233.sg01,3,II-Sent. figurado:,A ordem dos cavaleiros,Cíc Clu. 156.
auris,lilaLemma:90784,Cardoso,Cardoso1570.n02442.e01,Cardoso1570.n02442.sg01,1,,a orelha,
uerbum,lilaLemma:131057,Cardoso,Cardoso1570.n25840.e01,Cardoso1570.n25840.sg01,1,,a palaura,
pars,lilaLemma:116084,Velez,Velez1744.n2477.e01,Velez1744.n2477.sg01,1,,a parte,
terra,lilaLemma:127912,Faria,Faria1994.n31558.e01,Faria1994.n31558.sg01,3,I-Daí,"A parte da terra em que se habita, região, país",Cíc. Lae. 13.
materia,lilaLemma:111691,Faria,Faria1994.n19034.e01,Faria1994.n19034.sg01,3,I-Por extensão:,A parte dura da árvore,"em oposição às folhas e casca Cal. 5, 11, 4."
os2,lilaLemma:115330,Faria,Faria1994.n21874.e01,Faria1994.n21874.sg01,2,I-Daí:,"A parte interior do corpo tratando-se de árvore, fruto, coração, caroço",Suet. Claud. 8.
flos,lilaLemma:103489,Fonseca,Fonseca1798.n11978.e01,Fonseca1798.n11978.sg01,2,,a parte mais excellente de qualquer cousa.,
aether,lilaLemma:87965,Faria,Faria1994.n01126.e01,Faria1994.n01126.sg01,2,I-Donde,"A parte superior do ar, o ar","V erg. G. 1, 406."
pars,lilaLemma:116084,Cardoso,Cardoso1570.n16829.e01,Cardoso1570.n16829.sg01,1,,a parte. ou quinhão,
hinc,lilaLemma:105454,Faria,Faria1994.n14447.e01,Faria1994.n14447.sg01,2,Donde:,A partir daqui. deste ponto,T. Lív. 2. I. 1.
gradus,lilaLemma:104801,Cardoso,Cardoso1570.n08919.e01,Cardoso1570.n08919.sg01,1,,a passada,
fabula,lilaLemma:102732,Cardoso,Cardoso1570.n07569.e01,Cardoso1570.n07569.sg01,1,,a patranha. ou nouela,
patria,lilaLemma:116250,Cardoso,Cardoso1570.n16917.e01,Cardoso1570.n16917.sg01,1,,a patria. ou terra natural,
pax,lilaLemma:116322,Velez,Velez1744.n2499.e01,Velez1744.n2499.sg01,1,,a pax,
pax,lilaLemma:116322,Cardoso,Cardoso1570.n17000.e01,Cardoso1570.n17000.sg01,1,,a paz. ou licença. ou perdão,
lapis,lilaLemma:109911,Velez,Velez1744.n1923.e01,Velez1744.n1923.sg01,1,,a pedra,
saxum,lilaLemma:123551,Cardoso,Cardoso1570.n21558.e01,Cardoso1570.n21558.sg01,1,,a pedra tosca & por laurar,
lapis,lilaLemma:109911,Cardoso,Cardoso1570.n11871.e01,Cardoso1570.n11871.sg01,1,,a pedra. ou a milha. terço de legoa,
proelium,lilaLemma:119697,Cardoso,Cardoso1570.n18555.e01,Cardoso1570.n18555.sg01,1,,a peleja. ou batalha,
pugna,lilaLemma:120407,Cardoso,Cardoso1570.n19477.e01,Cardoso1570.n19477.sg01,1,,a peleja. ou batalha,
poena,lilaLemma:118263,Cardoso,Cardoso1570.n18137.e01,Cardoso1570.n18137.sg01,1,,a pena. ou castigo,
aequor,lilaLemma:87870,Cardoso,Cardoso1570.n00717.e01,Cardoso1570.n00717.sg01,1,,a planeza do mar. ou campo,
porta,lilaLemma:118508,Cardoso,Cardoso1570.n18323.e01,Cardoso1570.n18323.sg01,1,,a porta da cidade. ou do arraial,
forum,lilaLemma:103701,Cardoso,Cardoso1570.n08329.e01,Cardoso1570.n08329.sg01,1,,a praça. ou audiencia,
argentum,lilaLemma:89933,Cardoso,Cardoso1570.n01979.e01,Cardoso1570.n01979.sg01,1,,a prata ou dinheiro. ou bayxella,
