lemma,lila_id,source,entry_id,senseGroup,sense_prefix,sense_predef,sense_def,sense_posdef
prior,lilaLemma:119509,Fonseca,Fonseca1798.n23867.e01,Fonseca1798.n23867.sg01,2,Plin. Jun.,"dianteiro, anterior.",
antiquus,lilaLemma:87976,Fonseca,Fonseca1798.n01890.e01,Fonseca1798.n01890.sg01,1,Cic.,"dianteiro, que está diante.",
sol,lilaLemma:125027,Fonseca,Fonseca1798.n27989.e01,Fonseca1798.n27989.sg01,4,Virg.,dias.,
diuersus,lilaIpoLemma:13031,Faria,Faria1994.n10224.e01,Faria1994.n10224.sg01,3,I-Daí:,"Diferente, em diferentes direções","Cés. B. Civ. 1, 58, 4."
alius,lilaLemma:88481,Faria,Faria1994.n01575.e01,Faria1994.n01575.sg01,3,,"Diferente, outro, diverso","Cíc. Fam. 11, 12, 2."
confero,lilaLemma:95728,Faria,Faria1994.n07068.e01,Faria1994.n07068.sg01,9,II-Daí:,"Diferir, adiar, aguardar","Cés. B. Gal. 1, 40, 14."
muto,lilaLemma:113167,Faria,Faria1994.n20078.e01,Faria1994.n20078.sg01,5,B-Intr.-Sent. figurado:,"Diferir, adiar, dilatar","Varr. R. Rust. 2, 2, 12."
intersum,lilaLemma:108661,Faria,Faria1994.n16709.e01,Faria1994.n16709.sg01,4,II-Sent. figurado:,"Diferir, estar distante, separado",Cíc. Ac. 2. 47.
absum,lilaLemma:87040,Faria,Faria1994.n00197.e01,Faria1994.n00197.sg01,4,II-Daí,"Diferir, ser diferente","Cíc. Of. 1, 50."
confero,lilaLemma:95728,Fonseca,Fonseca1798.n06136.e01,Fonseca1798.n06136.sg01,5,,"differir, demorar.",
prodo,lilaLemma:119676,Fonseca,Fonseca1798.n24007.e01,Fonseca1798.n24007.sg01,3,Ter.,"differir, dilatar, demorar.",
duco,lilaLemma:100196,Fonseca,Fonseca1798.n09480.e01,Fonseca1798.n09480.sg01,4,,"differir, dilatar.",
intersum,lilaLemma:108661,Velez,Velez1744.n1813.e01,Velez1744.n1813.sg01,2,in tertiis tantùm personis pro Differre,"differir, ou haver differença",idque variis casibus
differo,lilaLemma:99342,Fonseca,Fonseca1798.n08768.e01,Fonseca1798.n08768.sg01,2,Cic.,"differir, ser differente.",
negotium,lilaLemma:113566,Fonseca,Fonseca1798.n19187.e01,Fonseca1798.n19187.sg01,4,,"difficuldade, trabalho, fadiga.",
aegre,lilaIpoLemma:1101,Fonseca,Fonseca1798.n00883.e01,Fonseca1798.n00883.sg01,2,,difficultosamente.,
difficilis,lilaLemma:99345,Fonseca,Fonseca1798.n08772.e01,Fonseca1798.n08772.sg01,1,Cic.,difficultoso.,
tristis,lilaLemma:129020,Fonseca,Fonseca1798.n30836.e01,Fonseca1798.n30836.sg01,3,Ovid.,difficultoso.,
tardus,lilaLemma:127658,Faria,Faria1994.n31254.e01,Faria1994.n31254.sg01,3,II-Sent. figurado,Difícil,"Cíc. At. 7, 3. 5."
durus,lilaLemma:100319,Faria,Faria1994.n10535.e01,Faria1994.n10535.sg01,7,II-Sent. figurado:,"Difícil, custoso, trabalhoso","tratando-se das coisas Cíc. Rep. 1, 68."
difficilis,lilaLemma:99345,Faria,Faria1994.n09729.e01,Faria1994.n09729.sg01,1,I-Sent. próprio,"Difícil, penoso, custoso","Cic. Of. 1, 126."
negotium,lilaLemma:113566,Faria,Faria1994.n20353.e01,Faria1994.n20353.sg01,2,II-Sent. figurado,"Dificuldade, embaraço causado pelo trabalho",Cíc. Amer. 20.
regnum,lilaLemma:121683,Fonseca,Fonseca1798.n25601.e01,Fonseca1798.n25601.sg01,2,,dignidade Real.,
dignitas,lilaLemma:99402,Fonseca,Fonseca1798.n08818.e01,Fonseca1798.n08818.sg01,1,Cic.,"dignidade, honra, esplendor, grandeza, autoridade.",
regius,lilaLemma:121678,Faria,Faria1994.n27155.e01,Faria1994.n27155.sg01,2,II-Sent. figurado,Digno de um rei,excelente. magnífico Hor.O. 2. 15. 1.
dignus,lilaLemma:99407,Fonseca,Fonseca1798.n08822.e01,Fonseca1798.n08822.sg01,1,Cic.,"digno, merecedor, capaz.",
inquam,lilaLemma:108033,Faria,Faria1994.n16201.e01,Faria1994.n16201.sg01,1,,"Digo, dizes, diz:",
traho,lilaLemma:128552,Velez,Velez1744.n3431.e01,Velez1744.n3431.sg01,2,significat item in passiva,"dilatar-se, ou estender-se",
differo,lilaLemma:99342,Fonseca,Fonseca1798.n08768.e01,Fonseca1798.n08768.sg01,3,,"dilatar, demorar.",
sustineo,lilaLemma:127147,Fonseca,Fonseca1798.n29671.e01,Fonseca1798.n29671.sg01,6,Liv.,"dilatar, demorar.",
traho,lilaLemma:128552,Fonseca,Fonseca1798.n30498.e01,Fonseca1798.n30498.sg01,7,,"dilatar, demorar.",
spargo,lilaLemma:125240,Fonseca,Fonseca1798.n28176.e01,Fonseca1798.n28176.sg01,2,Plin.,"dilatar, extender.",
