lemma,prefix,fullEntry
arma,Cardoso,<b>Arma</b> <b>orum</b>   <p> <b>1</b> &ensp; as armas. ou aparelhos pera fazer qualquer cousa </p>
articulus,Cardoso,<b>Articulus</b> <b>i</b> <br> <small>dimin.</small>
ascopa,Cardoso,<b>Ascopa</b> -<b>ae</b>
aspiro,Cardoso,<b>Aspiro</b> -<b>as</b> -<b>aui</b> -<b>atum</b>
assentio,Cardoso,<b>Assentio</b> <b>onis</b>
at,Cardoso,<b>At</b> <br> <small>coniũctio increpatiua.</small>   <p> <b>1</b> &ensp; ay. ou mas </p>
atque,Cardoso,<b>Atque</b> <br> <small>coniunctio copulatiua.</small>   <p> <b>1</b> &ensp; <small>vt &</small> <br> <b>2</b> &ensp; <small>aliquando pro quàm</small> &ensp; que </p>
attagen,Cardoso,<b>Attagen</b> -<b>enis</b>
audio,Cardoso,<b>Audio</b> <b>is</b> <b>iui</b> <b>itum</b>   <p> <b>1</b> &ensp; ouuir </p>
balanus,Cardoso,<b>Balanus</b> <b>i</b>
balneum,Cardoso,<b>balneum</b> -<b>ei</b>
barathrum,Cardoso,<b>Barathrum</b> <b>i</b>
bellum,Cardoso,<b>Bellum</b> <b>i</b>   <p> <b>1</b> &ensp; a guerra </p>
bene,Cardoso,<b>Bene</b> <br> <small>aduerb.</small>   <p> <b>1</b> &ensp; bem </p>
bonum,Cardoso,<b>Bonum</b> <b>i</b>   <p> <b>1</b> &ensp; ho bem </p>
bonus,Cardoso,<b>Bonus</b> -<b>a</b> <b>um</b>   <p> <b>1</b> &ensp; cousa boa </p>
brabeum,Cardoso,<b>brabium</b>
brabeum,Cardoso,<b>brabium</b>
brocchus,Cardoso,<b>Bronchus</b> <b>i</b>
caducus,Cardoso,<b>Caducus</b> -<b>a</b> <b>um</b>
ceterus,Cardoso,<b>Caeter</b> -<b>a</b> <b>um</b>   <p> <b>1</b> &ensp; ho restante </p>
calceo,Cardoso,<b>calcio</b> -<b>as</b>
calculus,Cardoso,<b>Calculus</b> <b>i</b>
calix,Cardoso,<b>Calix</b> <b>icis</b>
canis,Cardoso,<b>Canis</b> <b>is</b>
capio,Cardoso,<b>Capio</b> <b>is</b> <b>caepi</b> <b>captum</b>   <p> <b>1</b> &ensp; catiuar. ou namorar </p>
capistratus,Cardoso,<b>Capistratus</b> <b>us</b>
caput,Cardoso,<b>Caput</b> <b>isis</b>
carpo,Cardoso,<b>Carpo</b> <b>is</b>
caryophyllum,Cardoso,<b>caryophyllum</b>
castra,Cardoso,<b>Castra</b> <b>orum</b>   <p> <b>1</b> &ensp; ho arrayal de guerra </p>
caupona,Cardoso,<b>Caupona</b> -<b>ae</b>
causa,Cardoso,<b>Causa</b> -<b>ae</b>   <p> <b>1</b> &ensp; a cousa. ou achaque </p>
censeo,Cardoso,<b>Censeo</b> -<b>es</b>
censorius,Cardoso,<b>Censorius</b> <b>ij</b>
censitus2,Cardoso,<b>Census</b> -<b>a</b> <b>um</b>
census,Cardoso,<b>Census</b> <b>us</b>
cinis,Cardoso,<b>ciner</b>
ciuis,Cardoso,<b>Ciuis</b> <b>is</b>   <p> <b>1</b> &ensp; ho cidadão. ou cidadoa </p>
ciuitas,Cardoso,<b>Ciuitas</b> -<b>atis</b>   <p> <b>1</b> &ensp; a cidade </p>
cognosco,Cardoso,<b>Cognosco</b> <b>is</b> <b>ui</b> <b>itum</b>   <p> <b>1</b> &ensp; conhecer de nouo </p>
cohors,Cardoso,<b>Cohors</b> <b>ortis</b>
comes,Cardoso,<b>Comes</b> <b>itis</b>
committo,Cardoso,<b>Committo</b> <b>is</b> <b>si</b> <b>ssum</b>
commodo,Cardoso,<b>Commodo</b> -<b>as</b>
condicio,Cardoso,<b>Conditio</b> <b>onis</b>
conduco,Cardoso,<b>Conduco</b> <b>is</b>
confero,Cardoso,<b>Confero</b> -<b>ers</b>
conglacio,Cardoso,<b>Conglatio</b> -<b>as</b>
conger,Cardoso,<b>congrus</b> <b>i</b>
coniecto,Cardoso,<b>Coniecto</b> -<b>as</b>
conscius,Cardoso,<b>Conscius</b> -<b>a</b> <b>um</b>
consilium,Cardoso,<b>Consilium</b> <b>ij</b>   <p> <b>1</b> &ensp; ho conselho </p>
consputo,Cardoso,<b>Consputare</b>
consul,Cardoso,<b>Consul</b> <b>ulis</b>   <p> <b>1</b> &ensp; ho vereador. ou consul </p>
consulo,Cardoso,<b>Consulo</b> <b>is</b>
contendo,Cardoso,<b>Contendo</b> <b>is</b> -<b>di</b> <b>sum</b>
contentio,Cardoso,<b>Contentio</b> <b>onis</b>
conuenio,Cardoso,<b>Conuenio</b> <b>is</b>
conuenio,Cardoso,<b>Conuenio</b> <b>is</b>
copula,Cardoso,<b>Copula</b> -<b>ae</b>
cornu,Cardoso,<b>Cornu</b> <b>u</b>
corpus,Cardoso,<b>Corpus</b> <b>oris</b>   <p> <b>1</b> &ensp; ho corpo </p>
cohors,Cardoso,<b>cors</b> <b>ortis</b>
caurus,Cardoso,<b>corus</b> <b>i</b>
cottidie,Cardoso,<b>cotidie</b>
credo,Cardoso,<b>Credo</b> <b>is</b> -<b>didi</b> <b>itum</b>   <p> <b>1</b> &ensp; crêr. ou cõfiar </p>
cucullus,Cardoso,<b>Cucullus</b> <b>i</b>
cucumis,Cardoso,<b>cucumer</b>
culleus,Cardoso,<b>Culleus</b> -<b>ei</b>
cum2,Cardoso,<b>Cum</b> <br> <small>praepositio.</small>   <p> <b>1</b> &ensp; com </p>
cur,Cardoso,<b>cur</b> <br> <small>aduer.</small>
curculio,Cardoso,<b>curculio</b>
curo,Cardoso,<b>Curo</b> -<b>as</b>
cuminum,Cardoso,<b>Cyminum</b> <b>i</b>
cupressus,Cardoso,<b>cypressus</b>
do,Cardoso,<b>Dare</b> <br> <small>absolutè.</small>   <p> <b>1</b> &ensp; dar a molher o seu corpo </p>
dascylus,Cardoso,<b>dasquillus</b> <b>i</b>
deduco,Cardoso,<b>Deduco</b> <b>is</b>
deficio,Cardoso,<b>Deficio</b> <b>is</b>
deficio,Cardoso,<b>Deficio</b> <b>is</b>
deinde,Cardoso,<b>Dein</b> <br> <small>aduerb.</small>   <p> <b>1</b> &ensp; despois </p>
deinde,Cardoso,<b>deinde</b> <br> <small>aduerb.</small>   <p> <b>1</b> &ensp; despois </p>
delego,Cardoso,<b>Delego</b> -<b>as</b>
depono,Cardoso,<b>Depono</b> <b>is</b> <b>sui</b> <b>situm</b>
deus,Cardoso,<b>Deus</b> -<b>ei</b>   <p> <b>1</b> &ensp; deos. ou deosa </p>
dextera,Cardoso,<b>dextra</b> -<b>ae</b>
dico,Cardoso,<b>Dico</b> <b>is</b> <b>xi</b> -<b>ctum</b>   <p> <b>1</b> &ensp; dizer &ensp; <small>actiuo.</small> </p>
dictamnum,Cardoso,<b>dictamnum</b> <b>i</b>
dies,Cardoso,<b>Dies</b> -<b>ei</b>   <p> <b>1</b> &ensp; ho dia </p>
differo,Cardoso,<b>Differo</b> -<b>ers</b> <b>istuli</b> <b>latum</b>
dies,Cardoso,<b>Diu</b>   <p> <b>1</b> &ensp; de dia </p>
diu,Cardoso,<b>Diutissime</b> <br> <small>aduerb.</small>
do,Cardoso,<b>Do</b> -<b>as</b> <b>dedi</b> <b>datum</b>   <p> <b>1</b> &ensp; dar </p>
dolo2,Cardoso,<b>Dolon</b> <b>onis</b>
domus,Cardoso,<b>Domi</b> <br> <small>aduerbialiter.</small>   <p> <b>1</b> &ensp; em casa </p>
dominus,Cardoso,<b>Dominus</b> <b>i</b>   <p> <b>1</b> &ensp; ho senhor </p>
domus,Cardoso,<b>Domus</b> <b>us</b>   <p> <b>1</b> &ensp; a casa. ou familia </p>
bellum,Cardoso,<b>Duellum</b> <b>i</b>   <p> <b>1</b> &ensp; a guerra de dous. ou desafio </p>
dum,Cardoso,<b>Dum</b> <br> <small>cõiũctio.</small>   <p> <b>1</b> &ensp; quando. emmentes que </p>
duo,Cardoso,<b>Duo</b> -<b>ae</b> <b>o</b>   <p> <b>1</b> &ensp; dous </p>
duro,Cardoso,<b>Duro</b> -<b>as</b>
ex,Cardoso,<b>E</b> <br> <small>praepositio.</small>   <p> <b>1</b> &ensp; de </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>e coelo cedidit Cato </p>
echinus,Cardoso,<b>Echinus</b> <b>i</b>
elenchus,Cardoso,<b>Elenchus</b> <b>i</b>
ellam,Cardoso,<b>Ellos</b> -<b>as</b>
eloco,Cardoso,<b>Eloco</b> -<b>as</b>
enecatus,Cardoso,<b>Enecatus</b> -<b>a</b> <b>um</b>
enim,Cardoso,<b>Enim</b> <br> <small>coniunctio.</small>   <p> <b>1</b> &ensp; porque </p>
eo,Cardoso,<b>Eo</b> <b>is</b> <b>iui</b> <b>itum</b>   <p> <b>1</b> &ensp; ir </p>
ephemeris,Cardoso,<b>Ephemeris</b> <b>idis</b>
ergo,Cardoso,<b>Ergo</b> <br> <small>coniũctio.</small>   <p> <b>1</b> &ensp; por tanto. ou asi que </p>
erro,Cardoso,<b>Erro</b> -<b>as</b>
et,Cardoso,<b>Et</b> <br> <small>coniunctio.</small>   <p> <b>1</b> &ensp; tambem </p>
etiam,Cardoso,<b>Etiam</b> <br> <small>coniunctio.</small>   <p> <b>1</b> &ensp; tambẽ. ou si </p>
etiam,Cardoso,<b>Etiam</b>   <p> <b>1</b> &ensp; atê </p>
ex,Cardoso,<b>Ex</b> <br> <small>praepositio.</small>   <p> <b>1</b> &ensp; de </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>ex urbe &ensp; <small>Da cidade</small> </p>
exactus,Cardoso,<b>Exactus</b> -<b>a</b> <b>um</b>
examen,Cardoso,<b>Examen</b> <b>inis</b>
excedo,Cardoso,<b>Excedo</b> <b>is</b> -<b>essi</b> -<b>essum</b>
excipio,Cardoso,<b>Excipio</b> <b>is</b> <b>caepi</b> -<b>eptum</b>
excussor,Cardoso,<b>Excussor</b> <b>oris</b>
exercitus,Cardoso,<b>Exercitus</b> <b>us</b>   <p> <b>1</b> &ensp; a gente de guerra </p>
exinde,Cardoso,<b>exinde</b>
exos,Cardoso,<b>exossis</b> -<b>e</b>
exspes,Cardoso,<b>Expes</b> -<b>edis</b>
expono,Cardoso,<b>Expono</b> <b>is</b> <b>sui</b> <b>situm</b>
extundo,Cardoso,<b>Extundo</b> <b>is</b> <b>extudi</b> <b>extusum</b>
exuuiae,Cardoso,<b>Exuuiae</b> -<b>arum</b>
fabula,Cardoso,<b>Fabula</b> -<b>ae</b>
facies,Cardoso,<b>Facies</b> -<b>ei</b>
facilis,Cardoso,<b>Facilis</b> -<b>e</b>
facilitas,Cardoso,<b>Facilitas</b> -<b>atis</b>
facio,Cardoso,<b>Facio</b>   <p> <b>1</b> &ensp; <small>pro conuenio</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>lex facit ad me <br> lex facit pro me </p>
facio,Cardoso,<b>Facio</b> <b>is</b> -<b>eci</b> <b>actum</b>   <p> <b>1</b> &ensp; fazer </p>
facio,Cardoso,<b>Facio</b> <b>is</b> -<b>eci</b> <b>actum</b>
facultas,Cardoso,<b>Facultas</b> -<b>atis</b>
facultas,Cardoso,<b>Facultates</b>
familia,Cardoso,<b>Familia</b> -<b>ae</b> <br> <small>Terent. dixit.</small>
fatum,Cardoso,<b>Fatum</b> <b>i</b>
facio,Cardoso,<b>Faxit</b> <b>faxint</b> <br> <small>pro fecerit. fecerint.</small>
ferculum,Cardoso,<b>Ferculum</b> <b>i</b>
fero,Cardoso,<b>Fero</b> -<b>ers</b> <b>tuli</b> <b>latum</b>   <p> <b>1</b> &ensp; leuar. trazer. soffrer </p>
ferreus,Cardoso,<b>Ferreus</b> -<b>a</b> <b>um</b>
fibra,Cardoso,<b>Fibra</b> -<b>ae</b>
ficosus,Cardoso,<b>Ficosus</b> -<b>a</b> <b>um</b>
fides,Cardoso,<b>Fides</b> -<b>ei</b>   <p> <b>1</b> &ensp; a fee. ou credito </p>
fides,Cardoso,<b>Fides</b> -<b>ei</b>
filius,Cardoso,<b>Filius</b> <b>ij</b>   <p> <b>1</b> &ensp; ho filho </p>
fio,Cardoso,<b>Fio</b> <b>is</b> <b>factus sum</b>   <p> <b>1</b> &ensp; ser feyto </p>
fistula,Cardoso,<b>Fistula</b> -<b>ae</b>
forma,Cardoso,<b>Forma</b> -<b>ae</b>
fornix,Cardoso,<b>Fornix</b> <b>icis</b>
fors,Cardoso,<b>forsan</b> <br> <small>aduerb.</small>
fors,Cardoso,<b>fortasse</b> <br> <small>aduerb.</small>
fors,Cardoso,<b>Forte</b> <br> <small>aduerb.</small>
fortuna,Cardoso,<b>Fortuna</b> -<b>ae</b>   <p> <b>1</b> &ensp; a fortuna </p>
fraudo,Cardoso,<b>Fraudo</b> -<b>as</b>
fricatus2,Cardoso,<b>frictus</b> -<b>a</b> <b>um</b>
fulgor,Cardoso,<b>Fulgor</b> <b>oris</b>
fungus,Cardoso,<b>Fungus</b> <b>i</b>
gelo,Cardoso,<b>Gelo</b> -<b>as</b>
geminus,Cardoso,<b>Geminus</b> -<b>a</b> <b>um</b>
gemma,Cardoso,<b>Gemma</b> -<b>ae</b>
gentilis,Cardoso,<b>Gentilis</b> -<b>e</b>
genus,Cardoso,<b>Genus</b> -<b>eris</b>   <p> <b>1</b> &ensp; ho genero. ou geração </p>
gero,Cardoso,<b>Gero</b> <b>is</b> <b>gessi</b> <b>gestum</b>   <p> <b>1</b> &ensp; trazer ás costas </p>
gero,Cardoso,<b>Gero</b> <b>is</b> <b>si</b> <b>stum</b>
glacio,Cardoso,<b>Glacio</b> -<b>as</b>
glaucus,Cardoso,<b>Glaucus</b> -<b>a</b> <b>um</b>
globulus,Cardoso,<b>Globulus</b> <b>i</b>
gnarus,Cardoso,<b>gnarus</b> -<b>a</b> <b>um</b>
gradus,Cardoso,<b>Gradus</b> <b>us</b>
gramen,Cardoso,<b>Gramen</b> <b>inis</b>
gratia,Cardoso,<b>Gratia</b> -<b>ae</b>
grauis,Cardoso,<b>Grauis</b> -<b>e</b>   <p> <b>1</b> &ensp; cousa graue ou pesada </p>
grypus,Cardoso,<b>Gryphus</b> <b>i</b>
habeo,Cardoso,<b>Habeo</b> -<b>es</b> <b>ui</b> <b>itum</b>   <p> <b>1</b> &ensp; ter. ou entẽder </p>
habeo,Cardoso,<b>Habet</b>   <p> <b>1</b> &ensp; <small>Dir-se-ha quando hum tem o que deseiou. ou o que mereceo. Tomou-se dos caçadores. ou pescadores que quando tornão as redes. dizem. Hay algo.</small> </p>
haereo,Cardoso,<b>Haereo</b> -<b>es</b> <b>si</b> <b>sum</b>
allux,Cardoso,<b>hallux</b> <b>ucis</b>
heri,Cardoso,<b>heri</b>
hinc,Cardoso,<b>Hinc</b> <br> <small>aduerb.</small>   <p> <b>1</b> &ensp; d´aqui </p>
hircus,Cardoso,<b>Hircquus</b> <b>ij</b>
homo,Cardoso,<b>Homo</b> <b>inis</b>   <p> <b>1</b> &ensp; ho homem </p>
hostio,Cardoso,<b>Hostio</b> <b>is</b> <b>iui</b> <b>itum</b> <br> <small>sed melius rehostio.</small>
hostis,Cardoso,<b>Hostis</b> <b>is</b>   <p> <b>1</b> &ensp; ho imigo </p>
hinc,Cardoso,<b>Huc</b> <br> <small>aduerb. loci.</small>   <p> <b>1</b> &ensp; pera qua </p>
huiusmodi,Cardoso,<b>huiuscemodi</b>
iamdudum,Cardoso,<b>Iam dudum</b> <br> <small>aduerb.</small>
iam,Cardoso,<b>Iam</b> <br> <small>aduerb.</small>   <p> <b>1</b> &ensp; ia. ou logo </p>
igitur,Cardoso,<b>Igitur</b> <br> <small>coniunctio illatiua.</small>   <p> <b>1</b> &ensp; assi que </p>
ille,Cardoso,<b>Ille</b> -<b>a</b> <b>ud</b>   <p> <b>1</b> &ensp; aquelle </p>
illex,Cardoso,<b>Illex</b> -<b>egis</b>
imbrex,Cardoso,<b>Imbrex</b> <b>icis</b>
imperium,Cardoso,<b>Imperium</b> <b>ij</b>   <p> <b>1</b> &ensp; ho imperio. ou senhorio </p>
impingo,Cardoso,<b>Impingo</b> <b>is</b> -<b>egi</b> <b>actum</b>
impono,Cardoso,<b>Impono</b> <b>is</b> <b>sui</b> <b>situm</b>
impubes,Cardoso,<b>impubes</b> -<b>eris</b>
in,Cardoso,<b>In</b> <br> <small>praepositio.</small>   <p> <b>1</b> &ensp; <small>pro contra</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>in hostem </p>
in,Cardoso,<b>In</b>
incandesco,Cardoso,<b>incandesco</b> <b>is</b>
index1,Cardoso,<b>Index</b> <b>icis</b>
indico,Cardoso,<b>Indico</b> -<b>as</b>
