"lila_id","freq"
"http://lila-erc.eu/data/id/lemma/88457","10032"
"http://lila-erc.eu/data/id/lemma/129639","10022"
"http://lila-erc.eu/data/id/lemma/108806","9985"
"http://lila-erc.eu/data/id/lemma/130603","9983"
"http://lila-erc.eu/data/id/lemma/120610","9773"
"http://lila-erc.eu/data/id/lemma/113981","9701"
"http://lila-erc.eu/data/id/lemma/96181","9687"
"http://lila-erc.eu/data/id/lemma/109285","9596"
"http://lila-erc.eu/data/id/lemma/123840","9582"
"http://lila-erc.eu/data/id/lemma/114120","9517"
"http://lila-erc.eu/data/id/lemma/128484","9472"
"http://lila-erc.eu/data/id/lemma/89129","9449"
"http://lila-erc.eu/data/id/lemma/89094","9420"
"http://lila-erc.eu/data/id/lemma/47152","9418"
"http://lila-erc.eu/data/id/lemma/122013","9117"
"http://lila-erc.eu/data/id/lemma/101414","8766"
"http://lila-erc.eu/data/id/lemma/103126","8759"
"http://lila-erc.eu/data/id/lemma/91461","8733"
"http://lila-erc.eu/data/id/lemma/84481","8721"
"http://lila-erc.eu/data/id/lemma/120358","8720"
"http://lila-erc.eu/data/id/lemma/105377","8654"
"http://lila-erc.eu/data/id/lemma/130393","8630"
"http://lila-erc.eu/data/id/lemma/93624","8596"
"http://lila-erc.eu/data/id/lemma/121289","8578"
"http://lila-erc.eu/data/id/lemma/127912","8420"
"http://lila-erc.eu/data/id/lemma/125109","8331"
"http://lila-erc.eu/data/id/lemma/119992","8305"
"http://lila-erc.eu/data/id/lemma/127822","8303"
"http://lila-erc.eu/data/id/lemma/110432","8285"
"http://lila-erc.eu/data/id/lemma/118463","8273"
"http://lila-erc.eu/data/id/lemma/123732","8259"
"http://lila-erc.eu/data/id/lemma/125956","8255"
"http://lila-erc.eu/data/id/lemma/113421","8233"
"http://lila-erc.eu/data/id/lemma/127592","8223"
"http://lila-erc.eu/data/id/lemma/101404","8219"
"http://lila-erc.eu/data/id/lemma/108367","8112"
"http://lila-erc.eu/data/id/lemma/121047","8093"
"http://lila-erc.eu/data/id/lemma/20302","8048"
"http://lila-erc.eu/data/id/lemma/130360","8002"
"http://lila-erc.eu/data/id/lemma/124560","7921"
"http://lila-erc.eu/data/id/lemma/124461","7911"
"http://lila-erc.eu/data/id/lemma/127600","7758"
"http://lila-erc.eu/data/id/lemma/110668","7753"
"http://lila-erc.eu/data/id/lemma/94400","7697"
"http://lila-erc.eu/data/id/lemma/127502","7674"
"http://lila-erc.eu/data/id/lemma/127957","7627"
"http://lila-erc.eu/data/id/lemma/110177","7499"
"http://lila-erc.eu/data/id/lemma/117325","7466"
"http://lila-erc.eu/data/id/lemma/112807","7456"
"http://lila-erc.eu/data/id/lemma/117549","7456"
"http://lila-erc.eu/data/id/lemma/96881","7414"
"http://lila-erc.eu/data/id/lemma/130356","7402"
"http://lila-erc.eu/data/id/lemma/130729","7391"
"http://lila-erc.eu/data/id/lemma/125279","7366"
"http://lila-erc.eu/data/id/lemma/106085","7343"
"http://lila-erc.eu/data/id/lemma/124294","7340"
"http://lila-erc.eu/data/id/lemma/109152","7302"
"http://lila-erc.eu/data/id/lemma/111585","7276"
"http://lila-erc.eu/data/id/lemma/88829","7254"
