lemma,collocate,LogL,LR,MI,LogDice
post,tergum,43.28,7.81495791027577,5.83189980899691,11.1609215364914
post,discessus,40.19,8.96696100372082,6.44500428188332,11.0424889392662
post,mors,61.23,5.45165938096855,4.33797478368466,11.0156964222696
post,paucus,22.56,5.50752938508352,4.37522465111522,10.5822733163866
post,dies,40.39,4.29390717337481,3.55634338839079,10.4095606186993
post,annus,11.65,4.17495404599665,3.47524749473259,9.98964109385099
post,homo,22.56,3.33922447930937,2.9029307516026,9.82657473114055
post,unus,5.52,2.52217616104792,2.34045554948698,9.19597895526674
post,hic,24.73,2.25768568721574,2.15797537583172,9.19086908211447
post,etiam,5.38,2.07079681470536,2.02894789862313,8.97529744869231
post,ego,7.13,1.61528556543941,1.71421856659558,8.7369860293212
post,is,5.54,1.3018883280364,1.49751816112511,8.53334731863275
