lemma,collocate,LogL,LR,MI,LogDice
suscipio,integer,19.98,6.26113815971847,4.85640390196055,10.6677954898248
suscipio,negotium,17.66,5.68382923154075,4.47134766548359,10.4984546445036
suscipio,causa,27.83,4.24164198409267,3.49143930764699,10.080859526803
suscipio,scelus,13.32,4.59456189344366,3.73285266494519,10.0714476926206
suscipio,bellum,18.06,3.96136320706966,3.29921667987033,9.86643472462462
suscipio,puto,8.04,3.22439761290345,2.7922298324115,9.35881937648888
suscipio,et,9.69,1.5243872682896,1.61787400509615,8.34853473556717
