lemma,collocate,LogL,LR,MI,LogDice
opera,pretium,54.46,8.10792908843784,6.08549647486029,11.5432642271787
opera,edo,34.53,7.76000578501753,5.87785711008204,11.1890924134581
opera,perdo,37.46,6.8892888019625,5.33263005959872,11.1667866559438
opera,do,111.77,5.46092862925821,4.38917539878374,10.9918452064475
opera,consilium,9.15,3.52296658771668,3.06694952354012,9.57715137080586
opera,ut,39.78,3.06701673780473,2.75294861704222,9.45471252361328
opera,suus,6.94,2.42780935467634,2.31185175411864,8.96223603851549
opera,meus,5.26,2.44496407571541,2.32370023396278,8.94587959396401
opera,que,11.1,1.96373436208894,1.99115191263818,8.69863173661871
