lemma,collocate,LogL,LR,MI,LogDice
simul,et2,13.53,4.65335715352791,3.78779763376239,10.1569698660588
simul,atque,51.38,3.24618177202204,2.82576088010003,9.8231865259219
simul,cum,12.47,1.97724676474856,1.95096987913262,8.96012958063541
simul,et,23.62,1.85713948127614,1.86798867318515,8.90275023306697
