lemma,collocate,LogL,LR,MI,LogDice
uictoria,adipiscor,35.37,7.9121039537574,5.96037813377004,11.2511278043775
uictoria,monumentum,20.16,6.30442137653616,4.93373934472702,10.7165856539942
uictoria,spes,25.38,5.07560268604028,4.10799404272555,10.4503826132196
uictoria,ipse,14.22,2.97014809122897,2.66376996036149,9.24784762366326
uictoria,suus,7.63,2.57990752341621,2.39437277780664,8.96874541870101
uictoria,sed,7.19,2.157979984314,2.10281131413796,8.70820385044223
uictoria,in,6.94,1.48371054497545,1.63642945323079,8.27279039244866
