lemma,collocate,LogL,LR,MI,LogDice
occupo,regnum,17.85,5.72257209343722,4.49943191361149,10.4736394753838
occupo,uolo,7.63,3.11320428004779,2.71023983988869,9.04417294239874
occupo,ut,6.06,1.942410820456,1.90085323087363,8.30056027477794
