"lemma","Caesar_Freq","Caesar_NormFreq","Cicero_Freq","Cicero_NormFreq","Horatius_Freq","Horatius_NormFreq","Ovidius_Freq","Ovidius_NormFreq","Phaedrus_Freq","Phaedrus_NormFreq","Sallustius_Freq","Sallustius_NormFreq","Seneca_Freq","Seneca_NormFreq","Suetonius_Freq","Suetonius_NormFreq","Tacitus_Freq","Tacitus_NormFreq","Vergilius_Freq","Vergilius_NormFreq","Hieronymus_Freq","Hieronymus_NormFreq","author_DP"
"labes",0,0,9,0.560663825969948,0,0,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.343573629679955
"labo",0,0,3,0.186887941989983,0,0,0,0,0,0,0,0,6,1.11979992907934,0,0,0,0,0,0,0,0,0.480938169070554
"labor2",0,0,10,0.622959806633276,2,1.77604120415594,1,1.71585449553878,0,0,0,0,7,1.30643325059256,0,0,0,0,2,3.86100386100386,0,0,0.28253473166486
"laboriosus",0,0,4,0.24918392265331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"labrum",0,0,1,0.0622959806633276,3,2.6640618062339,0,0,0,0,0,0,3,0.559899964539669,0,0,0,0,0,0,0,0,0.632380212900922
"Lacedaemon",0,0,1,0.0622959806633276,1,0.888020602077968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460965853354177
"lacedaemonii",0,0,2,0.124591961326655,0,0,0,0,0,0,2,1.85511548093869,1,0.186633321513223,0,0,0,0,0,0,0,0,0.376901185825554
"lacedaemonius",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lacero",0,0,2,0.124591961326655,0,0,0,0,3,4.5544253833308,1,0.927557740469344,6,1.11979992907934,0,0,0,0,0,0,0,0,0.58740191779524
"lacerta",0,0,1,0.0622959806633276,1,0.888020602077968,1,1.71585449553878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607430849951414
"lacertus",0,0,2,0.124591961326655,3,2.6640618062339,5,8.57927247769389,0,0,0,0,4,0.746533286052892,0,0,0,0,0,0,0,0,0.612178542831492
"laconicus",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lacto",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Laeca",0,0,3,0.186887941989983,0,0,0,0,0,0,2,1.85511548093869,0,0,0,0,0,0,0,0,0,0,0.406203313101622
"laelius",0,0,27,1.68199147790985,0,0,0,0,0,0,0,0,3,0.559899964539669,0,0,0,0,0,0,0,0,0.343573629679955
"Laenas",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"laenius",0,0,5,0.311479903316638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Laertes",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"laetitia",0,0,18,1.1213276519399,1,0.888020602077968,0,0,0,0,6,5.56534644281607,3,0.559899964539669,0,0,0,0,3,5.79150579150579,0,0,0.259215555558786
"laetor",0,0,21,1.30821559392988,1,0.888020602077968,0,0,0,0,2,1.85511548093869,2,0.373266643026446,0,0,0,0,1,1.93050193050193,0,0,0.277136702512191
"lamenta",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lamentatio",0,0,3,0.186887941989983,0,0,0,0,0,0,0,0,1,0.186633321513223,0,0,0,0,0,0,0,0,0.257845132083843
"lamentor",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Lamia",0,0,2,0.124591961326655,2,1.77604120415594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460965853354177
"langueo",0,0,2,0.124591961326655,0,0,0,0,1,1.5181417944436,2,1.85511548093869,1,0.186633321513223,0,0,0,0,0,0,0,0,0.439797082058019
"languesco",0,0,3,0.186887941989983,0,0,0,0,0,0,0,0,2,0.373266643026446,0,0,0,0,0,0,0,0,0.257845132083843
"languor",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,4,0.746533286052892,0,0,0,0,0,0,1,2.24668613794653,0.6321762781739
"lanista",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lanterna",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lanuuini",0,0,2,0.124591961326655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lanuuinus",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Lanuuium",0,0,4,0.24918392265331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"Laodicea",0,0,12,0.747551767959931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lapidatio",0,0,1,0.0622959806633276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443573629679955
"lapsus",0,0,1,0.0622959806633276,1,0.888020602077968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460965853354177
"laqueus",0,0,3,0.186887941989983,0,0,0,0,0,0,1,0.927557740469344,1,0.186633321513223,0,0,0,0,0,0,0,0,0.22047481550551
"Lar",0,0,1,0.0622959806633276,3,2.6640618062339,0,0,0,0,1,0.927557740469344,6,1.11979992907934,0,0,0,0,0,0,0,0,0.646957948270641
