"lemma","I a.C._Freq","I a.C._NormFreq","I d.C._Freq","I d.C._NormFreq","II d.C._Freq","II d.C._NormFreq","IV d.C._Freq","IV d.C._NormFreq","period_DP"
"Pindenissus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"Pindus",1,0.0465441005352572,2,0.305950741930549,0,0,0,0,0.440073809350494
"pingo",12,0.558529206423086,7,1.07082759675692,0,0,0,0,0.141828195315406
"pinguis",6,0.279264603211543,2,0.305950741930549,0,0,0,0,0.0286698718504217
"pinna",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"pinus",1,0.0465441005352572,1,0.152975370965275,0,0,0,0,0.273407142683827
"piraeus",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"pirata",5,0.232720502676286,1,0.152975370965275,0,0,0,0,0.0885960624999278
"pisaurensis",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"piscina",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"piscinarius",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"piscinarius2",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"piscis",5,0.232720502676286,4,0.611901483861098,0,0,4,8.98674455178612,0.373363200505122
"piscosus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"Pisistratus",1,0.0465441005352572,1,0.152975370965275,0,0,0,0,0.273407142683827
"Piso",45,2.09448452408657,0,0,12,31.413612565445,0,0,0.242021414879494
"pistoriensis",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"pius",10,0.465441005352572,6,0.917852225791647,0,0,0,0,0.148407142683827
"placabilis",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"placatus",2,0.0930882010705143,3,0.458926112895824,0,0,0,0,0.373407142683827
"placeo",78,3.63043984175006,52,7.95471929019428,3,7.85340314136126,1,2.24668613794653,0.170613589590756
"placide",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"placidus",5,0.232720502676286,15,2.29463056447912,0,0,0,0,0.523407142683827
"placitus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"placo",19,0.884337910169886,4,0.611901483861098,0,0,0,0,0.0813496856883336
"plaetorianus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"plaga",4,0.186176402141029,4,0.611901483861098,0,0,3,6.74005841383959,0.394342221484143
"plaga2",2,0.0930882010705143,4,0.611901483861098,0,0,0,0,0.440073809350494
"plancius",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"Plancus",6,0.279264603211543,0,0,1,2.61780104712042,0,0,0.242021414879494
"plane",50,2.32720502676286,2,0.305950741930549,0,0,0,0,0.216801190705056
"planities",6,0.279264603211543,0,0,0,0,0,0,0.255262729166594
"planta",1,0.0465441005352572,2,0.305950741930549,0,0,0,0,0.440073809350494
"planus",5,0.232720502676286,3,0.458926112895824,0,0,0,0,0.148407142683827
"Plato",5,0.232720502676286,0,0,0,0,0,0,0.255262729166594
"platon",5,0.232720502676286,3,0.458926112895824,0,0,0,0,0.148407142683827
"platonicus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"plaudo",9,0.418896904817314,0,0,0,0,0,0,0.255262729166594
"plaustrum",1,0.0465441005352572,3,0.458926112895824,0,0,0,0,0.523407142683827
"plausus",18,0.837793809634629,3,0.458926112895824,0,0,0,0,0.112405586309452
"plautius",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"Plautus",2,0.0930882010705143,0,0,1,2.61780104712042,0,0,0.320092019046233
"plebecula",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"plebeius",6,0.279264603211543,2,0.305950741930549,0,0,0,0,0.0286698718504217
"plebs",97,4.51477775191994,4,0.611901483861098,3,7.85340314136126,0,0,0.203559876417955
"plecto",2,0.0930882010705143,1,0.152975370965275,0,0,0,0,0.106740476017161
"plectrum",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"plene",1,0.0465441005352572,1,0.152975370965275,0,0,0,0,0.273407142683827
"plenum",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"plenus",61,2.83919013265069,16,2.44760593544439,2,5.23560209424084,2,4.49337227589306,0.0290619931186419
"plerique",19,0.884337910169886,8,1.2238029677222,2,5.23560209424084,0,0,0.104993414603623
"plerumque",21,0.9774261112404,4,0.611901483861098,2,5.23560209424084,0,0,0.0938732667313455
"plerusque",23,1.07051431231091,0,0,0,0,0,0,0.255262729166594
"ploratus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"ploro",1,0.0465441005352572,0,0,0,0,1,2.24668613794653,0.484571442436679
"plotius",6,0.279264603211543,0,0,0,0,0,0,0.255262729166594
"plumbeus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"plumbum",1,0.0465441005352572,1,0.152975370965275,0,0,0,0,0.273407142683827
"plurimus2",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"plutonius",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"pluuius",3,0.139632301605771,2,0.305950741930549,0,0,0,0,0.173407142683827
"poblice",31,1.44286711659297,5,0.764876854826373,0,0,0,0,0.116373840277706
"poculum",14,0.6516174074936,5,0.764876854826373,0,0,0,0,0.0365650374206694
"podagra",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"poema",7,0.3258087037468,0,0,0,0,0,0,0.255262729166594
"poena",75,3.49080754014429,30,4.58926112895824,1,2.61780104712042,0,0,0.0564260106083556
"poeni",7,0.3258087037468,2,0.305950741930549,0,0,0,0,0.0330405069443722
"poenus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"poeta",25,1.16360251338143,3,0.458926112895824,0,0,0,0,0.148119872023737
"poetria",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
