lemma,collocate,pos,LogL,LR,MI,LogDice,allMethods,score,scoreADJ,scoreSUBST,scoreADV,scoreVERB,scoreFUNC
causa,amicus,substantivo,7,2.1,2,9.5,20.6,20,0,20,0,0,0
causa,paro,verbo,9.4,3,2.6,9.5,24.5,20,0,0,0,20,0
causa,bellum,substantivo,5.4,1.6,1.7,9.5,18.2,10,0,10,0,0,0
causa,is,determinante,5,0.7,1.1,9.5,16.3,10,0,0,0,0,0
causa,cognosco,verbo,7.6,2.6,2.4,9.4,22,20,0,0,0,20,0
causa,moror,verbo,13.3,4.6,3.7,9.3,30.9,20,0,0,0,20,0
causa,Quirites,nome próprio,6.8,2.9,2.6,9.2,21.5,20,0,0,0,0,0
causa,ualeo,verbo,5.9,2.6,2.4,9.2,20.1,20,0,0,0,20,0
cedo,malum,substantivo,24.2,5.8,4.6,10.6,45.2,20,0,20,0,0,0
celer,que,conj.coord.,8.3,3.3,2.9,7.6,22.1,20,0,0,0,0,0
celeriter,nostri,determinante,21.9,6.7,5.3,10.9,44.8,20,0,0,0,0,0
celeriter,conficio,verbo,20,6.2,4.9,10.6,41.7,20,0,0,0,20,0
celeriter,ad,preposição,6.3,2.3,2.2,8.2,19,20,0,0,0,0,20
