"lemma","Prosa histórica_Freq","Prosa histórica_NormFreq","Prosa filosófica_Freq","Prosa filosófica_NormFreq","Prosa oratória_Freq","Prosa oratória_NormFreq","Prosa epistolográfica_Freq","Prosa epistolográfica_NormFreq","Poesia lírica_Freq","Poesia lírica_NormFreq","Poesia didática_Freq","Poesia didática_NormFreq","Poesia trágica_Freq","Poesia trágica_NormFreq","Poesia épica_Freq","Poesia épica_NormFreq","Prosa ficcional_Freq","Prosa ficcional_NormFreq","genre_DP"
"percussor",0,0,1,0.164741931763892,1,0.0960125968527071,0,0,0,0,0,0,0,0,0,0,0,0,0.428564495946147
"percutio",0,0,4,0.658967727055567,5,0.480062984263535,2,0.529955748694984,2,1.68251030537562,2,1.69649673424379,2,1.73731758165393,1,1.93050193050193,0,0,0.260774358838077
"perduro",0,0,1,0.164741931763892,0,0,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.74838729804396
"peregrinatio",0,0,7,1.15319352234724,0,0,3,0.794933623042476,0,0,0,0,0,0,0,0,0,0,0.658776183659109
"peregrinus",0,0,5,0.823709658819459,1,0.0960125968527071,0,0,0,0,1,0.848248367121893,0,0,0,0,0,0,0.605869853825596
"peregrinus2",0,0,1,0.164741931763892,1,0.0960125968527071,0,0,0,0,0,0,0,0,0,0,0,0,0.428564495946147
"perfecte",0,0,3,0.494225795291676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"perfectus",0,0,33,5.43648374820843,1,0.0960125968527071,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.732448499259942
"perfungor",0,0,1,0.164741931763892,2,0.192025193705414,0,0,0,0,0,0,0,0,0,0,0,0,0.428564495946147
"perfusorius",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"pergratus",0,0,1,0.164741931763892,1,0.0960125968527071,5,1.32488937173746,0,0,0,0,0,0,0,0,0,0,0.583470541542024
"peripatetici",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"peripateticus",0,0,3,0.494225795291676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
