lemma,collocate,pos,LogL,LR,MI,LogDice
gens,omnis,determinante,76.1,4,3.4,10.1
gens,ceterus,determinante,11.2,4.1,3.4,9.9
gens,nomen,substantivo,11,4,3.4,9.8
gens,do,verbo,6,2.7,2.5,9.1
gens,que,conj.coord.,6,1.6,1.7,8.4
genus,humanus,adjetivo,96.8,6.9,5.2,11.4
genus,homo,substantivo,47.2,3.5,3,10.4
genus,mortalis,substantivo,16.2,5.4,4.3,10.1
genus,oratio,substantivo,14.8,4,3.4,10.1
genus,bellum,substantivo,17.1,3,2.7,10
genus,nascor,verbo,9.7,3.7,3.1,9.8
genus,hic,determinante,46.6,2.3,2.2,9.8
genus,alter,determinante,10.1,3.1,2.8,9.8
genus,honor,substantivo,8.7,3.4,3,9.7
genus,copia,substantivo,8.4,3.3,2.9,9.7
genus,idem,determinante,11.2,2.5,2.4,9.7
genus,quisque,determinante,7.7,3.1,2.8,9.6
genus,uita,substantivo,7.5,2.5,2.4,9.6
genus,unus,determinante,8.3,2.4,2.2,9.6
genus,mors,substantivo,5.9,2.6,2.4,9.5
genus,omnis,determinante,8.6,1.6,1.7,9.3
genus,dico,verbo,5.9,1.6,1.7,9.2
genus,quis,pronome,6,1.3,1.5,9.1
genus,et,conj.coord.,11.1,1.1,1.4,9
gero,bellum,substantivo,264.8,5.8,4.5,11.8
gero,bene,advérbio,51.4,5.1,4.1,10.9
gero,res,substantivo,151.8,3.7,3.1,10.7
gero,magistratus,substantivo,21,5.2,4.1,10.3
gero,negotium,substantivo,18.3,4.7,3.8,10.2
gero,cognosco,verbo,8.6,3.4,2.9,9.7
gero,legio,substantivo,8.5,3.4,2.9,9.7
gero,mos,substantivo,8.5,3.3,2.9,9.7
gero,castra,substantivo,7.6,3.1,2.7,9.6
gero,Caesar,nome próprio,6.8,2.4,2.2,9.5
gero,ut,conj.subord.,7.8,1.3,1.5,9.1
gladius,educo,verbo,28.2,8.3,6.3,11.4
gladius,sui,pronome,5.2,2.4,2.3,8.3
gladius,cum,conj.subord.,5.6,2.1,2.1,8.1
gloria,laus,substantivo,48.3,5.8,4.6,11
gloria,sempiternus,adjetivo,24.5,7.5,5.6,10.6
gloria,consequor,verbo,15.9,5.3,4.2,10.3
gloria,imperium,substantivo,9.9,3.7,3.2,9.8
gloria,uirtus,substantivo,11.1,3.3,2.9,9.7
gloria,uel,conj.coord.,8.8,3.4,3,9.7
gloria,bellum,substantivo,9.3,2.9,2.6,9.6
gloria,noster,determinante,7.2,2.5,2.3,9.3
gloria,tantus,determinante,5.5,2.5,2.3,9.3
gloria,meus,determinante,6.2,2.3,2.1,9.2
gloria,suus,determinante,7.1,2.1,2.1,9.1
gloria,magnus,adjetivo,6.8,2.1,2,9.1
gradus,honor,substantivo,26.5,6.2,4.9,10.7
gradus,dignitas,substantivo,18.5,5.9,4.7,10.4
gratia,ago,verbo,144.9,5.6,4.5,11.4
gratia,refero,verbo,56.5,6,4.7,11.2
gratia,dignitas,substantivo,11.7,4.2,3.5,10
gratia,tantus,determinante,13.4,3.2,2.9,9.8
gratia,consilium,substantivo,6.8,2.9,2.6,9.5
gratia,deus,substantivo,6.1,2.7,2.5,9.4
gratia,bonus,adjetivo,5.2,2.4,2.3,9.2
gratia,quod,conj.subord.,5.6,2.1,2.1,9.1
gratia,aut,conj.coord.,6.8,2.1,2.1,9.1
gratia,magnus,adjetivo,6.7,2.1,2.1,9.1
gratia,omnis,determinante,7.2,1.8,1.9,9
gratia,in,preposição,8.9,1.3,1.6,8.7
gratus,romanus,adjetivo,12.6,3.6,3.1,9.6
gratus,sum,verbo,71.6,2.6,2.3,9.1
gratus,ego,pronome,8.5,1.9,1.9,8.6
grauis,morbus,substantivo,27,6.4,4.9,10.5
grauis,bellum,substantivo,18.6,3.2,2.8,10
grauis,tam,advérbio,14.5,3,2.7,9.9
grauis,iudicium,substantivo,6.9,2.9,2.6,9.6
grauis,homo,substantivo,6,1.9,1.9,9.3
grauis,et,conj.coord.,24.3,1.6,1.7,9.2
grauis,que,conj.coord.,8.4,1.3,1.5,9
grauis,sum,verbo,22.1,1.3,1.5,9
habeo,nihil,pronome,67.8,2.7,2.4,10.6
habeo,non,advérbio,32.6,1.2,1.4,10.2
habeo,nullus,determinante,30.8,2.3,2.1,10.2
habeo,qui,pronome,25.6,0.8,1.1,10.1
habeo,sui,pronome,16.9,1.3,1.4,10.1
habeo,ratio,substantivo,30.2,3.1,2.6,10
habeo,certus,adjetivo,29.7,3.3,2.7,9.9
habeo,delectus,substantivo,59.3,6.5,4.6,9.9
habeo,auctoritas,substantivo,18.7,2.8,2.4,9.7
habeo,sic,advérbio,13.3,2.1,1.9,9.7
habeo,aliquis,pronome,7.8,1.5,1.5,9.6
habeo,quisquam,pronome,13.7,2.4,2.2,9.6
habeo,spes,substantivo,12.8,2.3,2.1,9.6
habeo,numerus,substantivo,19.2,3.3,2.8,9.5
habeo,potestas,substantivo,18.7,3.3,2.7,9.5
habeo,amicus,substantivo,10.3,2,1.9,9.5
habeo,oratio,substantivo,15.8,2.9,2.5,9.5
habeo,consul,substantivo,8.6,1.8,1.8,9.5
habeo,semper,advérbio,8.8,2,1.9,9.4
habeo,quantus,determinante,7.8,1.9,1.8,9.4
habeo,quidam,determinante,6,1.6,1.6,9.3
habeo,se,pronome,10,2.4,2.1,9.3
habeo,nemo,pronome,5.8,1.7,1.7,9.2
habeo,uis,substantivo,5.6,1.7,1.7,9.2
habeo,nondum,advérbio,14.8,3.5,2.9,9.2
habeo,fides,substantivo,7.5,2.2,2,9.2
habeo,honor,substantivo,7.3,2.2,2,9.1
habeo,bene,advérbio,6.9,2.1,2,9.1
habeo,existimo,verbo,6.5,2,1.9,9.1
habeo,uenalis,adjetivo,23.7,5.9,4.3,9.1
haud,sane,advérbio,33.3,7.5,5.7,11.3
haud,facile,advérbio,35.6,6.6,5.1,11
haud,scio,verbo,50.3,6,4.7,10.7
hic,in,preposição,140.9,1.3,1.2,11.1
hic,ego,pronome,47.5,1,1.1,10.6
hic,res,substantivo,56.5,1.3,1.2,10.6
hic,ad,preposição,45.3,1.1,1.1,10.6
hic,cum,conj.subord.,24.4,0.8,0.9,10.5
hic,ex,preposição,46.7,1.4,1.3,10.4
hic,ab,preposição,26.7,1,1,10.4
hic,tu,pronome,17.2,0.7,0.9,10.3
hic,si,conj.subord.,19,0.8,1,10.3
hic,sed,conj.coord.,19.2,0.9,1,10.2
hic,ipse,determinante,27,1.2,1.2,10.2
hic,enim,advérbio,33.5,1.4,1.3,10.2
hic,omnis,determinante,8.8,0.6,0.8,10.1
hic,igitur,advérbio,101,3.3,2.5,10.1
hic,tempus,substantivo,60,2.2,1.9,10
hic,quidem,advérbio,39,1.7,1.6,10
hic,locus,substantivo,41.7,1.9,1.6,10
hic,qua2,advérbio,75.5,3.1,2.4,9.9
hic,urbs,substantivo,52.7,2.4,2,9.9
hic,ordo,substantivo,96.2,3.7,2.8,9.8
hic,causa,substantivo,24.5,1.5,1.4,9.8
hic,autem,conj.coord.,28.9,1.7,1.5,9.8
hic,unus,determinante,17.4,1.3,1.3,9.6
hic,tamen,advérbio,10.9,1.1,1.1,9.6
hic,genus,substantivo,35.4,2.3,1.9,9.5
hic,ergo,partícula,51.8,3.1,2.4,9.5
hic,idem,determinante,9.2,1,1.1,9.5
hic,neque,conj.coord.,5.1,0.8,0.9,9.4
hic,uero,advérbio,15.9,1.6,1.5,9.3
hic,uox,substantivo,26.4,2.3,1.9,9.2
hic2,qua2,advérbio,12.3,4.3,3.3,9.9
hic2,nos,pronome,23.6,3.8,2.9,9.8
hic2,ago,verbo,7.7,3.1,2.5,9.3
hic2,tu,pronome,22.8,2.7,2.2,9.2
hic2,tamen,advérbio,6.4,2.8,2.2,9.1
hic2,iam,advérbio,6.1,2.7,2.2,9.1
hic2,ego,pronome,16.4,2.3,1.9,9
hinc,accedo,verbo,24.7,5.9,4.3,10.6
hinc,uenio,verbo,7.8,3.1,2.5,9.2
hinc,atque,conj.coord.,11.9,2.4,1.9,8.8
homo,genus,substantivo,48.4,3.5,3,10.4
homo,mille,numeral,40.5,4.1,3.3,10.2
homo,perditus,adjetivo,53.5,5.4,4.1,10.1
homo,nobilis,adjetivo,41.6,4.5,3.6,10.1
homo,honestus,adjetivo,35.8,4.3,3.5,10
homo,memoria,substantivo,25.6,3.4,2.9,9.9
homo,occido,verbo,29.6,4.1,3.3,9.9
homo,atque,conj.coord.,9.7,1,1.3,9.9
homo,multitudo,substantivo,25.3,3.7,3.1,9.8
homo,certus,adjetivo,18.8,3,2.6,9.8
homo,sapiens2,adjetivo,29.8,4.5,3.6,9.8
homo,numerus,substantivo,20.8,3.5,3,9.7
homo,uideo,verbo,5.8,1,1.3,9.7
homo,deus,substantivo,9.9,1.8,1.9,9.7
homo,idem,determinante,7.9,1.5,1.6,9.7
homo,unus,determinante,6.6,1.4,1.6,9.6
homo,post,preposição,14,3,2.6,9.5
homo,doctus,adjetivo,24,5,3.9,9.5
homo,audax,adjetivo,23.1,4.8,3.8,9.5
homo,nouus,adjetivo,8.8,2.2,2.1,9.5
homo,fama,substantivo,13.8,3.3,2.8,9.4
homo,natura,substantivo,6.6,1.8,1.9,9.4
homo,ordo,substantivo,9.6,2.6,2.4,9.3
homo,mos,substantivo,7.9,2.3,2.2,9.3
homo,grauis,adjetivo,6.1,2,1.9,9.3
homo,amens,adjetivo,21.1,5.4,4.1,9.3
homo,sceleratus,adjetivo,18.4,4.8,3.8,9.2
homo,ferus,adjetivo,17.4,4.6,3.7,9.2
homo,improbus,adjetivo,9.9,3.1,2.7,9.2
homo,ingenium,substantivo,7.3,2.5,2.3,9.1
honestus,locuples,adjetivo,24.6,7.4,5.7,11
honestus,homo,substantivo,40.2,4.3,3.6,10.1
honestus,uir,substantivo,13.4,3.8,3.2,9.7
honestus,atque,conj.coord.,31,3.1,2.8,9.4
honor,amplus,adjetivo,36.7,5.9,4.6,10.9
honor,gradus,substantivo,26.7,6.3,4.9,10.7
honor,tribuo,verbo,16.6,5.4,4.3,10.3
honor,superus,,15.4,3.5,3.1,10
honor,genus,substantivo,8.7,3.4,3,9.7
honor,nomen,substantivo,8.2,3.3,2.9,9.7
honor,uester,determinante,7.3,3,2.7,9.6
honor,deus,substantivo,5.8,2.6,2.4,9.4
honor,habeo,verbo,6.5,2,2,9.1
hora,circa,preposição,26,7.7,5.9,11.2
hora,ample,advérbio,24.4,7.4,5.7,11.1
hora,tres,numeral,21.6,6.6,5.2,10.9
hora,nox,substantivo,17.4,5.6,4.5,10.4
hora,iam,advérbio,8.9,3.4,3,9.2
hortor,uos,pronome,10.8,3.9,3.4,9.3
hortor,alius,determinante,9.7,3.7,3.2,9.2
hortor,ut,conj.subord.,33.2,3.5,3,9.1
hortor,tu,pronome,6.1,2.2,2.2,8.2
hospes,tuus,determinante,14.5,4,3.3,9.3
hostis,copia,substantivo,56.9,4.9,3.8,10.8
hostis,numerus,substantivo,45.8,5.1,4,10.6
hostis,iudico,verbo,39.2,4.2,3.4,10.5
hostis,impetus,substantivo,33,4.8,3.8,10.4
hostis,tergum,substantivo,33.4,6.4,4.8,10.2
hostis,multitudo,substantivo,25.3,4.5,3.6,10.2
hostis,ab,preposição,31.9,2.2,2,10
hostis,classis,substantivo,20.3,5.1,4,9.9
hostis,exercitus,substantivo,15.6,3.2,2.7,9.9
hostis,domesticus,adjetivo,19.1,4.9,3.8,9.9
hostis,aduentus,substantivo,17.3,4.5,3.6,9.9
hostis,castra,substantivo,13.8,3.3,2.8,9.9
hostis,urbs,substantivo,13.1,2.8,2.5,9.8
hostis,confligo,verbo,22.7,7.1,5.2,9.7
hostis,acerbus,adjetivo,14.8,5,3.9,9.7
hostis,pello,verbo,14.6,5,3.9,9.7
hostis,acies,substantivo,12.7,4.5,3.6,9.6
hostis,premo,verbo,12.2,4.3,3.5,9.6
hostis,transeo,verbo,9.6,3.7,3,9.6
hostis,appello,verbo,8.7,3.4,2.9,9.5
hostis,iter,substantivo,7,3,2.6,9.4
hostis,cum,conj.subord.,10,1.3,1.4,9.4
hostis,Antonius,nome próprio,6.1,2.7,2.4,9.4
hostis,relinquo,verbo,5.1,2.4,2.2,9.3
humanus,genus,substantivo,94,6.7,5.2,11.4
humanus,consilium,substantivo,22.4,4.6,3.8,10.1
humanus,corpus,substantivo,13.4,4.6,3.9,10
humanus,animus,substantivo,11.9,3.5,3.1,9.4
humanus,res,substantivo,21.7,3,2.7,9.2
humanus,atque,conj.coord.,6.6,2.1,2.1,8.5
iacio,fundamentum,substantivo,47.8,10.2,7.5,12.1
iam,pridem,advérbio,270.7,11.6,6,11.4
iam,uero,advérbio,57.1,3.8,3.1,10.6
iam,enim,advérbio,38.6,2.4,2.2,10.3
iam,antea,advérbio,36.9,4.8,3.8,10.1
iam,saepe,advérbio,21.7,3,2.6,10
iam,aetas,substantivo,21.9,3.3,2.8,10
iam,cum,conj.subord.,16.6,1.3,1.4,9.9
iam,sed,conj.coord.,13.1,1.4,1.5,9.8
iam,tum,advérbio,10.8,2.1,2,9.7
iam,prope,advérbio,16.7,3.8,3.1,9.6
iam,tu,pronome,5.7,0.9,1.1,9.6
iam,ego,pronome,5.2,0.8,1.1,9.5
iam,ante2,advérbio,9.9,2.6,2.4,9.5
iam,dies,substantivo,5.7,1.5,1.6,9.5
iam,ample,advérbio,16.5,4.4,3.5,9.5
iam,nox,substantivo,7.9,2.7,2.4,9.3
iam,finis,substantivo,6.7,2.4,2.2,9.3
iam,annus,substantivo,6.6,2.4,2.2,9.3
iam,intellego,verbo,5.4,2.1,2,9.2
iam,aliquot,determinante,16.1,5.4,4.1,9.2
iam,despero,verbo,14.5,5,3.9,9.2
iam,desino,verbo,9.9,3.8,3.1,9.2
iam,hora,substantivo,9.5,3.6,3,9.2
iam,paene,advérbio,8.5,3.4,2.9,9.2
iam,tertius,adjetivo,8.2,3.3,2.8,9.1
iam,uereor,verbo,7.1,3,2.6,9.1
iam,diu,advérbio,5.9,2.7,2.4,9.1
iam,reddo,verbo,5.4,2.5,2.3,9.1
iam,nosco,verbo,5.3,2.5,2.2,9.1
iam,hic2,advérbio,5,2.4,2.2,9.1
ibi,consido,verbo,26.5,7.9,5.9,11.1
ibi,atque,conj.coord.,28.8,3.2,2.7,9.3
ibi,que,conj.coord.,32.6,2.9,2.6,9.1
ibi,ego,pronome,7.4,2,1.9,8.5
ibi,sum,verbo,7.5,1.3,1.4,8
idem,fere,advérbio,54.3,5.4,4.2,10.4
idem,tempus,substantivo,37.7,3.1,2.7,10.4
idem,sentio,verbo,29.1,3.7,3.1,10.2
idem,in,preposição,62.7,1.7,1.7,10.2
idem,facio,verbo,20,1.8,1.8,10
idem,que,conj.coord.,25.3,1.4,1.5,9.9
idem,nunc,advérbio,14.9,2.4,2.2,9.9
idem,genus,substantivo,15.9,2.9,2.5,9.9
idem,hic,determinante,18.5,1.2,1.4,9.8
idem,modus,substantivo,12.8,2.5,2.3,9.8
idem,dux,substantivo,15.9,3.6,3,9.7
idem,dies,substantivo,9.3,1.9,1.8,9.7
idem,qui,pronome,16,0.9,1.1,9.6
idem,utor,verbo,9.8,2.6,2.3,9.6
idem,causa,substantivo,6.5,1.7,1.7,9.5
idem,ille,determinante,6.1,0.9,1.2,9.5
idem,semper,advérbio,7.9,2.3,2.1,9.5
idem,tamen,advérbio,5.7,1.5,1.6,9.5
idem,sententia,substantivo,6.6,2.4,2.2,9.3
idem,ratio,substantivo,6.3,2.3,2.1,9.3
idem,licet,verbo,6.1,2.2,2.1,9.3
idem,galli,adjetivo,9.6,3.7,3,9.3
idem,Scipio,nome próprio,8.6,3.4,2.8,9.2
ideo,non,advérbio,6.5,2.3,2,7.8
igitur,num,advérbio,46.5,5.7,4.5,10.9
igitur,cur,advérbio,35.9,5.1,4.1,10.7
igitur,talis,determinante,15.7,4.2,3.5,10.1
igitur,hic,determinante,80.1,2.7,2.5,10.1
igitur,unde,advérbio,12.4,4.4,3.6,10
igitur,placeo,verbo,10.3,3.8,3.3,9.9
igitur,primum,advérbio,11,3.3,2.9,9.9
igitur,ne,conj.subord.,16.8,2.4,2.3,9.7
igitur,quis,pronome,26.5,2.2,2.1,9.7
igitur,nos,pronome,6.5,2,2,9.4
igitur,is,determinante,15.6,1.5,1.7,9.3
igitur,sum,verbo,23.7,1.3,1.5,9.1
ignis,interdico,verbo,31.2,9.2,6.7,11.2
ignis,et,conj.coord.,18.2,1.9,2,8.6
illa,unde,advérbio,23.7,7.2,5.5,10.9
ille,qui,pronome,52.9,0.8,1,10.8
ille,quidem,advérbio,105,2.6,2.2,10.6
ille,in,preposição,23.5,0.7,0.9,10.6
ille,cum,conj.subord.,13.6,0.7,0.9,10.3
ille,at,conj.coord.,86.2,3.1,2.5,10.2
ille,ab,preposição,14.7,0.8,1,10.2
ille,ad,preposição,9.5,0.6,0.9,10.2
ille,ipse,determinante,18.9,1.1,1.2,10.1
ille,si,conj.subord.,8.4,0.6,0.9,10.1
ille,autem,conj.coord.,45.2,2.1,1.9,10.1
ille,ex,preposição,12.7,0.9,1.1,10
ille,tempus,substantivo,39.9,2.1,1.9,10
ille,dies,substantivo,28.7,1.7,1.7,10
ille,etiam,advérbio,13,1,1.2,9.9
ille,enim,advérbio,12.9,1,1.2,9.9
ille,dico,verbo,7.6,0.7,1,9.9
ille,ne,conj.subord.,8,0.8,1,9.9
ille,tamen,advérbio,19.9,1.5,1.5,9.9
ille,aio,verbo,43,3.1,2.5,9.6
ille,idem,determinante,8.7,1.1,1.2,9.6
ille,uero,advérbio,22,2,1.8,9.6
ille,noster,determinante,6.1,0.9,1.1,9.5
ille,tum,advérbio,10.2,1.3,1.4,9.5
ille,et2,advérbio,22.1,2.6,2.2,9.2
ille,ergo,partícula,20.1,2.4,2.1,9.2
ille,aetas,substantivo,15,2,1.8,9.2
ille,quantus,determinante,8.1,1.4,1.4,9.2
ille,scio,verbo,5.8,1.1,1.3,9.1
ille,nox,substantivo,16.8,2.3,2,9.1
ille,rex,substantivo,8.8,1.5,1.5,9.1
imperator,appello,verbo,29.1,5.6,4.4,10.7
imperator,clarus,adjetivo,21.1,5.2,4.2,10.5
imperator,noster,determinante,42.5,4.2,3.4,10.3
imperator,officium,substantivo,14.6,4.9,3.9,10.2
imperator,consul,substantivo,18.4,4,3.3,10.1
imperator,superus,,12.4,3.6,3,9.8
imperator,exercitus,substantivo,9.5,3.6,3.1,9.7
imperator,populus,substantivo,9.4,3,2.6,9.5
imperator,unus,determinante,9.4,3,2.6,9.5
imperator,bellum,substantivo,6.2,2.7,2.4,9.3
imperator,atque,conj.coord.,5,1.6,1.6,8.7
imperium,summa,substantivo,28.3,6.6,5.1,10.5
imperium,populus,substantivo,40.8,3.8,3.2,10.5
imperium,teneo,verbo,17,3.8,3.2,10.1
imperium,pareo,verbo,15.1,5.1,4.1,10.1
imperium,atque,conj.coord.,59.9,2.9,2.6,10.1
imperium,potestas,substantivo,11.4,4.1,3.4,9.9
imperium,gloria,substantivo,9.7,3.7,3.2,9.8
imperium,dignitas,substantivo,9.6,3.6,3.1,9.8
imperium,uester,determinante,9.8,3,2.7,9.7
imperium,superus,,8.7,2.8,2.6,9.7
imperium,totus,determinante,6,2.7,2.5,9.5
imperium,tantus,determinante,6.6,2.4,2.3,9.5
imperium,romanus,adjetivo,6.5,2.3,2.2,9.4
imperium,pro,preposição,5.5,2.5,2.4,9.4
imperium,neque,conj.coord.,5.1,2,2,9.3
imperium,cum,conj.subord.,9,1.5,1.6,9.1
imperium,hic,determinante,8.8,1.3,1.5,9
impero,obses,substantivo,21.8,6.7,5.2,10.9
impero,uolo,verbo,11.2,3.3,2.9,9.3
impero,ut,conj.subord.,21,2.7,2.5,9
impero,que,conj.coord.,21.4,2.6,2.4,8.9
impetus,nostri,determinante,25.2,6,4.8,10.8
impetus,hostis,substantivo,37.4,4.8,3.9,10.5
impetus,animus,substantivo,34.6,4.1,3.5,10.2
impetus,facio,verbo,53.7,3.9,3.4,10.1
impetus,miles,substantivo,12.9,4.5,3.7,10.1
impetus,totus,determinante,15.2,4.1,3.5,10
impetus,fero,verbo,12,3.5,3.1,9.7
impetus,fio,verbo,9.4,3.6,3.1,9.7
impetus,magnus,adjetivo,9.4,2.6,2.4,9.1
impono,manus,substantivo,19.7,5,4,10.1
in,is,determinante,149.3,1.3,1.2,11.1
in,hic,determinante,145.1,1.3,1.2,11.1
in,qui,pronome,77.1,0.7,0.9,11.1
in,res,substantivo,78.9,1.3,1.2,10.7
in,ille,determinante,27.4,0.7,0.9,10.5
in,senatus,substantivo,150.4,2.7,2.1,10.4
in,omnis,determinante,9.8,0.5,0.7,10.2
in,sui,pronome,11.1,0.6,0.8,10.1
in,tantus,determinante,63.4,2,1.7,10
in,castra,substantivo,111.9,3.2,2.4,9.9
in,idem,determinante,34.2,1.5,1.4,9.8
in,ipse,determinante,5.3,0.5,0.7,9.8
in,animus,substantivo,21.8,1.2,1.2,9.7
in,magnus,adjetivo,5.4,0.5,0.7,9.7
in,prouincia,substantivo,80,2.9,2.2,9.7
in,Gallia,nome próprio,95.5,3.4,2.5,9.6
in,urbs,substantivo,43.1,2,1.7,9.6
in,locus,substantivo,20.4,1.3,1.2,9.6
in,homo,substantivo,5.5,0.6,0.8,9.6
in,alius,determinante,10.3,0.9,1,9.5
in,iste,determinante,9.2,0.8,0.9,9.5
in,unus,determinante,15.3,1.1,1.1,9.5
in,forum,substantivo,102.2,4,2.8,9.5
in,nos,pronome,5.8,0.7,0.8,9.5
in,primus,adjetivo,51.7,2.5,2,9.5
in,amicitia,substantivo,39.1,2.1,1.8,9.4
in,superus,,22,1.5,1.4,9.4
in,ciuitas,substantivo,31.4,1.9,1.6,9.4
in,ager,substantivo,58.1,3,2.3,9.3
in,exilium,substantivo,98.1,4.6,3.1,9.3
incido,bellum,substantivo,11.6,4.1,3.4,9.4
incido,ille,determinante,5.8,2.2,2.1,8.1
incido,qui,pronome,5.3,1.5,1.6,7.7
incipio,uiuo,verbo,22.7,5.5,4.3,10.3
incipio,dico,verbo,5.6,2.5,2.3,8.5
inde,exeo,verbo,29.7,6.8,5.2,11
inde,domus,substantivo,15.2,5.1,4,10.1
indico,ne,conj.subord.,11.3,4.1,3.2,8.7
infero,bellum,substantivo,109,6.4,4.9,11.1
infero,causa,substantivo,15.3,4.1,3.4,9.6
infero,aut,conj.coord.,6.3,2.8,2.4,8.7
infero,sui,pronome,7.4,2.5,2.3,8.6
inferus,pars,substantivo,19.7,5,4,10
inferus,locus,substantivo,11,4,3.4,9.4
inferus,ab,preposição,15.5,3.1,2.8,8.8
inferus,ex,preposição,10.3,3.1,2.8,8.8
inferus,ad,preposição,13.3,2.8,2.6,8.6
ingenium,ualeo,verbo,13.9,4.8,3.9,10.2
ingenium,quantus,determinante,20,4.3,3.6,10.2
ingenium,solum,advérbio,12.1,4.3,3.6,10.1
ingenium,superus,,12.5,3.6,3.1,9.8
ingenium,uirtus,substantivo,7.7,3.1,2.8,9.5
ingenium,homo,substantivo,6.7,2.4,2.3,9.1
ingenium,aut,conj.coord.,8.2,2.3,2.3,9.1
ingenium,neque,conj.coord.,5,2.4,2.3,9.1
ingenium,atque,conj.coord.,5.2,1.6,1.8,8.7
ingenium,et,conj.coord.,8.3,1.3,1.6,8.5
ingratus,sum,verbo,10.7,2.2,2.2,7.4
ingredior,sum,verbo,5.5,1.6,1.8,7.2
inimicus,Milo,nome próprio,15.1,5,4.1,10.3
inimicus,tam,advérbio,11.4,3.4,2.9,9.6
inimicus,meus,determinante,16.2,3.2,2.9,9.6
inimicus,sum,verbo,11,1.3,1.5,8.4
initium,bellum,substantivo,20.3,4.3,3.6,9.9
initium,Caesar,nome próprio,15.3,4.1,3.5,9.8
initium,ab,preposição,19.3,3,2.7,9.1
iniuria,haedui,adjetivo,20.5,6.4,5,10.7
iniuria,socius,substantivo,15.3,5.1,4.1,10.3
iniuria,dolor,substantivo,14.3,4.8,4,10.2
iniuria,accipio,verbo,17.4,4.5,3.7,10.2
iniuria,an,conj.coord.,11,4,3.4,9.8
iniuria,facio,verbo,8.8,2.5,2.3,9
iniuria,ab,preposição,5.6,1.9,1.9,8.6
inquam,ergo,partícula,24.8,4.4,3.5,10.3
inquam,quomodo,advérbio,17.9,4.6,3.7,10
inquam,iste,determinante,22.1,2.8,2.4,10
inquam,uos,pronome,14,2.7,2.3,9.8
inquam,ego,pronome,29.9,2,1.9,9.7
inquam,sic,advérbio,10.8,2.8,2.4,9.7
inquam,quaero,verbo,7.8,2.6,2.3,9.6
inquam,hic,determinante,11.2,1.3,1.4,9.3
inquam,ille,determinante,8.1,1.3,1.4,9.2
inquam,tu,pronome,5.8,1.2,1.3,9.1
inquam,sum,verbo,5.2,0.6,0.9,8.8
instituo,ut,conj.subord.,19.3,2.8,2.6,8.9
instituo,habeo,verbo,5.8,2.6,2.4,8.7
instituo,atque,conj.coord.,7.7,2.2,2.2,8.5
instituo,et,conj.coord.,5.6,1.4,1.6,7.9
insula,hic,determinante,6.8,2.4,2.3,7.8
integer,suscipio,verbo,19.5,6.1,4.9,10.7
integer,atque,conj.coord.,28,3.3,2.9,9.2
integer,res,substantivo,12.2,2.7,2.5,8.8
integer,sum,verbo,17.7,1.8,1.9,8.2
intellego,demum,advérbio,21,6.6,5,10.2
intellego,quantus,determinante,15.2,3.5,3,10
intellego,possum,verbo,24.7,2.5,2.3,9.7
intellego,legatus,substantivo,8.6,3.4,2.9,9.7
intellego,non,advérbio,43.6,2.3,2.2,9.7
intellego,primum,advérbio,7.2,3,2.7,9.6
intellego,quis,pronome,17.3,2,1.9,9.4
intellego,qua,advérbio,10.7,2.1,2,9.4
intellego,quod,conj.subord.,6.1,2,1.9,9.3
intellego,si,conj.subord.,10.3,1.8,1.8,9.3
intellego,iam,advérbio,5.1,2,2,9.2
intellego,ut,conj.subord.,11.8,1.6,1.7,9.2
inter,sui,pronome,234.2,4.3,3.5,11.1
inter,intersum,verbo,48.5,5.9,4.6,10.9
inter,boni,substantivo,19.4,4.9,4,10.2
inter,medius,adjetivo,17.8,4.6,3.8,10.2
inter,nos,pronome,26.6,3,2.7,10.1
inter,duo,numeral,17.2,3.8,3.3,10.1
inter,multum,advérbio,9.5,3.6,3.1,9.8
inter,iste,determinante,12.1,2.4,2.3,9.7
inter,se,pronome,8,3.2,2.8,9.7
inter,uita,substantivo,7,2.4,2.3,9.5
inter,magnus,adjetivo,9.7,1.9,2,9.5
inter,saepe,advérbio,5.9,2.6,2.4,9.5
inter,is,determinante,7.6,1.1,1.4,9.1
interficio,clodius,adjetivo,24.4,5.8,4.6,10.7
interficio,iubeo,verbo,13.3,4.6,3.8,10.1
interficio,consul,substantivo,15.8,4.2,3.5,10
interficio,ciuis,substantivo,10.8,3.9,3.3,9.7
interficio,uolo,verbo,10.1,3.1,2.7,9.3
interficio,sum,verbo,5.5,1,1.3,8
interim,cum,conj.subord.,9.8,2.6,2.2,8.3
interrogo,is,determinante,15.9,3.2,2.7,8.2
interrogo,ego,pronome,6.1,2.7,2.3,7.8
intersum,utrum,advérbio,30.2,6.9,5.3,11.1
intersum,inter,preposição,48.4,5.8,4.6,10.9
intersum,totus,determinante,11.6,4.2,3.5,9.8
intersum,quis,pronome,27.3,3.1,2.7,9.2
intersum,noster,determinante,7.2,3,2.7,9.1
intersum,meus,determinante,6.3,2.8,2.5,9
intersum,enim,advérbio,5.1,2.4,2.2,8.7
intra,moenia,substantivo,55.8,9.6,7.1,12.1
intra,sui,pronome,6.6,2.8,2.6,8.3
intro,si,conj.subord.,9.4,3.6,3,8.2
inuenio,nullus,determinante,14.2,3.4,2.9,9.7
inuenio,nihil,pronome,11.6,2.9,2.6,9.5
inuenio,possum,verbo,17.6,2.6,2.4,9.3
